button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[8.288200000047684],[8.288200000047684],388,610c66163e803a3564dfaf9c,19,male,2022-11-22_09h41.57.042,onlinegloss,2022.2.3,Win32,71.79266279,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,388,610c66163e803a3564dfaf9c,19,male,2022-11-22_09h41.57.042,onlinegloss,2022.2.3,Win32,71.79266279,space,5.271,,,,,,,,,,,,,,,,,,,,,,,,,
,,,388,610c66163e803a3564dfaf9c,19,male,2022-11-22_09h41.57.042,onlinegloss,2022.2.3,Win32,71.79266279,,,32.4,31.5,,,,,,,,,,,,,,,,,,,,,,,
,,,388,610c66163e803a3564dfaf9c,19,male,2022-11-22_09h41.57.042,onlinegloss,2022.2.3,Win32,71.79266279,,,,,space,16.2355,,,,,,,,,,,,,,,,,,,,,
,,,388,610c66163e803a3564dfaf9c,19,male,2022-11-22_09h41.57.042,onlinegloss,2022.2.3,Win32,71.79266279,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,388,610c66163e803a3564dfaf9c,19,male,2022-11-22_09h41.57.042,onlinegloss,2022.2.3,Win32,71.79266279,,,,,,,space,11.0126,,,,,,,,,,,,,,,,,,,
,,,388,610c66163e803a3564dfaf9c,19,male,2022-11-22_09h41.57.042,onlinegloss,2022.2.3,Win32,71.79266279,,,,,,,,,29,11,space,17.896,40,16.8734,0,0,0,0,1,101,,,,,,,
,,,388,610c66163e803a3564dfaf9c,19,male,2022-11-22_09h41.57.042,onlinegloss,2022.2.3,Win32,71.79266279,,,,,,,,,43,11,space,10.1484,38,9.5948,0,1,1,1,1,102,,,,,,,
,,,388,610c66163e803a3564dfaf9c,19,male,2022-11-22_09h41.57.042,onlinegloss,2022.2.3,Win32,71.79266279,,,,,,,,,41,11,space,9.104,13,8.8418,,,,,,72,0,0,0,72,1,,
,,,388,610c66163e803a3564dfaf9c,19,male,2022-11-22_09h41.57.042,onlinegloss,2022.2.3,Win32,71.79266279,,,,,,,,,40,11,space,17.4319,9,16.4704,,,,,,79,0,1,1,79,1,,
,,,388,610c66163e803a3564dfaf9c,19,male,2022-11-22_09h41.57.042,onlinegloss,2022.2.3,Win32,71.79266279,,,,,,,,,44,11,space,4.3118,14,3.8524,,,,,,10,0,2,2,10,1,,
,,,388,610c66163e803a3564dfaf9c,19,male,2022-11-22_09h41.57.042,onlinegloss,2022.2.3,Win32,71.79266279,,,,,,,,,42,11,space,7.7077,20,7.0173,,,,,,1,0,3,3,1,1,,
,,,388,610c66163e803a3564dfaf9c,19,male,2022-11-22_09h41.57.042,onlinegloss,2022.2.3,Win32,71.79266279,,,,,,,,,33,11,space,4.6755,6,4.3612,,,,,,12,0,4,4,12,1,,
,,,388,610c66163e803a3564dfaf9c,19,male,2022-11-22_09h41.57.042,onlinegloss,2022.2.3,Win32,71.79266279,,,,,,,,,51,11,space,6.5552,13,5.7949,,,,,,30,0,5,5,30,1,,
,,,388,610c66163e803a3564dfaf9c,19,male,2022-11-22_09h41.57.042,onlinegloss,2022.2.3,Win32,71.79266279,,,,,,,,,27,11,space,4.9633,1,4.569,,,,,,6,0,6,6,6,1,,
,,,388,610c66163e803a3564dfaf9c,19,male,2022-11-22_09h41.57.042,onlinegloss,2022.2.3,Win32,71.79266279,,,,,,,,,29,11,space,4.6738,7,4.4556,,,,,,48,0,7,7,48,1,,
,,,388,610c66163e803a3564dfaf9c,19,male,2022-11-22_09h41.57.042,onlinegloss,2022.2.3,Win32,71.79266279,,,,,,,,,33,11,space,4.9093,28,4.0949,,,,,,77,0,8,8,77,1,,
,,,388,610c66163e803a3564dfaf9c,19,male,2022-11-22_09h41.57.042,onlinegloss,2022.2.3,Win32,71.79266279,,,,,,,,,27,11,space,8.9924,21,8.518,,,,,,29,0,9,9,29,1,,
,,,388,610c66163e803a3564dfaf9c,19,male,2022-11-22_09h41.57.042,onlinegloss,2022.2.3,Win32,71.79266279,,,,,,,,,33,11,space,6.8749,14,6.1174,,,,,,54,0,10,10,54,1,,
,,,388,610c66163e803a3564dfaf9c,19,male,2022-11-22_09h41.57.042,onlinegloss,2022.2.3,Win32,71.79266279,,,,,,,,,41,11,space,5.149,18,4.9503,,,,,,26,0,11,11,26,1,,
,,,388,610c66163e803a3564dfaf9c,19,male,2022-11-22_09h41.57.042,onlinegloss,2022.2.3,Win32,71.79266279,,,,,,,,,46,11,space,7.665,17,7.1022,,,,,,23,0,12,12,23,1,,
,,,388,610c66163e803a3564dfaf9c,19,male,2022-11-22_09h41.57.042,onlinegloss,2022.2.3,Win32,71.79266279,,,,,,,,,39,11,space,4.6166,30,4.2939,,,,,,57,0,13,13,57,1,,
,,,388,610c66163e803a3564dfaf9c,19,male,2022-11-22_09h41.57.042,onlinegloss,2022.2.3,Win32,71.79266279,,,,,,,,,41,11,space,4.1363,14,4.0397,,,,,,62,0,14,14,62,1,,
,,,388,610c66163e803a3564dfaf9c,19,male,2022-11-22_09h41.57.042,onlinegloss,2022.2.3,Win32,71.79266279,,,,,,,,,40,11,space,4.7941,12,4.7274,,,,,,16,0,15,15,16,1,,
,,,388,610c66163e803a3564dfaf9c,19,male,2022-11-22_09h41.57.042,onlinegloss,2022.2.3,Win32,71.79266279,,,,,,,,,38,11,space,3.1026,9,2.9505,,,,,,15,0,16,16,15,1,,
,,,388,610c66163e803a3564dfaf9c,19,male,2022-11-22_09h41.57.042,onlinegloss,2022.2.3,Win32,71.79266279,,,,,,,,,32,11,space,36.558,13,36.2422,,,,,,59,0,17,17,59,1,,
,,,388,610c66163e803a3564dfaf9c,19,male,2022-11-22_09h41.57.042,onlinegloss,2022.2.3,Win32,71.79266279,,,,,,,,,46,11,space,12.6887,15,12.443,,,,,,50,0,18,18,50,1,,
,,,388,610c66163e803a3564dfaf9c,19,male,2022-11-22_09h41.57.042,onlinegloss,2022.2.3,Win32,71.79266279,,,,,,,,,39,11,space,45.2954,13,44.9371,,,,,,42,0,19,19,42,1,,
,,,388,610c66163e803a3564dfaf9c,19,male,2022-11-22_09h41.57.042,onlinegloss,2022.2.3,Win32,71.79266279,,,,,,,,,32,11,space,6.8048,14,5.0599,,,,,,41,0,20,20,41,1,,
,,,388,610c66163e803a3564dfaf9c,19,male,2022-11-22_09h41.57.042,onlinegloss,2022.2.3,Win32,71.79266279,,,,,,,,,50,11,space,3.76,11,3.61,,,,,,32,0,21,21,32,1,,
,,,388,610c66163e803a3564dfaf9c,19,male,2022-11-22_09h41.57.042,onlinegloss,2022.2.3,Win32,71.79266279,,,,,,,,,48,11,space,3.6782,8,3.3733,,,,,,31,0,22,22,31,1,,
,,,388,610c66163e803a3564dfaf9c,19,male,2022-11-22_09h41.57.042,onlinegloss,2022.2.3,Win32,71.79266279,,,,,,,,,31,11,space,3.7755,8,3.3466,,,,,,25,0,23,23,25,1,,
,,,388,610c66163e803a3564dfaf9c,19,male,2022-11-22_09h41.57.042,onlinegloss,2022.2.3,Win32,71.79266279,,,,,,,,,33,11,space,7.9769,26,7.7775,,,,,,5,0,24,24,5,1,,
,,,388,610c66163e803a3564dfaf9c,19,male,2022-11-22_09h41.57.042,onlinegloss,2022.2.3,Win32,71.79266279,,,,,,,,,36,11,space,5.7283,22,5.4646,,,,,,43,0,25,25,43,1,,
,,,388,610c66163e803a3564dfaf9c,19,male,2022-11-22_09h41.57.042,onlinegloss,2022.2.3,Win32,71.79266279,,,,,,,,,29,11,space,4.4375,19,4.2802,,,,,,45,0,26,26,45,1,,
,,,388,610c66163e803a3564dfaf9c,19,male,2022-11-22_09h41.57.042,onlinegloss,2022.2.3,Win32,71.79266279,,,,,,,,,43,11,space,2.851,13,2.6719,,,,,,49,0,27,27,49,1,,
,,,388,610c66163e803a3564dfaf9c,19,male,2022-11-22_09h41.57.042,onlinegloss,2022.2.3,Win32,71.79266279,,,,,,,,,33,11,space,3.9977,24,3.746,,,,,,60,0,28,28,60,1,,
,,,388,610c66163e803a3564dfaf9c,19,male,2022-11-22_09h41.57.042,onlinegloss,2022.2.3,Win32,71.79266279,,,,,,,,,29,11,space,11.2447,20,10.9152,,,,,,81,0,29,29,81,1,,
,,,388,610c66163e803a3564dfaf9c,19,male,2022-11-22_09h41.57.042,onlinegloss,2022.2.3,Win32,71.79266279,,,,,,,,,39,11,space,5.2998,16,5.1222,,,,,,28,0,30,30,28,1,,
,,,388,610c66163e803a3564dfaf9c,19,male,2022-11-22_09h41.57.042,onlinegloss,2022.2.3,Win32,71.79266279,,,,,,,,,47,11,space,2.3305,9,2.2548,,,,,,82,0,31,31,82,1,,
,,,388,610c66163e803a3564dfaf9c,19,male,2022-11-22_09h41.57.042,onlinegloss,2022.2.3,Win32,71.79266279,,,,,,,,,31,11,space,2.2933,11,2.1931,,,,,,68,0,32,32,68,1,,
,,,388,610c66163e803a3564dfaf9c,19,male,2022-11-22_09h41.57.042,onlinegloss,2022.2.3,Win32,71.79266279,,,,,,,,,47,11,space,3.1855,35,3.1026,,,,,,35,0,33,33,35,1,,
,,,388,610c66163e803a3564dfaf9c,19,male,2022-11-22_09h41.57.042,onlinegloss,2022.2.3,Win32,71.79266279,,,,,,,,,35,11,space,10.2203,1,9.3703,,,,,,0,0,34,34,0,1,,
,,,388,610c66163e803a3564dfaf9c,19,male,2022-11-22_09h41.57.042,onlinegloss,2022.2.3,Win32,71.79266279,,,,,,,,,47,11,space,4.6757,2,4.4707,,,,,,19,0,35,35,19,1,,
,,,388,610c66163e803a3564dfaf9c,19,male,2022-11-22_09h41.57.042,onlinegloss,2022.2.3,Win32,71.79266279,,,,,,,,,50,11,space,3.5372,18,3.2277,,,,,,22,0,36,36,22,1,,
,,,388,610c66163e803a3564dfaf9c,19,male,2022-11-22_09h41.57.042,onlinegloss,2022.2.3,Win32,71.79266279,,,,,,,,,40,11,space,3.9507,33,3.6775,,,,,,44,0,37,37,44,1,,
,,,388,610c66163e803a3564dfaf9c,19,male,2022-11-22_09h41.57.042,onlinegloss,2022.2.3,Win32,71.79266279,,,,,,,,,43,11,space,4.2776,23,4.094,,,,,,27,0,38,38,27,1,,
,,,388,610c66163e803a3564dfaf9c,19,male,2022-11-22_09h41.57.042,onlinegloss,2022.2.3,Win32,71.79266279,,,,,,,,,37,11,space,3.074,26,2.8672,,,,,,37,0,39,39,37,1,,
,,,388,610c66163e803a3564dfaf9c,19,male,2022-11-22_09h41.57.042,onlinegloss,2022.2.3,Win32,71.79266279,,,,,,,,,38,11,space,2.6824,20,2.4729,,,,,,21,0,40,40,21,1,,
,,,388,610c66163e803a3564dfaf9c,19,male,2022-11-22_09h41.57.042,onlinegloss,2022.2.3,Win32,71.79266279,,,,,,,,,51,11,space,2.2711,5,2.2556,,,,,,75,0,41,41,75,1,,
,,,388,610c66163e803a3564dfaf9c,19,male,2022-11-22_09h41.57.042,onlinegloss,2022.2.3,Win32,71.79266279,,,,,,,,,39,11,space,3.4076,19,3.3081,,,,,,8,0,42,42,8,1,,
,,,388,610c66163e803a3564dfaf9c,19,male,2022-11-22_09h41.57.042,onlinegloss,2022.2.3,Win32,71.79266279,,,,,,,,,37,11,space,2.3742,7,2.2603,,,,,,47,0,43,43,47,1,,
,,,388,610c66163e803a3564dfaf9c,19,male,2022-11-22_09h41.57.042,onlinegloss,2022.2.3,Win32,71.79266279,,,,,,,,,35,11,space,5.0422,13,4.958,,,,,,40,0,44,44,40,1,,
,,,388,610c66163e803a3564dfaf9c,19,male,2022-11-22_09h41.57.042,onlinegloss,2022.2.3,Win32,71.79266279,,,,,,,,,49,11,space,3.243,38,3.0321,,,,,,13,0,45,45,13,1,,
,,,388,610c66163e803a3564dfaf9c,19,male,2022-11-22_09h41.57.042,onlinegloss,2022.2.3,Win32,71.79266279,,,,,,,,,31,11,space,3.9492,18,3.8594,,,,,,67,0,46,46,67,1,,
,,,388,610c66163e803a3564dfaf9c,19,male,2022-11-22_09h41.57.042,onlinegloss,2022.2.3,Win32,71.79266279,,,,,,,,,49,11,space,3.1076,19,2.9918,,,,,,4,0,47,47,4,1,,
,,,388,610c66163e803a3564dfaf9c,19,male,2022-11-22_09h41.57.042,onlinegloss,2022.2.3,Win32,71.79266279,,,,,,,,,29,11,space,3.4289,16,3.3877,,,,,,70,0,48,48,70,1,,
,,,388,610c66163e803a3564dfaf9c,19,male,2022-11-22_09h41.57.042,onlinegloss,2022.2.3,Win32,71.79266279,,,,,,,,,46,11,space,2.9606,15,2.8943,,,,,,7,0,49,49,7,1,,
