button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[1.0886999999284512],[1.0886999999284512],626,5c2fb1412c45d400014ae103,28,M,2022-11-22_15h00.35.552,onlinegloss,2022.2.3,Win32,59.97720866,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,626,5c2fb1412c45d400014ae103,28,M,2022-11-22_15h00.35.552,onlinegloss,2022.2.3,Win32,59.97720866,space,2.0914,,,,,,,,,,,,,,,,,,,,,,,,,
,,,626,5c2fb1412c45d400014ae103,28,M,2022-11-22_15h00.35.552,onlinegloss,2022.2.3,Win32,59.97720866,,,39,40.5,,,,,,,,,,,,,,,,,,,,,,,
,,,626,5c2fb1412c45d400014ae103,28,M,2022-11-22_15h00.35.552,onlinegloss,2022.2.3,Win32,59.97720866,,,,,space,11.7341,,,,,,,,,,,,,,,,,,,,,
,,,626,5c2fb1412c45d400014ae103,28,M,2022-11-22_15h00.35.552,onlinegloss,2022.2.3,Win32,59.97720866,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,626,5c2fb1412c45d400014ae103,28,M,2022-11-22_15h00.35.552,onlinegloss,2022.2.3,Win32,59.97720866,,,,,,,space,1.159,,,,,,,,,,,,,,,,,,,
,,,626,5c2fb1412c45d400014ae103,28,M,2022-11-22_15h00.35.552,onlinegloss,2022.2.3,Win32,59.97720866,,,,,,,,,43,33,space,3.0869,35,2.8625,0,0,0,0,1,101,,,,,,,
,,,626,5c2fb1412c45d400014ae103,28,M,2022-11-22_15h00.35.552,onlinegloss,2022.2.3,Win32,59.97720866,,,,,,,,,42,33,space,0.9352,34,0.7256,0,1,1,1,1,102,,,,,,,
,,,626,5c2fb1412c45d400014ae103,28,M,2022-11-22_15h00.35.552,onlinegloss,2022.2.3,Win32,59.97720866,,,,,,,,,48,33,space,0.9318,40,0.7729,,,,,,27,0,0,0,27,1,,
,,,626,5c2fb1412c45d400014ae103,28,M,2022-11-22_15h00.35.552,onlinegloss,2022.2.3,Win32,59.97720866,,,,,,,,,32,33,space,1.4498,21,1.3075,,,,,,3,0,1,1,3,1,,
