button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[11.95889999997616],[11.966699999988078],900,5f8586b33e4d65036ae018f9,41,male,2022-11-22_17h15.55.759,onlinegloss,2022.2.3,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,900,5f8586b33e4d65036ae018f9,41,male,2022-11-22_17h15.55.759,onlinegloss,2022.2.3,Win32,59.95922773,space,5.1983,,,,,,,,,,,,,,,,,,,,,,,,,
,,,900,5f8586b33e4d65036ae018f9,41,male,2022-11-22_17h15.55.759,onlinegloss,2022.2.3,Win32,59.95922773,,,37,36.9,,,,,,,,,,,,,,,,,,,,,,,
,,,900,5f8586b33e4d65036ae018f9,41,male,2022-11-22_17h15.55.759,onlinegloss,2022.2.3,Win32,59.95922773,,,,,space,10.4461,,,,,,,,,,,,,,,,,,,,,
,,,900,5f8586b33e4d65036ae018f9,41,male,2022-11-22_17h15.55.759,onlinegloss,2022.2.3,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,900,5f8586b33e4d65036ae018f9,41,male,2022-11-22_17h15.55.759,onlinegloss,2022.2.3,Win32,59.95922773,,,,,,,space,78.9755,,,,,,,,,,,,,,,,,,,
,,,900,5f8586b33e4d65036ae018f9,41,male,2022-11-22_17h15.55.759,onlinegloss,2022.2.3,Win32,59.95922773,,,,,,,,,50,37,space,13.4843,39,13.0842,0,0,0,0,1,101,,,,,,,
,,,900,5f8586b33e4d65036ae018f9,41,male,2022-11-22_17h15.55.759,onlinegloss,2022.2.3,Win32,59.95922773,,,,,,,,,47,37,space,11.7784,38,11.3393,0,1,1,1,1,102,,,,,,,
,,,900,5f8586b33e4d65036ae018f9,41,male,2022-11-22_17h15.55.759,onlinegloss,2022.2.3,Win32,59.95922773,,,,,,,,,29,37,space,9.5425,4,8.8897,,,,,,61,0,0,0,61,1,,
,,,900,5f8586b33e4d65036ae018f9,41,male,2022-11-22_17h15.55.759,onlinegloss,2022.2.3,Win32,59.95922773,,,,,,,,,37,37,space,5.2074,1,4.6348,,,,,,38,0,1,1,38,1,,
,,,900,5f8586b33e4d65036ae018f9,41,male,2022-11-22_17h15.55.759,onlinegloss,2022.2.3,Win32,59.95922773,,,,,,,,,43,37,space,5.9158,12,5.6652,,,,,,73,0,2,2,73,1,,
,,,900,5f8586b33e4d65036ae018f9,41,male,2022-11-22_17h15.55.759,onlinegloss,2022.2.3,Win32,59.95922773,,,,,,,,,36,37,space,10.6155,10,9.3484,,,,,,18,0,3,3,18,1,,
,,,900,5f8586b33e4d65036ae018f9,41,male,2022-11-22_17h15.55.759,onlinegloss,2022.2.3,Win32,59.95922773,,,,,,,,,36,37,space,5.2469,38,4.9645,,,,,,74,0,4,4,74,1,,
,,,900,5f8586b33e4d65036ae018f9,41,male,2022-11-22_17h15.55.759,onlinegloss,2022.2.3,Win32,59.95922773,,,,,,,,,49,37,space,8.9988,1,7.4651,,,,,,54,0,5,5,54,1,,
,,,900,5f8586b33e4d65036ae018f9,41,male,2022-11-22_17h15.55.759,onlinegloss,2022.2.3,Win32,59.95922773,,,,,,,,,41,37,space,9.9634,7,9.5648,,,,,,58,0,6,6,58,1,,
,,,900,5f8586b33e4d65036ae018f9,41,male,2022-11-22_17h15.55.759,onlinegloss,2022.2.3,Win32,59.95922773,,,,,,,,,50,37,space,7.0997,6,5.9151,,,,,,1,0,7,7,1,1,,
,,,900,5f8586b33e4d65036ae018f9,41,male,2022-11-22_17h15.55.759,onlinegloss,2022.2.3,Win32,59.95922773,,,,,,,,,34,37,space,9.4978,27,8.998,,,,,,78,0,8,8,78,1,,
,,,900,5f8586b33e4d65036ae018f9,41,male,2022-11-22_17h15.55.759,onlinegloss,2022.2.3,Win32,59.95922773,,,,,,,,,37,37,space,3.2831,5,3.0321,,,,,,3,0,9,9,3,1,,
,,,900,5f8586b33e4d65036ae018f9,41,male,2022-11-22_17h15.55.759,onlinegloss,2022.2.3,Win32,59.95922773,,,,,,,,,47,37,space,4.0161,12,3.6149,,,,,,13,0,10,10,13,1,,
,,,900,5f8586b33e4d65036ae018f9,41,male,2022-11-22_17h15.55.759,onlinegloss,2022.2.3,Win32,59.95922773,,,,,,,,,50,37,space,4.1158,16,3.8984,,,,,,14,0,11,11,14,1,,
,,,900,5f8586b33e4d65036ae018f9,41,male,2022-11-22_17h15.55.759,onlinegloss,2022.2.3,Win32,59.95922773,,,,,,,,,41,37,space,5.7152,11,5.2819,,,,,,55,0,12,12,55,1,,
,,,900,5f8586b33e4d65036ae018f9,41,male,2022-11-22_17h15.55.759,onlinegloss,2022.2.3,Win32,59.95922773,,,,,,,,,48,37,space,5.0288,24,4.749,,,,,,4,0,13,13,4,1,,
,,,900,5f8586b33e4d65036ae018f9,41,male,2022-11-22_17h15.55.759,onlinegloss,2022.2.3,Win32,59.95922773,,,,,,,,,52,37,space,5.2271,19,5.0314,,,,,,17,0,14,14,17,1,,
,,,900,5f8586b33e4d65036ae018f9,41,male,2022-11-22_17h15.55.759,onlinegloss,2022.2.3,Win32,59.95922773,,,,,,,,,27,37,space,6.866,20,5.8156,,,,,,70,0,15,15,70,1,,
,,,900,5f8586b33e4d65036ae018f9,41,male,2022-11-22_17h15.55.759,onlinegloss,2022.2.3,Win32,59.95922773,,,,,,,,,38,37,space,51.0999,19,49.8822,,,,,,72,0,16,16,72,1,,
,,,900,5f8586b33e4d65036ae018f9,41,male,2022-11-22_17h15.55.759,onlinegloss,2022.2.3,Win32,59.95922773,,,,,,,,,48,37,space,6.6888,36,5.8054,,,,,,47,0,17,17,47,1,,
,,,900,5f8586b33e4d65036ae018f9,41,male,2022-11-22_17h15.55.759,onlinegloss,2022.2.3,Win32,59.95922773,,,,,,,,,36,37,space,6.0418,46,5.2853,,,,,,30,0,18,18,30,1,,
,,,900,5f8586b33e4d65036ae018f9,41,male,2022-11-22_17h15.55.759,onlinegloss,2022.2.3,Win32,59.95922773,,,,,,,,,31,37,space,8.0444,36,6.6945,,,,,,6,0,19,19,6,1,,
,,,900,5f8586b33e4d65036ae018f9,41,male,2022-11-22_17h15.55.759,onlinegloss,2022.2.3,Win32,59.95922773,,,,,,,,,42,37,space,4.9659,21,4.6988,,,,,,15,0,20,20,15,1,,
,,,900,5f8586b33e4d65036ae018f9,41,male,2022-11-22_17h15.55.759,onlinegloss,2022.2.3,Win32,59.95922773,,,,,,,,,44,37,space,3.6299,23,3.5154,,,,,,28,0,21,21,28,1,,
,,,900,5f8586b33e4d65036ae018f9,41,male,2022-11-22_17h15.55.759,onlinegloss,2022.2.3,Win32,59.95922773,,,,,,,,,48,37,space,4.1989,18,4.0154,,,,,,63,0,22,22,63,1,,
,,,900,5f8586b33e4d65036ae018f9,41,male,2022-11-22_17h15.55.759,onlinegloss,2022.2.3,Win32,59.95922773,,,,,,,,,29,37,space,4.6639,41,4.3483,,,,,,65,0,23,23,65,1,,
,,,900,5f8586b33e4d65036ae018f9,41,male,2022-11-22_17h15.55.759,onlinegloss,2022.2.3,Win32,59.95922773,,,,,,,,,44,37,space,3.3487,39,3.1485,,,,,,9,0,24,24,9,1,,
,,,900,5f8586b33e4d65036ae018f9,41,male,2022-11-22_17h15.55.759,onlinegloss,2022.2.3,Win32,59.95922773,,,,,,,,,40,37,space,2.6147,47,2.4321,,,,,,84,0,25,25,84,1,,
,,,900,5f8586b33e4d65036ae018f9,41,male,2022-11-22_17h15.55.759,onlinegloss,2022.2.3,Win32,59.95922773,,,,,,,,,46,37,space,2.9993,19,2.7987,,,,,,37,0,26,26,37,1,,
,,,900,5f8586b33e4d65036ae018f9,41,male,2022-11-22_17h15.55.759,onlinegloss,2022.2.3,Win32,59.95922773,,,,,,,,,49,37,space,4.8487,49,4.5486,,,,,,71,0,27,27,71,1,,
,,,900,5f8586b33e4d65036ae018f9,41,male,2022-11-22_17h15.55.759,onlinegloss,2022.2.3,Win32,59.95922773,,,,,,,,,38,37,space,3.7323,25,3.5985,,,,,,46,0,28,28,46,1,,
,,,900,5f8586b33e4d65036ae018f9,41,male,2022-11-22_17h15.55.759,onlinegloss,2022.2.3,Win32,59.95922773,,,,,,,,,40,37,space,4.548,22,4.2482,,,,,,24,0,29,29,24,1,,
,,,900,5f8586b33e4d65036ae018f9,41,male,2022-11-22_17h15.55.759,onlinegloss,2022.2.3,Win32,59.95922773,,,,,,,,,50,37,space,5.7486,24,5.3485,,,,,,8,0,30,30,8,1,,
,,,900,5f8586b33e4d65036ae018f9,41,male,2022-11-22_17h15.55.759,onlinegloss,2022.2.3,Win32,59.95922773,,,,,,,,,42,37,space,3.3993,4,3.2657,,,,,,59,0,31,31,59,1,,
,,,900,5f8586b33e4d65036ae018f9,41,male,2022-11-22_17h15.55.759,onlinegloss,2022.2.3,Win32,59.95922773,,,,,,,,,38,37,space,4.6485,25,4.3651,,,,,,45,0,32,32,45,1,,
,,,900,5f8586b33e4d65036ae018f9,41,male,2022-11-22_17h15.55.759,onlinegloss,2022.2.3,Win32,59.95922773,,,,,,,,,47,37,space,6.8998,1,5.9988,,,,,,0,0,33,33,0,1,,
,,,900,5f8586b33e4d65036ae018f9,41,male,2022-11-22_17h15.55.759,onlinegloss,2022.2.3,Win32,59.95922773,,,,,,,,,43,37,space,6.2652,10,4.9322,,,,,,33,0,34,34,33,1,,
,,,900,5f8586b33e4d65036ae018f9,41,male,2022-11-22_17h15.55.759,onlinegloss,2022.2.3,Win32,59.95922773,,,,,,,,,43,37,space,6.0482,40,5.5152,,,,,,19,0,35,35,19,1,,
,,,900,5f8586b33e4d65036ae018f9,41,male,2022-11-22_17h15.55.759,onlinegloss,2022.2.3,Win32,59.95922773,,,,,,,,,28,37,space,3.9818,23,3.7654,,,,,,48,0,36,36,48,1,,
,,,900,5f8586b33e4d65036ae018f9,41,male,2022-11-22_17h15.55.759,onlinegloss,2022.2.3,Win32,59.95922773,,,,,,,,,44,37,space,2.8662,1,2.582,,,,,,23,0,37,37,23,1,,
,,,900,5f8586b33e4d65036ae018f9,41,male,2022-11-22_17h15.55.759,onlinegloss,2022.2.3,Win32,59.95922773,,,,,,,,,48,37,space,4.3317,25,4.1149,,,,,,12,0,38,38,12,1,,
,,,900,5f8586b33e4d65036ae018f9,41,male,2022-11-22_17h15.55.759,onlinegloss,2022.2.3,Win32,59.95922773,,,,,,,,,42,37,space,2.6823,19,2.465,,,,,,42,0,39,39,42,1,,
,,,900,5f8586b33e4d65036ae018f9,41,male,2022-11-22_17h15.55.759,onlinegloss,2022.2.3,Win32,59.95922773,,,,,,,,,31,37,space,6.382,14,6.2652,,,,,,36,0,40,40,36,1,,
,,,900,5f8586b33e4d65036ae018f9,41,male,2022-11-22_17h15.55.759,onlinegloss,2022.2.3,Win32,59.95922773,,,,,,,,,27,37,space,2.4494,17,2.3817,,,,,,60,0,41,41,60,1,,
,,,900,5f8586b33e4d65036ae018f9,41,male,2022-11-22_17h15.55.759,onlinegloss,2022.2.3,Win32,59.95922773,,,,,,,,,45,37,space,3.3151,23,3.1651,,,,,,34,0,42,42,34,1,,
,,,900,5f8586b33e4d65036ae018f9,41,male,2022-11-22_17h15.55.759,onlinegloss,2022.2.3,Win32,59.95922773,,,,,,,,,28,37,space,2.3494,27,2.2154,,,,,,22,0,43,43,22,1,,
,,,900,5f8586b33e4d65036ae018f9,41,male,2022-11-22_17h15.55.759,onlinegloss,2022.2.3,Win32,59.95922773,,,,,,,,,41,37,space,2.8982,34,2.7315,,,,,,81,0,44,44,81,1,,
,,,900,5f8586b33e4d65036ae018f9,41,male,2022-11-22_17h15.55.759,onlinegloss,2022.2.3,Win32,59.95922773,,,,,,,,,35,37,space,2.5646,27,2.4483,,,,,,29,0,45,45,29,1,,
