button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[13.507600000023842],[13.507600000023842],939,5d28e9a495264b001c5c1c01,60,male,2022-11-22_17h22.06.061,onlinegloss,2022.2.3,Win32,59.96282305,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,939,5d28e9a495264b001c5c1c01,60,male,2022-11-22_17h22.06.061,onlinegloss,2022.2.3,Win32,59.96282305,space,10.2638,,,,,,,,,,,,,,,,,,,,,,,,,
,,,939,5d28e9a495264b001c5c1c01,60,male,2022-11-22_17h22.06.061,onlinegloss,2022.2.3,Win32,59.96282305,,,40,40.6,,,,,,,,,,,,,,,,,,,,,,,
,,,939,5d28e9a495264b001c5c1c01,60,male,2022-11-22_17h22.06.061,onlinegloss,2022.2.3,Win32,59.96282305,,,,,space,12.0927,,,,,,,,,,,,,,,,,,,,,
,,,939,5d28e9a495264b001c5c1c01,60,male,2022-11-22_17h22.06.061,onlinegloss,2022.2.3,Win32,59.96282305,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,939,5d28e9a495264b001c5c1c01,60,male,2022-11-22_17h22.06.061,onlinegloss,2022.2.3,Win32,59.96282305,,,,,,,space,57.8976,,,,,,,,,,,,,,,,,,,
,,,939,5d28e9a495264b001c5c1c01,60,male,2022-11-22_17h22.06.061,onlinegloss,2022.2.3,Win32,59.96282305,,,,,,,,,40,22,space,24.1155,39,17.9114,0,0,0,0,1,101,,,,,,,
,,,939,5d28e9a495264b001c5c1c01,60,male,2022-11-22_17h22.06.061,onlinegloss,2022.2.3,Win32,59.96282305,,,,,,,,,32,22,space,18.7188,44,16.0191,0,1,1,1,1,102,,,,,,,
,,,939,5d28e9a495264b001c5c1c01,60,male,2022-11-22_17h22.06.061,onlinegloss,2022.2.3,Win32,59.96282305,,,,,,,,,27,22,space,22.9929,20,14.3533,,,,,,40,0,0,0,40,1,,
,,,939,5d28e9a495264b001c5c1c01,60,male,2022-11-22_17h22.06.061,onlinegloss,2022.2.3,Win32,59.96282305,,,,,,,,,26,22,space,19.7302,3,15.9718,,,,,,69,0,1,1,69,1,,
