button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[13.360000000000003],[13.360000000000003],670,5b9fa25e7b196f000195fd78,39,male,2022-11-22_15h04.49.542,onlinegloss,2022.2.3,Win32,75.07507508,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,670,5b9fa25e7b196f000195fd78,39,male,2022-11-22_15h04.49.542,onlinegloss,2022.2.3,Win32,75.07507508,space,7.595,,,,,,,,,,,,,,,,,,,,,,,,,
,,,670,5b9fa25e7b196f000195fd78,39,male,2022-11-22_15h04.49.542,onlinegloss,2022.2.3,Win32,75.07507508,,,32.8,33.9,,,,,,,,,,,,,,,,,,,,,,,
,,,670,5b9fa25e7b196f000195fd78,39,male,2022-11-22_15h04.49.542,onlinegloss,2022.2.3,Win32,75.07507508,,,,,space,15.824,,,,,,,,,,,,,,,,,,,,,
,,,670,5b9fa25e7b196f000195fd78,39,male,2022-11-22_15h04.49.542,onlinegloss,2022.2.3,Win32,75.07507508,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,670,5b9fa25e7b196f000195fd78,39,male,2022-11-22_15h04.49.542,onlinegloss,2022.2.3,Win32,75.07507508,,,,,,,space,24.035,,,,,,,,,,,,,,,,,,,
,,,670,5b9fa25e7b196f000195fd78,39,male,2022-11-22_15h04.49.542,onlinegloss,2022.2.3,Win32,75.07507508,,,,,,,,,37,23,space,34.27,44,31.309,0,0,0,0,1,101,,,,,,,
,,,670,5b9fa25e7b196f000195fd78,39,male,2022-11-22_15h04.49.542,onlinegloss,2022.2.3,Win32,75.07507508,,,,,,,,,35,23,space,8.651,17,8.276,0,1,1,1,1,102,,,,,,,
,,,670,5b9fa25e7b196f000195fd78,39,male,2022-11-22_15h04.49.542,onlinegloss,2022.2.3,Win32,75.07507508,,,,,,,,,35,23,space,4.199,1,3.567,,,,,,30,0,0,0,30,1,,
,,,670,5b9fa25e7b196f000195fd78,39,male,2022-11-22_15h04.49.542,onlinegloss,2022.2.3,Win32,75.07507508,,,,,,,,,45,23,space,4.247,1,3.916,,,,,,33,0,1,1,33,1,,
,,,670,5b9fa25e7b196f000195fd78,39,male,2022-11-22_15h04.49.542,onlinegloss,2022.2.3,Win32,75.07507508,,,,,,,,,40,23,space,4.143,1,3.301,,,,,,65,0,2,2,65,1,,
,,,670,5b9fa25e7b196f000195fd78,39,male,2022-11-22_15h04.49.542,onlinegloss,2022.2.3,Win32,75.07507508,,,,,,,,,41,23,space,2.88,1,2.435,,,,,,12,0,3,3,12,1,,
