button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[1.59880000001192],[1.5989000000059619],251,5c8b65c3e65fc600177b4a1a,61,Female,2022-11-22_09h32.23.587,onlinegloss,2022.2.3,Win32,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,251,5c8b65c3e65fc600177b4a1a,61,Female,2022-11-22_09h32.23.587,onlinegloss,2022.2.3,Win32,60.60606061,space,6.0644,,,,,,,,,,,,,,,,,,,,,,,,,
,,,251,5c8b65c3e65fc600177b4a1a,61,Female,2022-11-22_09h32.23.587,onlinegloss,2022.2.3,Win32,60.60606061,,,45.1,44.8,,,,,,,,,,,,,,,,,,,,,,,
,,,251,5c8b65c3e65fc600177b4a1a,61,Female,2022-11-22_09h32.23.587,onlinegloss,2022.2.3,Win32,60.60606061,,,,,space,10.4348,,,,,,,,,,,,,,,,,,,,,
,,,251,5c8b65c3e65fc600177b4a1a,61,Female,2022-11-22_09h32.23.587,onlinegloss,2022.2.3,Win32,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,251,5c8b65c3e65fc600177b4a1a,61,Female,2022-11-22_09h32.23.587,onlinegloss,2022.2.3,Win32,60.60606061,,,,,,,space,10.4196,,,,,,,,,,,,,,,,,,,
,,,251,5c8b65c3e65fc600177b4a1a,61,Female,2022-11-22_09h32.23.587,onlinegloss,2022.2.3,Win32,60.60606061,,,,,,,,,28,36,space,8.1737,34,8.0187,0,0,0,0,1,101,,,,,,,
,,,251,5c8b65c3e65fc600177b4a1a,61,Female,2022-11-22_09h32.23.587,onlinegloss,2022.2.3,Win32,60.60606061,,,,,,,,,36,36,space,2.0631,,,0,1,1,1,1,102,,,,,,,
,,,251,5c8b65c3e65fc600177b4a1a,61,Female,2022-11-22_09h32.23.587,onlinegloss,2022.2.3,Win32,60.60606061,,,,,,,,,36,36,space,1.5016,,,,,,,,84,0,0,0,84,1,,
,,,251,5c8b65c3e65fc600177b4a1a,61,Female,2022-11-22_09h32.23.587,onlinegloss,2022.2.3,Win32,60.60606061,,,,,,,,,32,36,space,6.2398,14,6.1475,,,,,,4,0,1,1,4,1,,
,,,251,5c8b65c3e65fc600177b4a1a,61,Female,2022-11-22_09h32.23.587,onlinegloss,2022.2.3,Win32,60.60606061,,,,,,,,,32,36,space,5.332,8,5.0689,,,,,,46,0,2,2,46,1,,
,,,251,5c8b65c3e65fc600177b4a1a,61,Female,2022-11-22_09h32.23.587,onlinegloss,2022.2.3,Win32,60.60606061,,,,,,,,,43,36,space,6.199,17,6.1325,,,,,,60,0,3,3,60,1,,
,,,251,5c8b65c3e65fc600177b4a1a,61,Female,2022-11-22_09h32.23.587,onlinegloss,2022.2.3,Win32,60.60606061,,,,,,,,,34,36,space,3.5679,17,3.1728,,,,,,47,0,4,4,47,1,,
,,,251,5c8b65c3e65fc600177b4a1a,61,Female,2022-11-22_09h32.23.587,onlinegloss,2022.2.3,Win32,60.60606061,,,,,,,,,35,36,space,2.8072,17,1.9815,,,,,,35,0,5,5,35,1,,
,,,251,5c8b65c3e65fc600177b4a1a,61,Female,2022-11-22_09h32.23.587,onlinegloss,2022.2.3,Win32,60.60606061,,,,,,,,,50,36,space,8.2616,16,7.7163,,,,,,20,0,6,6,20,1,,
,,,251,5c8b65c3e65fc600177b4a1a,61,Female,2022-11-22_09h32.23.587,onlinegloss,2022.2.3,Win32,60.60606061,,,,,,,,,28,36,space,3.3169,1,3.1104,,,,,,61,0,7,7,61,1,,
,,,251,5c8b65c3e65fc600177b4a1a,61,Female,2022-11-22_09h32.23.587,onlinegloss,2022.2.3,Win32,60.60606061,,,,,,,,,42,36,space,6.608,16,5.8048,,,,,,64,0,8,8,64,1,,
,,,251,5c8b65c3e65fc600177b4a1a,61,Female,2022-11-22_09h32.23.587,onlinegloss,2022.2.3,Win32,60.60606061,,,,,,,,,44,36,space,3.8882,6,3.5205,,,,,,66,0,9,9,66,1,,
,,,251,5c8b65c3e65fc600177b4a1a,61,Female,2022-11-22_09h32.23.587,onlinegloss,2022.2.3,Win32,60.60606061,,,,,,,,,30,36,space,2.8583,,,,,,,,49,0,10,10,49,1,,
,,,251,5c8b65c3e65fc600177b4a1a,61,Female,2022-11-22_09h32.23.587,onlinegloss,2022.2.3,Win32,60.60606061,,,,,,,,,40,36,space,2.0378,8,1.7377,,,,,,72,0,11,11,72,1,,
,,,251,5c8b65c3e65fc600177b4a1a,61,Female,2022-11-22_09h32.23.587,onlinegloss,2022.2.3,Win32,60.60606061,,,,,,,,,30,36,space,1.9163,9,1.3374,,,,,,79,0,12,12,79,1,,
