button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[5.736999999999998],[5.736999999999998],189,62b1f291460779ad0080753e,56,female,2022-11-22_09h26.31.355,onlinegloss,2022.2.3,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,189,62b1f291460779ad0080753e,56,female,2022-11-22_09h26.31.355,onlinegloss,2022.2.3,MacIntel,62.5,space,4.531,,,,,,,,,,,,,,,,,,,,,,,,,
,,,189,62b1f291460779ad0080753e,56,female,2022-11-22_09h26.31.355,onlinegloss,2022.2.3,MacIntel,62.5,,,35.4,37.9,,,,,,,,,,,,,,,,,,,,,,,
,,,189,62b1f291460779ad0080753e,56,female,2022-11-22_09h26.31.355,onlinegloss,2022.2.3,MacIntel,62.5,,,,,space,33.918,,,,,,,,,,,,,,,,,,,,,
,,,189,62b1f291460779ad0080753e,56,female,2022-11-22_09h26.31.355,onlinegloss,2022.2.3,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,189,62b1f291460779ad0080753e,56,female,2022-11-22_09h26.31.355,onlinegloss,2022.2.3,MacIntel,62.5,,,,,,,space,25.281,,,,,,,,,,,,,,,,,,,
,,,189,62b1f291460779ad0080753e,56,female,2022-11-22_09h26.31.355,onlinegloss,2022.2.3,MacIntel,62.5,,,,,,,,,44,28,space,19.675,37,18.524,0,0,0,0,1,101,,,,,,,
,,,189,62b1f291460779ad0080753e,56,female,2022-11-22_09h26.31.355,onlinegloss,2022.2.3,MacIntel,62.5,,,,,,,,,39,28,space,12.266,25,11.918,0,1,1,1,1,102,,,,,,,
,,,189,62b1f291460779ad0080753e,56,female,2022-11-22_09h26.31.355,onlinegloss,2022.2.3,MacIntel,62.5,,,,,,,,,28,28,space,18.023,8,17.494,,,,,,25,0,0,0,25,1,,
,,,189,62b1f291460779ad0080753e,56,female,2022-11-22_09h26.31.355,onlinegloss,2022.2.3,MacIntel,62.5,,,,,,,,,51,28,space,11.213,2,10.805,,,,,,30,0,1,1,30,1,,
