button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[8.860799999952317],[8.860799999952317],365,5ee18255395f8655ae190e48,37,Male,2022-11-22_09h39.29.431,onlinegloss,2022.2.3,Win32,59.87665409,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,365,5ee18255395f8655ae190e48,37,Male,2022-11-22_09h39.29.431,onlinegloss,2022.2.3,Win32,59.87665409,space,88.4568,,,,,,,,,,,,,,,,,,,,,,,,,
,,,365,5ee18255395f8655ae190e48,37,Male,2022-11-22_09h39.29.431,onlinegloss,2022.2.3,Win32,59.87665409,,,41.5,42,,,,,,,,,,,,,,,,,,,,,,,
,,,365,5ee18255395f8655ae190e48,37,Male,2022-11-22_09h39.29.431,onlinegloss,2022.2.3,Win32,59.87665409,,,,,space,8.9432,,,,,,,,,,,,,,,,,,,,,
,,,365,5ee18255395f8655ae190e48,37,Male,2022-11-22_09h39.29.431,onlinegloss,2022.2.3,Win32,59.87665409,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,365,5ee18255395f8655ae190e48,37,Male,2022-11-22_09h39.29.431,onlinegloss,2022.2.3,Win32,59.87665409,,,,,,,space,93.1915,,,,,,,,,,,,,,,,,,,
,,,365,5ee18255395f8655ae190e48,37,Male,2022-11-22_09h39.29.431,onlinegloss,2022.2.3,Win32,59.87665409,,,,,,,,,40,42,space,51.7263,32,49.992,0,0,0,0,1,101,,,,,,,
,,,365,5ee18255395f8655ae190e48,37,Male,2022-11-22_09h39.29.431,onlinegloss,2022.2.3,Win32,59.87665409,,,,,,,,,44,42,space,21.1831,35,20.0308,0,1,1,1,1,102,,,,,,,
,,,365,5ee18255395f8655ae190e48,37,Male,2022-11-22_09h39.29.431,onlinegloss,2022.2.3,Win32,59.87665409,,,,,,,,,50,42,space,26.5483,14,25.3464,,,,,,51,0,0,0,51,1,,
,,,365,5ee18255395f8655ae190e48,37,Male,2022-11-22_09h39.29.431,onlinegloss,2022.2.3,Win32,59.87665409,,,,,,,,,33,42,space,64.3984,6,62.2639,,,,,,82,0,1,1,82,1,,
