button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[3.2650000000000006],[3.2650000000000006],896,62e2917bb46ebde5c7866071,53,male,2022-11-22_17h15.54.236,onlinegloss,2022.2.3,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,896,62e2917bb46ebde5c7866071,53,male,2022-11-22_17h15.54.236,onlinegloss,2022.2.3,Win32,59.95203837,space,3.835,,,,,,,,,,,,,,,,,,,,,,,,,
,,,896,62e2917bb46ebde5c7866071,53,male,2022-11-22_17h15.54.236,onlinegloss,2022.2.3,Win32,59.95203837,,,43.1,43.4,,,,,,,,,,,,,,,,,,,,,,,
,,,896,62e2917bb46ebde5c7866071,53,male,2022-11-22_17h15.54.236,onlinegloss,2022.2.3,Win32,59.95203837,,,,,space,13.187,,,,,,,,,,,,,,,,,,,,,
,,,896,62e2917bb46ebde5c7866071,53,male,2022-11-22_17h15.54.236,onlinegloss,2022.2.3,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,896,62e2917bb46ebde5c7866071,53,male,2022-11-22_17h15.54.236,onlinegloss,2022.2.3,Win32,59.95203837,,,,,,,space,4.345,,,,,,,,,,,,,,,,,,,
,,,896,62e2917bb46ebde5c7866071,53,male,2022-11-22_17h15.54.236,onlinegloss,2022.2.3,Win32,59.95203837,,,,,,,,,41,33,space,14.061,42,10.195,0,0,0,0,1,101,,,,,,,
,,,896,62e2917bb46ebde5c7866071,53,male,2022-11-22_17h15.54.236,onlinegloss,2022.2.3,Win32,59.95203837,,,,,,,,,35,33,space,9.735,16,9.429,0,1,1,1,1,102,,,,,,,
,,,896,62e2917bb46ebde5c7866071,53,male,2022-11-22_17h15.54.236,onlinegloss,2022.2.3,Win32,59.95203837,,,,,,,,,40,33,space,8.166,8,7.556,,,,,,11,0,0,0,11,1,,
,,,896,62e2917bb46ebde5c7866071,53,male,2022-11-22_17h15.54.236,onlinegloss,2022.2.3,Win32,59.95203837,,,,,,,,,33,33,space,7.862,10,7.545,,,,,,83,0,1,1,83,1,,
,,,896,62e2917bb46ebde5c7866071,53,male,2022-11-22_17h15.54.236,onlinegloss,2022.2.3,Win32,59.95203837,,,,,,,,,28,33,space,3.296,1,2.679,,,,,,45,0,2,2,45,1,,
,,,896,62e2917bb46ebde5c7866071,53,male,2022-11-22_17h15.54.236,onlinegloss,2022.2.3,Win32,59.95203837,,,,,,,,,31,33,space,4.627,30,4.175,,,,,,55,0,3,3,55,1,,
,,,896,62e2917bb46ebde5c7866071,53,male,2022-11-22_17h15.54.236,onlinegloss,2022.2.3,Win32,59.95203837,,,,,,,,,39,33,space,10.209,31,8.971,,,,,,68,0,4,4,68,1,,
,,,896,62e2917bb46ebde5c7866071,53,male,2022-11-22_17h15.54.236,onlinegloss,2022.2.3,Win32,59.95203837,,,,,,,,,29,33,space,3.938,1,3.274,,,,,,25,0,5,5,25,1,,
,,,896,62e2917bb46ebde5c7866071,53,male,2022-11-22_17h15.54.236,onlinegloss,2022.2.3,Win32,59.95203837,,,,,,,,,47,33,space,4.182,12,3.831,,,,,,61,0,6,6,61,1,,
,,,896,62e2917bb46ebde5c7866071,53,male,2022-11-22_17h15.54.236,onlinegloss,2022.2.3,Win32,59.95203837,,,,,,,,,46,33,space,5.957,11,5.681,,,,,,17,0,7,7,17,1,,
,,,896,62e2917bb46ebde5c7866071,53,male,2022-11-22_17h15.54.236,onlinegloss,2022.2.3,Win32,59.95203837,,,,,,,,,44,33,space,5.565,25,5.409,,,,,,70,0,8,8,70,1,,
,,,896,62e2917bb46ebde5c7866071,53,male,2022-11-22_17h15.54.236,onlinegloss,2022.2.3,Win32,59.95203837,,,,,,,,,44,33,space,3.338,18,3.208,,,,,,38,0,9,9,38,1,,
,,,896,62e2917bb46ebde5c7866071,53,male,2022-11-22_17h15.54.236,onlinegloss,2022.2.3,Win32,59.95203837,,,,,,,,,43,33,space,2.847,31,2.594,,,,,,57,0,10,10,57,1,,
