button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[5.00020000001788],[5.000300000011919],71,62cdc7c48d693c0f056aa976,34,female,2022-11-21_12h47.58.648,onlinegloss,2022.2.3,MacIntel,29.90430622,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,71,62cdc7c48d693c0f056aa976,34,female,2022-11-21_12h47.58.648,onlinegloss,2022.2.3,MacIntel,29.90430622,space,4.0467,,,,,,,,,,,,,,,,,,,,,,,,,
,,,71,62cdc7c48d693c0f056aa976,34,female,2022-11-21_12h47.58.648,onlinegloss,2022.2.3,MacIntel,29.90430622,,,44.2,44.6,,,,,,,,,,,,,,,,,,,,,,,
,,,71,62cdc7c48d693c0f056aa976,34,female,2022-11-21_12h47.58.648,onlinegloss,2022.2.3,MacIntel,29.90430622,,,,,space,65.2489,,,,,,,,,,,,,,,,,,,,,
,,,71,62cdc7c48d693c0f056aa976,34,female,2022-11-21_12h47.58.648,onlinegloss,2022.2.3,MacIntel,29.90430622,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,71,62cdc7c48d693c0f056aa976,34,female,2022-11-21_12h47.58.648,onlinegloss,2022.2.3,MacIntel,29.90430622,,,,,,,space,13.4206,,,,,,,,,,,,,,,,,,,
,,,71,62cdc7c48d693c0f056aa976,34,female,2022-11-21_12h47.58.648,onlinegloss,2022.2.3,MacIntel,29.90430622,,,,,,,,,41,18,space,17.2433,30,16.5134,0,0,0,0,1,101,,,,,,,
,,,71,62cdc7c48d693c0f056aa976,34,female,2022-11-21_12h47.58.648,onlinegloss,2022.2.3,MacIntel,29.90430622,,,,,,,,,31,18,space,10.5626,21,10.1357,0,1,1,1,1,102,,,,,,,
,,,71,62cdc7c48d693c0f056aa976,34,female,2022-11-21_12h47.58.648,onlinegloss,2022.2.3,MacIntel,29.90430622,,,,,,,,,43,18,space,14.03,13,13.4836,,,,,,65,0,0,0,65,1,,
,,,71,62cdc7c48d693c0f056aa976,34,female,2022-11-21_12h47.58.648,onlinegloss,2022.2.3,MacIntel,29.90430622,,,,,,,,,40,18,space,8.6407,6,8.4089,,,,,,34,0,1,1,34,1,,
