button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[6.91039999999991],[6.91039999999991],226,5dc2eae146c7ba2062db9637,41,male,2022-11-22_09h30.43.350,onlinegloss,2022.2.3,Linux x86_64,59.95922773,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,226,5dc2eae146c7ba2062db9637,41,male,2022-11-22_09h30.43.350,onlinegloss,2022.2.3,Linux x86_64,59.95922773,space,12.5097,,,,,,,,,,,,,,,,,,,,,,,,,
,,,226,5dc2eae146c7ba2062db9637,41,male,2022-11-22_09h30.43.350,onlinegloss,2022.2.3,Linux x86_64,59.95922773,,,38,38.3,,,,,,,,,,,,,,,,,,,,,,,
,,,226,5dc2eae146c7ba2062db9637,41,male,2022-11-22_09h30.43.350,onlinegloss,2022.2.3,Linux x86_64,59.95922773,,,,,space,11.6682,,,,,,,,,,,,,,,,,,,,,
,,,226,5dc2eae146c7ba2062db9637,41,male,2022-11-22_09h30.43.350,onlinegloss,2022.2.3,Linux x86_64,59.95922773,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,226,5dc2eae146c7ba2062db9637,41,male,2022-11-22_09h30.43.350,onlinegloss,2022.2.3,Linux x86_64,59.95922773,,,,,,,space,14.9209,,,,,,,,,,,,,,,,,,,
,,,226,5dc2eae146c7ba2062db9637,41,male,2022-11-22_09h30.43.350,onlinegloss,2022.2.3,Linux x86_64,59.95922773,,,,,,,,,52,11,space,10.4427,52,9.4744,0,0,0,0,1,101,,,,,,,
,,,226,5dc2eae146c7ba2062db9637,41,male,2022-11-22_09h30.43.350,onlinegloss,2022.2.3,Linux x86_64,59.95922773,,,,,,,,,37,11,space,13.7086,27,13.3421,0,1,1,1,1,102,,,,,,,
,,,226,5dc2eae146c7ba2062db9637,41,male,2022-11-22_09h30.43.350,onlinegloss,2022.2.3,Linux x86_64,59.95922773,,,,,,,,,32,11,space,5.4961,1,4.2551,,,,,,34,0,0,0,34,1,,
,,,226,5dc2eae146c7ba2062db9637,41,male,2022-11-22_09h30.43.350,onlinegloss,2022.2.3,Linux x86_64,59.95922773,,,,,,,,,46,11,space,11.1282,1,10.5041,,,,,,52,0,1,1,52,1,,
