button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[1.5540999999046328],[1.5540999999046328],1135,5ec5fd2be4720667c0ff9e4b,23,male,2022-11-23_16h44.15.681,onlinegloss,2022.2.3,Win32,60.53635208,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1135,5ec5fd2be4720667c0ff9e4b,23,male,2022-11-23_16h44.15.681,onlinegloss,2022.2.3,Win32,60.53635208,space,6.4153,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1135,5ec5fd2be4720667c0ff9e4b,23,male,2022-11-23_16h44.15.681,onlinegloss,2022.2.3,Win32,60.53635208,,,45,43.8,,,,,,,,,,,,,,,,,,,,,,,
,,,1135,5ec5fd2be4720667c0ff9e4b,23,male,2022-11-23_16h44.15.681,onlinegloss,2022.2.3,Win32,60.53635208,,,,,space,19.4774,,,,,,,,,,,,,,,,,,,,,
,,,1135,5ec5fd2be4720667c0ff9e4b,23,male,2022-11-23_16h44.15.681,onlinegloss,2022.2.3,Win32,60.53635208,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1135,5ec5fd2be4720667c0ff9e4b,23,male,2022-11-23_16h44.15.681,onlinegloss,2022.2.3,Win32,60.53635208,,,,,,,space,17.8264,,,,,,,,,,,,,,,,,,,
,,,1135,5ec5fd2be4720667c0ff9e4b,23,male,2022-11-23_16h44.15.681,onlinegloss,2022.2.3,Win32,60.53635208,,,,,,,,,34,13,space,15.0013,38,14.0916,0,0,0,0,1,101,,,,,,,
,,,1135,5ec5fd2be4720667c0ff9e4b,23,male,2022-11-23_16h44.15.681,onlinegloss,2022.2.3,Win32,60.53635208,,,,,,,,,46,13,space,9.1384,22,8.3178,0,1,1,1,1,102,,,,,,,
,,,1135,5ec5fd2be4720667c0ff9e4b,23,male,2022-11-23_16h44.15.681,onlinegloss,2022.2.3,Win32,60.53635208,,,,,,,,,27,13,space,4.5315,1,3.1627,,,,,,56,0,0,0,56,1,,
,,,1135,5ec5fd2be4720667c0ff9e4b,23,male,2022-11-23_16h44.15.681,onlinegloss,2022.2.3,Win32,60.53635208,,,,,,,,,47,13,space,6.8518,1,5.7781,,,,,,59,0,1,1,59,1,,
,,,1135,5ec5fd2be4720667c0ff9e4b,23,male,2022-11-23_16h44.15.681,onlinegloss,2022.2.3,Win32,60.53635208,,,,,,,,,42,13,space,6.4846,8,4.356,,,,,,16,0,2,2,16,1,,
,,,1135,5ec5fd2be4720667c0ff9e4b,23,male,2022-11-23_16h44.15.681,onlinegloss,2022.2.3,Win32,60.53635208,,,,,,,,,50,13,space,3.1534,12,2.9973,,,,,,52,0,3,3,52,1,,
,,,1135,5ec5fd2be4720667c0ff9e4b,23,male,2022-11-23_16h44.15.681,onlinegloss,2022.2.3,Win32,60.53635208,,,,,,,,,29,13,space,2.4062,1,2.0532,,,,,,58,0,4,4,58,1,,
