button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[16.947999999999997],[16.948599999997764],358,5d654a1e855d77001b10dd92,62,male,2022-11-22_09h38.58.790,onlinegloss,2022.2.3,Linux aarch64,60.09254252,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,358,5d654a1e855d77001b10dd92,62,male,2022-11-22_09h38.58.790,onlinegloss,2022.2.3,Linux aarch64,60.09254252,space,3.0348,,,,,,,,,,,,,,,,,,,,,,,,,
,,,358,5d654a1e855d77001b10dd92,62,male,2022-11-22_09h38.58.790,onlinegloss,2022.2.3,Linux aarch64,60.09254252,,,60,57.4,,,,,,,,,,,,,,,,,,,,,,,
,,,358,5d654a1e855d77001b10dd92,62,male,2022-11-22_09h38.58.790,onlinegloss,2022.2.3,Linux aarch64,60.09254252,,,,,space,29.5671,,,,,,,,,,,,,,,,,,,,,
,,,358,5d654a1e855d77001b10dd92,62,male,2022-11-22_09h38.58.790,onlinegloss,2022.2.3,Linux aarch64,60.09254252,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,358,5d654a1e855d77001b10dd92,62,male,2022-11-22_09h38.58.790,onlinegloss,2022.2.3,Linux aarch64,60.09254252,,,,,,,space,27.2994,,,,,,,,,,,,,,,,,,,
,,,358,5d654a1e855d77001b10dd92,62,male,2022-11-22_09h38.58.790,onlinegloss,2022.2.3,Linux aarch64,60.09254252,,,,,,,,,48,35,space,24.1095,28,19.4617,0,0,0,0,1,101,,,,,,,
,,,358,5d654a1e855d77001b10dd92,62,male,2022-11-22_09h38.58.790,onlinegloss,2022.2.3,Linux aarch64,60.09254252,,,,,,,,,51,35,space,23.6154,35,22.3439,0,1,1,1,1,102,,,,,,,
,,,358,5d654a1e855d77001b10dd92,62,male,2022-11-22_09h38.58.790,onlinegloss,2022.2.3,Linux aarch64,60.09254252,,,,,,,,,46,35,space,13.2055,12,11.8066,,,,,,75,0,0,0,75,1,,
,,,358,5d654a1e855d77001b10dd92,62,male,2022-11-22_09h38.58.790,onlinegloss,2022.2.3,Linux aarch64,60.09254252,,,,,,,,,41,35,space,11.5933,4,10.7906,,,,,,35,0,1,1,35,1,,
,,,358,5d654a1e855d77001b10dd92,62,male,2022-11-22_09h38.58.790,onlinegloss,2022.2.3,Linux aarch64,60.09254252,,,,,,,,,51,35,space,11.711,24,10.9605,,,,,,78,0,2,2,78,1,,
,,,358,5d654a1e855d77001b10dd92,62,male,2022-11-22_09h38.58.790,onlinegloss,2022.2.3,Linux aarch64,60.09254252,,,,,,,,,44,35,space,8.5614,16,7.9991,,,,,,45,0,3,3,45,1,,
,,,358,5d654a1e855d77001b10dd92,62,male,2022-11-22_09h38.58.790,onlinegloss,2022.2.3,Linux aarch64,60.09254252,,,,,,,,,39,35,space,9.7791,10,9.3466,,,,,,65,0,4,4,65,1,,
,,,358,5d654a1e855d77001b10dd92,62,male,2022-11-22_09h38.58.790,onlinegloss,2022.2.3,Linux aarch64,60.09254252,,,,,,,,,41,35,space,10.2138,14,9.5283,,,,,,8,0,5,5,8,1,,
,,,358,5d654a1e855d77001b10dd92,62,male,2022-11-22_09h38.58.790,onlinegloss,2022.2.3,Linux aarch64,60.09254252,,,,,,,,,45,35,space,5.4152,1,3.3079,,,,,,5,0,6,6,5,1,,
,,,358,5d654a1e855d77001b10dd92,62,male,2022-11-22_09h38.58.790,onlinegloss,2022.2.3,Linux aarch64,60.09254252,,,,,,,,,27,35,space,5.8029,1,4.5222,,,,,,24,0,7,7,24,1,,
,,,358,5d654a1e855d77001b10dd92,62,male,2022-11-22_09h38.58.790,onlinegloss,2022.2.3,Linux aarch64,60.09254252,,,,,,,,,28,35,space,8.4947,1,5.9246,,,,,,30,0,8,8,30,1,,
