button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[32.869300000011926],[32.869300000011926],551,5f1d5591fe7ca36560aa455a,59,male,2022-11-22_14h47.39.589,onlinegloss,2022.2.3,Win32,74.9007565,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,551,5f1d5591fe7ca36560aa455a,59,male,2022-11-22_14h47.39.589,onlinegloss,2022.2.3,Win32,74.9007565,space,9.7402,,,,,,,,,,,,,,,,,,,,,,,,,
,,,551,5f1d5591fe7ca36560aa455a,59,male,2022-11-22_14h47.39.589,onlinegloss,2022.2.3,Win32,74.9007565,,,36.2,33.3,,,,,,,,,,,,,,,,,,,,,,,
,,,551,5f1d5591fe7ca36560aa455a,59,male,2022-11-22_14h47.39.589,onlinegloss,2022.2.3,Win32,74.9007565,,,,,space,68.9993,,,,,,,,,,,,,,,,,,,,,
,,,551,5f1d5591fe7ca36560aa455a,59,male,2022-11-22_14h47.39.589,onlinegloss,2022.2.3,Win32,74.9007565,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,551,5f1d5591fe7ca36560aa455a,59,male,2022-11-22_14h47.39.589,onlinegloss,2022.2.3,Win32,74.9007565,,,,,,,space,12.2,,,,,,,,,,,,,,,,,,,
,,,551,5f1d5591fe7ca36560aa455a,59,male,2022-11-22_14h47.39.589,onlinegloss,2022.2.3,Win32,74.9007565,,,,,,,,,41,12,space,22.4198,23,13.3448,0,0,0,0,1,101,,,,,,,
,,,551,5f1d5591fe7ca36560aa455a,59,male,2022-11-22_14h47.39.589,onlinegloss,2022.2.3,Win32,74.9007565,,,,,,,,,40,12,space,10.9492,21,10.6741,0,1,1,1,1,102,,,,,,,
,,,551,5f1d5591fe7ca36560aa455a,59,male,2022-11-22_14h47.39.589,onlinegloss,2022.2.3,Win32,74.9007565,,,,,,,,,27,12,space,5.2408,15,4.8713,,,,,,70,0,0,0,70,1,,
,,,551,5f1d5591fe7ca36560aa455a,59,male,2022-11-22_14h47.39.589,onlinegloss,2022.2.3,Win32,74.9007565,,,,,,,,,26,12,space,7.2078,9,6.7727,,,,,,58,0,1,1,58,1,,
,,,551,5f1d5591fe7ca36560aa455a,59,male,2022-11-22_14h47.39.589,onlinegloss,2022.2.3,Win32,74.9007565,,,,,,,,,26,12,space,5.1104,5,4.7683,,,,,,30,0,2,2,30,1,,
,,,551,5f1d5591fe7ca36560aa455a,59,male,2022-11-22_14h47.39.589,onlinegloss,2022.2.3,Win32,74.9007565,,,,,,,,,46,12,space,1.9929,5,1.89,,,,,,21,0,3,3,21,1,,
,,,551,5f1d5591fe7ca36560aa455a,59,male,2022-11-22_14h47.39.589,onlinegloss,2022.2.3,Win32,74.9007565,,,,,,,,,47,12,space,9.1394,19,8.6083,,,,,,33,0,4,4,33,1,,
,,,551,5f1d5591fe7ca36560aa455a,59,male,2022-11-22_14h47.39.589,onlinegloss,2022.2.3,Win32,74.9007565,,,,,,,,,39,12,space,5.325,20,4.7815,,,,,,52,0,5,5,52,1,,
,,,551,5f1d5591fe7ca36560aa455a,59,male,2022-11-22_14h47.39.589,onlinegloss,2022.2.3,Win32,74.9007565,,,,,,,,,43,12,space,2.1236,4,1.7814,,,,,,40,0,6,6,40,1,,
,,,551,5f1d5591fe7ca36560aa455a,59,male,2022-11-22_14h47.39.589,onlinegloss,2022.2.3,Win32,74.9007565,,,,,,,,,37,12,space,2.272,3,2.1148,,,,,,14,0,7,7,14,1,,
,,,551,5f1d5591fe7ca36560aa455a,59,male,2022-11-22_14h47.39.589,onlinegloss,2022.2.3,Win32,74.9007565,,,,,,,,,31,12,space,6.3631,10,5.9701,,,,,,81,0,8,8,81,1,,
,,,551,5f1d5591fe7ca36560aa455a,59,male,2022-11-22_14h47.39.589,onlinegloss,2022.2.3,Win32,74.9007565,,,,,,,,,30,12,space,6.2171,1,5.0616,,,,,,79,0,9,9,79,1,,
,,,551,5f1d5591fe7ca36560aa455a,59,male,2022-11-22_14h47.39.589,onlinegloss,2022.2.3,Win32,74.9007565,,,,,,,,,35,12,space,8.1228,12,7.8231,,,,,,32,0,10,10,32,1,,
,,,551,5f1d5591fe7ca36560aa455a,59,male,2022-11-22_14h47.39.589,onlinegloss,2022.2.3,Win32,74.9007565,,,,,,,,,41,12,space,12.7938,29,12.5417,,,,,,29,0,11,11,29,1,,
,,,551,5f1d5591fe7ca36560aa455a,59,male,2022-11-22_14h47.39.589,onlinegloss,2022.2.3,Win32,74.9007565,,,,,,,,,51,12,space,4.6212,4,4.3833,,,,,,72,0,12,12,72,1,,
,,,551,5f1d5591fe7ca36560aa455a,59,male,2022-11-22_14h47.39.589,onlinegloss,2022.2.3,Win32,74.9007565,,,,,,,,,27,12,space,3.1277,8,2.8234,,,,,,6,0,13,13,6,1,,
,,,551,5f1d5591fe7ca36560aa455a,59,male,2022-11-22_14h47.39.589,onlinegloss,2022.2.3,Win32,74.9007565,,,,,,,,,42,12,space,11.2572,24,10.8616,,,,,,35,0,14,14,35,1,,
,,,551,5f1d5591fe7ca36560aa455a,59,male,2022-11-22_14h47.39.589,onlinegloss,2022.2.3,Win32,74.9007565,,,,,,,,,44,12,space,3.2032,22,3.1149,,,,,,11,0,15,15,11,1,,
,,,551,5f1d5591fe7ca36560aa455a,59,male,2022-11-22_14h47.39.589,onlinegloss,2022.2.3,Win32,74.9007565,,,,,,,,,38,12,space,6.7273,17,6.3549,,,,,,50,0,16,16,50,1,,
,,,551,5f1d5591fe7ca36560aa455a,59,male,2022-11-22_14h47.39.589,onlinegloss,2022.2.3,Win32,74.9007565,,,,,,,,,34,12,space,4.5773,3,4.0749,,,,,,51,0,17,17,51,1,,
,,,551,5f1d5591fe7ca36560aa455a,59,male,2022-11-22_14h47.39.589,onlinegloss,2022.2.3,Win32,74.9007565,,,,,,,,,27,12,space,5.9396,40,5.6479,,,,,,47,0,18,18,47,1,,
,,,551,5f1d5591fe7ca36560aa455a,59,male,2022-11-22_14h47.39.589,onlinegloss,2022.2.3,Win32,74.9007565,,,,,,,,,32,12,space,6.0209,26,5.6482,,,,,,74,0,19,19,74,1,,
,,,551,5f1d5591fe7ca36560aa455a,59,male,2022-11-22_14h47.39.589,onlinegloss,2022.2.3,Win32,74.9007565,,,,,,,,,44,12,space,5.1791,1,4.4085,,,,,,19,0,20,20,19,1,,
,,,551,5f1d5591fe7ca36560aa455a,59,male,2022-11-22_14h47.39.589,onlinegloss,2022.2.3,Win32,74.9007565,,,,,,,,,45,12,space,5.4836,10,5.3016,,,,,,73,0,21,21,73,1,,
,,,551,5f1d5591fe7ca36560aa455a,59,male,2022-11-22_14h47.39.589,onlinegloss,2022.2.3,Win32,74.9007565,,,,,,,,,48,12,space,2.1509,1,1.9018,,,,,,18,0,22,22,18,1,,
,,,551,5f1d5591fe7ca36560aa455a,59,male,2022-11-22_14h47.39.589,onlinegloss,2022.2.3,Win32,74.9007565,,,,,,,,,45,12,space,6.7102,13,6.395,,,,,,9,0,23,23,9,1,,
,,,551,5f1d5591fe7ca36560aa455a,59,male,2022-11-22_14h47.39.589,onlinegloss,2022.2.3,Win32,74.9007565,,,,,,,,,34,12,space,3.341,15,3.1549,,,,,,45,0,24,24,45,1,,
,,,551,5f1d5591fe7ca36560aa455a,59,male,2022-11-22_14h47.39.589,onlinegloss,2022.2.3,Win32,74.9007565,,,,,,,,,47,12,space,8.5366,13,8.2482,,,,,,67,0,25,25,67,1,,
,,,551,5f1d5591fe7ca36560aa455a,59,male,2022-11-22_14h47.39.589,onlinegloss,2022.2.3,Win32,74.9007565,,,,,,,,,47,12,space,8.956,1,7.3283,,,,,,0,0,26,26,0,1,,
,,,551,5f1d5591fe7ca36560aa455a,59,male,2022-11-22_14h47.39.589,onlinegloss,2022.2.3,Win32,74.9007565,,,,,,,,,39,12,space,5.2075,14,4.9684,,,,,,39,0,27,27,39,1,,
,,,551,5f1d5591fe7ca36560aa455a,59,male,2022-11-22_14h47.39.589,onlinegloss,2022.2.3,Win32,74.9007565,,,,,,,,,29,12,space,9.2061,23,8.8748,,,,,,78,0,28,28,78,1,,
,,,551,5f1d5591fe7ca36560aa455a,59,male,2022-11-22_14h47.39.589,onlinegloss,2022.2.3,Win32,74.9007565,,,,,,,,,49,12,space,2.5522,20,1.8348,,,,,,77,0,29,29,77,1,,
,,,551,5f1d5591fe7ca36560aa455a,59,male,2022-11-22_14h47.39.589,onlinegloss,2022.2.3,Win32,74.9007565,,,,,,,,,47,12,space,7.1415,7,6.9417,,,,,,22,0,30,30,22,1,,
,,,551,5f1d5591fe7ca36560aa455a,59,male,2022-11-22_14h47.39.589,onlinegloss,2022.2.3,Win32,74.9007565,,,,,,,,,48,12,space,5.8046,18,5.6349,,,,,,83,0,31,31,83,1,,
,,,551,5f1d5591fe7ca36560aa455a,59,male,2022-11-22_14h47.39.589,onlinegloss,2022.2.3,Win32,74.9007565,,,,,,,,,43,12,space,4.0738,30,3.328,,,,,,46,0,32,32,46,1,,
