button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[14.644900000000142],[14.644900000000142],562,6266baa63b2a8416d1f19b2d,54,male,2022-11-22_14h48.38.533,onlinegloss,2022.2.3,Win32,60.04924038,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,562,6266baa63b2a8416d1f19b2d,54,male,2022-11-22_14h48.38.533,onlinegloss,2022.2.3,Win32,60.04924038,space,4.9174,,,,,,,,,,,,,,,,,,,,,,,,,
,,,562,6266baa63b2a8416d1f19b2d,54,male,2022-11-22_14h48.38.533,onlinegloss,2022.2.3,Win32,60.04924038,,,70.2,74.3,,,,,,,,,,,,,,,,,,,,,,,
,,,562,6266baa63b2a8416d1f19b2d,54,male,2022-11-22_14h48.38.533,onlinegloss,2022.2.3,Win32,60.04924038,,,,,space,40.2216,,,,,,,,,,,,,,,,,,,,,
,,,562,6266baa63b2a8416d1f19b2d,54,male,2022-11-22_14h48.38.533,onlinegloss,2022.2.3,Win32,60.04924038,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,562,6266baa63b2a8416d1f19b2d,54,male,2022-11-22_14h48.38.533,onlinegloss,2022.2.3,Win32,60.04924038,,,,,,,space,12.8382,,,,,,,,,,,,,,,,,,,
,,,562,6266baa63b2a8416d1f19b2d,54,male,2022-11-22_14h48.38.533,onlinegloss,2022.2.3,Win32,60.04924038,,,,,,,,,42,23,space,16.3406,,,0,0,0,0,1,101,,,,,,,
,,,562,6266baa63b2a8416d1f19b2d,54,male,2022-11-22_14h48.38.533,onlinegloss,2022.2.3,Win32,60.04924038,,,,,,,,,52,23,space,16.798,32,15.3788,0,1,1,1,1,102,,,,,,,
,,,562,6266baa63b2a8416d1f19b2d,54,male,2022-11-22_14h48.38.533,onlinegloss,2022.2.3,Win32,60.04924038,,,,,,,,,30,23,space,7.1235,38,5.9124,,,,,,46,0,0,0,46,1,,
,,,562,6266baa63b2a8416d1f19b2d,54,male,2022-11-22_14h48.38.533,onlinegloss,2022.2.3,Win32,60.04924038,,,,,,,,,30,23,space,7.9058,44,7.3096,,,,,,39,0,1,1,39,1,,
,,,562,6266baa63b2a8416d1f19b2d,54,male,2022-11-22_14h48.38.533,onlinegloss,2022.2.3,Win32,60.04924038,,,,,,,,,45,23,space,4.5317,1,3.7881,,,,,,75,0,2,2,75,1,,
,,,562,6266baa63b2a8416d1f19b2d,54,male,2022-11-22_14h48.38.533,onlinegloss,2022.2.3,Win32,60.04924038,,,,,,,,,35,23,space,4.6547,23,4.2217,,,,,,16,0,3,3,16,1,,
,,,562,6266baa63b2a8416d1f19b2d,54,male,2022-11-22_14h48.38.533,onlinegloss,2022.2.3,Win32,60.04924038,,,,,,,,,33,23,space,5.7723,7,5.2884,,,,,,19,0,4,4,19,1,,
,,,562,6266baa63b2a8416d1f19b2d,54,male,2022-11-22_14h48.38.533,onlinegloss,2022.2.3,Win32,60.04924038,,,,,,,,,40,23,space,5.2049,24,4.7712,,,,,,1,0,5,5,1,1,,
,,,562,6266baa63b2a8416d1f19b2d,54,male,2022-11-22_14h48.38.533,onlinegloss,2022.2.3,Win32,60.04924038,,,,,,,,,44,23,space,5.2716,23,4.0703,,,,,,13,0,6,6,13,1,,
,,,562,6266baa63b2a8416d1f19b2d,54,male,2022-11-22_14h48.38.533,onlinegloss,2022.2.3,Win32,60.04924038,,,,,,,,,48,23,space,4.0538,1,2.2517,,,,,,35,0,7,7,35,1,,
,,,562,6266baa63b2a8416d1f19b2d,54,male,2022-11-22_14h48.38.533,onlinegloss,2022.2.3,Win32,60.04924038,,,,,,,,,30,23,space,3.4697,23,3.119,,,,,,83,0,8,8,83,1,,
,,,562,6266baa63b2a8416d1f19b2d,54,male,2022-11-22_14h48.38.533,onlinegloss,2022.2.3,Win32,60.04924038,,,,,,,,,31,23,space,3.3696,43,2.936,,,,,,62,0,9,9,62,1,,
,,,562,6266baa63b2a8416d1f19b2d,54,male,2022-11-22_14h48.38.533,onlinegloss,2022.2.3,Win32,60.04924038,,,,,,,,,31,23,space,2.285,1,1.8847,,,,,,7,0,10,10,7,1,,
,,,562,6266baa63b2a8416d1f19b2d,54,male,2022-11-22_14h48.38.533,onlinegloss,2022.2.3,Win32,60.04924038,,,,,,,,,52,23,space,4.1538,11,3.7535,,,,,,42,0,11,11,42,1,,
,,,562,6266baa63b2a8416d1f19b2d,54,male,2022-11-22_14h48.38.533,onlinegloss,2022.2.3,Win32,60.04924038,,,,,,,,,29,23,space,3.4196,38,2.9696,,,,,,84,0,12,12,84,1,,
,,,562,6266baa63b2a8416d1f19b2d,54,male,2022-11-22_14h48.38.533,onlinegloss,2022.2.3,Win32,60.04924038,,,,,,,,,44,23,space,5.255,3,4.4042,,,,,,68,0,13,13,68,1,,
,,,562,6266baa63b2a8416d1f19b2d,54,male,2022-11-22_14h48.38.533,onlinegloss,2022.2.3,Win32,60.04924038,,,,,,,,,49,23,space,5.6387,26,5.4051,,,,,,78,0,14,14,78,1,,
