button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[2.130299999952314],[2.130399999976156],1054,55f6be3a32af74000b17021c,44,female,2022-11-23_14h59.57.645,onlinegloss,2022.2.3,Win32,59.70505702,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1054,55f6be3a32af74000b17021c,44,female,2022-11-23_14h59.57.645,onlinegloss,2022.2.3,Win32,59.70505702,space,5.6313,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1054,55f6be3a32af74000b17021c,44,female,2022-11-23_14h59.57.645,onlinegloss,2022.2.3,Win32,59.70505702,,,40,37.9,,,,,,,,,,,,,,,,,,,,,,,
,,,1054,55f6be3a32af74000b17021c,44,female,2022-11-23_14h59.57.645,onlinegloss,2022.2.3,Win32,59.70505702,,,,,space,9.6887,,,,,,,,,,,,,,,,,,,,,
,,,1054,55f6be3a32af74000b17021c,44,female,2022-11-23_14h59.57.645,onlinegloss,2022.2.3,Win32,59.70505702,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1054,55f6be3a32af74000b17021c,44,female,2022-11-23_14h59.57.645,onlinegloss,2022.2.3,Win32,59.70505702,,,,,,,space,2086.2545,,,,,,,,,,,,,,,,,,,
,,,1054,55f6be3a32af74000b17021c,44,female,2022-11-23_14h59.57.645,onlinegloss,2022.2.3,Win32,59.70505702,,,,,,,,,30,2,space,54.2572,34,45.9905,0,0,0,0,1,101,,,,,,,
,,,1054,55f6be3a32af74000b17021c,44,female,2022-11-23_14h59.57.645,onlinegloss,2022.2.3,Win32,59.70505702,,,,,,,,,36,2,space,14.9477,15,13.4762,0,1,1,1,1,102,,,,,,,
,,,1054,55f6be3a32af74000b17021c,44,female,2022-11-23_14h59.57.645,onlinegloss,2022.2.3,Win32,59.70505702,,,,,,,,,49,2,space,6.8176,3,2.8614,,,,,,8,0,0,0,8,1,,
,,,1054,55f6be3a32af74000b17021c,44,female,2022-11-23_14h59.57.645,onlinegloss,2022.2.3,Win32,59.70505702,,,,,,,,,32,2,space,13.6141,7,12.2078,,,,,,52,0,1,1,52,1,,
