button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[9.067300000190755],[9.067300000190755],710,607ffcf04c63c6bff2d771de,64,male,2022-11-22_16h58.54.461,onlinegloss,2022.2.3,MacIntel,59.99520038,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,710,607ffcf04c63c6bff2d771de,64,male,2022-11-22_16h58.54.461,onlinegloss,2022.2.3,MacIntel,59.99520038,space,5.9199,,,,,,,,,,,,,,,,,,,,,,,,,
,,,710,607ffcf04c63c6bff2d771de,64,male,2022-11-22_16h58.54.461,onlinegloss,2022.2.3,MacIntel,59.99520038,,,44.1,43.1,,,,,,,,,,,,,,,,,,,,,,,
,,,710,607ffcf04c63c6bff2d771de,64,male,2022-11-22_16h58.54.461,onlinegloss,2022.2.3,MacIntel,59.99520038,,,,,space,12.2141,,,,,,,,,,,,,,,,,,,,,
,,,710,607ffcf04c63c6bff2d771de,64,male,2022-11-22_16h58.54.461,onlinegloss,2022.2.3,MacIntel,59.99520038,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,710,607ffcf04c63c6bff2d771de,64,male,2022-11-22_16h58.54.461,onlinegloss,2022.2.3,MacIntel,59.99520038,,,,,,,space,31.4274,,,,,,,,,,,,,,,,,,,
,,,710,607ffcf04c63c6bff2d771de,64,male,2022-11-22_16h58.54.461,onlinegloss,2022.2.3,MacIntel,59.99520038,,,,,,,,,38,9,space,15.8436,47,14.8719,0,0,0,0,1,101,,,,,,,
,,,710,607ffcf04c63c6bff2d771de,64,male,2022-11-22_16h58.54.461,onlinegloss,2022.2.3,MacIntel,59.99520038,,,,,,,,,38,9,space,11.7498,34,11.4386,0,1,1,1,1,102,,,,,,,
,,,710,607ffcf04c63c6bff2d771de,64,male,2022-11-22_16h58.54.461,onlinegloss,2022.2.3,MacIntel,59.99520038,,,,,,,,,49,9,space,5.65,16,5.4023,,,,,,73,0,0,0,73,1,,
,,,710,607ffcf04c63c6bff2d771de,64,male,2022-11-22_16h58.54.461,onlinegloss,2022.2.3,MacIntel,59.99520038,,,,,,,,,44,9,space,4.3588,7,4.1052,,,,,,66,0,1,1,66,1,,
,,,710,607ffcf04c63c6bff2d771de,64,male,2022-11-22_16h58.54.461,onlinegloss,2022.2.3,MacIntel,59.99520038,,,,,,,,,47,9,space,6.3766,5,6.2077,,,,,,36,0,2,2,36,1,,
,,,710,607ffcf04c63c6bff2d771de,64,male,2022-11-22_16h58.54.461,onlinegloss,2022.2.3,MacIntel,59.99520038,,,,,,,,,27,9,space,6.7082,17,6.3406,,,,,,60,0,3,3,60,1,,
,,,710,607ffcf04c63c6bff2d771de,64,male,2022-11-22_16h58.54.461,onlinegloss,2022.2.3,MacIntel,59.99520038,,,,,,,,,47,9,space,5.3576,44,5.1395,,,,,,74,0,4,4,74,1,,
,,,710,607ffcf04c63c6bff2d771de,64,male,2022-11-22_16h58.54.461,onlinegloss,2022.2.3,MacIntel,59.99520038,,,,,,,,,35,9,space,6.2515,33,6.0888,,,,,,77,0,5,5,77,1,,
