button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[12.059300000011916],[12.05940000000598],373,559272f4fdf99b7e42e96932,52,male,2022-11-22_09h42.36.474,onlinegloss,2022.2.3,Win32,59.92329818,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,373,559272f4fdf99b7e42e96932,52,male,2022-11-22_09h42.36.474,onlinegloss,2022.2.3,Win32,59.92329818,space,8.1376,,,,,,,,,,,,,,,,,,,,,,,,,
,,,373,559272f4fdf99b7e42e96932,52,male,2022-11-22_09h42.36.474,onlinegloss,2022.2.3,Win32,59.92329818,,,32.9,33,,,,,,,,,,,,,,,,,,,,,,,
,,,373,559272f4fdf99b7e42e96932,52,male,2022-11-22_09h42.36.474,onlinegloss,2022.2.3,Win32,59.92329818,,,,,space,17.0465,,,,,,,,,,,,,,,,,,,,,
,,,373,559272f4fdf99b7e42e96932,52,male,2022-11-22_09h42.36.474,onlinegloss,2022.2.3,Win32,59.92329818,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,373,559272f4fdf99b7e42e96932,52,male,2022-11-22_09h42.36.474,onlinegloss,2022.2.3,Win32,59.92329818,,,,,,,space,42.3575,,,,,,,,,,,,,,,,,,,
,,,373,559272f4fdf99b7e42e96932,52,male,2022-11-22_09h42.36.474,onlinegloss,2022.2.3,Win32,59.92329818,,,,,,,,,46,50,space,13.0894,44,9.8665,0,0,0,0,1,101,,,,,,,
,,,373,559272f4fdf99b7e42e96932,52,male,2022-11-22_09h42.36.474,onlinegloss,2022.2.3,Win32,59.92329818,,,,,,,,,48,50,space,6.3889,37,5.1775,0,1,1,1,1,102,,,,,,,
,,,373,559272f4fdf99b7e42e96932,52,male,2022-11-22_09h42.36.474,onlinegloss,2022.2.3,Win32,59.92329818,,,,,,,,,41,50,space,4.8274,8,4.3981,,,,,,5,0,0,0,5,1,,
,,,373,559272f4fdf99b7e42e96932,52,male,2022-11-22_09h42.36.474,onlinegloss,2022.2.3,Win32,59.92329818,,,,,,,,,29,50,space,8.0789,15,7.4386,,,,,,35,0,1,1,35,1,,
,,,373,559272f4fdf99b7e42e96932,52,male,2022-11-22_09h42.36.474,onlinegloss,2022.2.3,Win32,59.92329818,,,,,,,,,45,50,space,4.5173,5,4.2093,,,,,,38,0,2,2,38,1,,
,,,373,559272f4fdf99b7e42e96932,52,male,2022-11-22_09h42.36.474,onlinegloss,2022.2.3,Win32,59.92329818,,,,,,,,,47,50,space,4.8086,38,4.6233,,,,,,11,0,3,3,11,1,,
,,,373,559272f4fdf99b7e42e96932,52,male,2022-11-22_09h42.36.474,onlinegloss,2022.2.3,Win32,59.92329818,,,,,,,,,28,50,space,2.8252,10,1.7301,,,,,,42,0,4,4,42,1,,
,,,373,559272f4fdf99b7e42e96932,52,male,2022-11-22_09h42.36.474,onlinegloss,2022.2.3,Win32,59.92329818,,,,,,,,,50,50,space,2.5565,18,2.3535,,,,,,71,0,5,5,71,1,,
,,,373,559272f4fdf99b7e42e96932,52,male,2022-11-22_09h42.36.474,onlinegloss,2022.2.3,Win32,59.92329818,,,,,,,,,37,50,space,3.4394,9,2.6535,,,,,,10,0,6,6,10,1,,
,,,373,559272f4fdf99b7e42e96932,52,male,2022-11-22_09h42.36.474,onlinegloss,2022.2.3,Win32,59.92329818,,,,,,,,,51,50,space,2.8951,11,2.2894,,,,,,59,0,7,7,59,1,,
,,,373,559272f4fdf99b7e42e96932,52,male,2022-11-22_09h42.36.474,onlinegloss,2022.2.3,Win32,59.92329818,,,,,,,,,35,50,space,2.9982,14,2.8872,,,,,,24,0,8,8,24,1,,
,,,373,559272f4fdf99b7e42e96932,52,male,2022-11-22_09h42.36.474,onlinegloss,2022.2.3,Win32,59.92329818,,,,,,,,,51,50,space,3.3853,34,3.2199,,,,,,41,0,9,9,41,1,,
,,,373,559272f4fdf99b7e42e96932,52,male,2022-11-22_09h42.36.474,onlinegloss,2022.2.3,Win32,59.92329818,,,,,,,,,48,50,space,7.7038,26,7.3911,,,,,,82,0,10,10,82,1,,
,,,373,559272f4fdf99b7e42e96932,52,male,2022-11-22_09h42.36.474,onlinegloss,2022.2.3,Win32,59.92329818,,,,,,,,,31,50,space,3.629,8,3.4701,,,,,,25,0,11,11,25,1,,
,,,373,559272f4fdf99b7e42e96932,52,male,2022-11-22_09h42.36.474,onlinegloss,2022.2.3,Win32,59.92329818,,,,,,,,,33,50,space,3.1504,10,3.0698,,,,,,46,0,12,12,46,1,,
,,,373,559272f4fdf99b7e42e96932,52,male,2022-11-22_09h42.36.474,onlinegloss,2022.2.3,Win32,59.92329818,,,,,,,,,27,50,space,2.3026,6,2.1195,,,,,,8,0,13,13,8,1,,
,,,373,559272f4fdf99b7e42e96932,52,male,2022-11-22_09h42.36.474,onlinegloss,2022.2.3,Win32,59.92329818,,,,,,,,,42,50,space,2.5183,7,2.3195,,,,,,57,0,14,14,57,1,,
,,,373,559272f4fdf99b7e42e96932,52,male,2022-11-22_09h42.36.474,onlinegloss,2022.2.3,Win32,59.92329818,,,,,,,,,46,50,space,3.1705,3,2.9868,,,,,,47,0,15,15,47,1,,
,,,373,559272f4fdf99b7e42e96932,52,male,2022-11-22_09h42.36.474,onlinegloss,2022.2.3,Win32,59.92329818,,,,,,,,,44,50,space,2.4114,20,2.2213,,,,,,78,0,16,16,78,1,,
,,,373,559272f4fdf99b7e42e96932,52,male,2022-11-22_09h42.36.474,onlinegloss,2022.2.3,Win32,59.92329818,,,,,,,,,30,50,space,3.9495,4,3.8136,,,,,,12,0,17,17,12,1,,
,,,373,559272f4fdf99b7e42e96932,52,male,2022-11-22_09h42.36.474,onlinegloss,2022.2.3,Win32,59.92329818,,,,,,,,,32,50,space,2.0572,19,1.8792,,,,,,36,0,18,18,36,1,,
,,,373,559272f4fdf99b7e42e96932,52,male,2022-11-22_09h42.36.474,onlinegloss,2022.2.3,Win32,59.92329818,,,,,,,,,41,50,space,2.7331,5,2.4849,,,,,,44,0,19,19,44,1,,
,,,373,559272f4fdf99b7e42e96932,52,male,2022-11-22_09h42.36.474,onlinegloss,2022.2.3,Win32,59.92329818,,,,,,,,,49,50,space,3.8847,14,3.6743,,,,,,60,0,20,20,60,1,,
,,,373,559272f4fdf99b7e42e96932,52,male,2022-11-22_09h42.36.474,onlinegloss,2022.2.3,Win32,59.92329818,,,,,,,,,26,50,space,2.8253,11,2.6668,,,,,,7,0,21,21,7,1,,
,,,373,559272f4fdf99b7e42e96932,52,male,2022-11-22_09h42.36.474,onlinegloss,2022.2.3,Win32,59.92329818,,,,,,,,,40,50,space,2.6995,21,2.5634,,,,,,48,0,22,22,48,1,,
,,,373,559272f4fdf99b7e42e96932,52,male,2022-11-22_09h42.36.474,onlinegloss,2022.2.3,Win32,59.92329818,,,,,,,,,32,50,space,4.4267,33,4.1928,,,,,,43,0,23,23,43,1,,
,,,373,559272f4fdf99b7e42e96932,52,male,2022-11-22_09h42.36.474,onlinegloss,2022.2.3,Win32,59.92329818,,,,,,,,,31,50,space,3.098,7,2.9901,,,,,,79,0,24,24,79,1,,
,,,373,559272f4fdf99b7e42e96932,52,male,2022-11-22_09h42.36.474,onlinegloss,2022.2.3,Win32,59.92329818,,,,,,,,,35,50,space,2.8183,4,2.5549,,,,,,39,0,25,25,39,1,,
,,,373,559272f4fdf99b7e42e96932,52,male,2022-11-22_09h42.36.474,onlinegloss,2022.2.3,Win32,59.92329818,,,,,,,,,38,50,space,2.1387,1,1.8529,,,,,,49,0,26,26,49,1,,
,,,373,559272f4fdf99b7e42e96932,52,male,2022-11-22_09h42.36.474,onlinegloss,2022.2.3,Win32,59.92329818,,,,,,,,,38,50,space,3.8672,30,3.3978,,,,,,56,0,27,27,56,1,,
,,,373,559272f4fdf99b7e42e96932,52,male,2022-11-22_09h42.36.474,onlinegloss,2022.2.3,Win32,59.92329818,,,,,,,,,44,50,space,2.856,25,2.5895,,,,,,69,0,28,28,69,1,,
,,,373,559272f4fdf99b7e42e96932,52,male,2022-11-22_09h42.36.474,onlinegloss,2022.2.3,Win32,59.92329818,,,,,,,,,27,50,space,2.0697,9,1.9203,,,,,,76,0,29,29,76,1,,
,,,373,559272f4fdf99b7e42e96932,52,male,2022-11-22_09h42.36.474,onlinegloss,2022.2.3,Win32,59.92329818,,,,,,,,,28,50,space,2.5525,36,2.3087,,,,,,26,0,30,30,26,1,,
,,,373,559272f4fdf99b7e42e96932,52,male,2022-11-22_09h42.36.474,onlinegloss,2022.2.3,Win32,59.92329818,,,,,,,,,50,50,space,2.2924,35,2.0083,,,,,,58,0,31,31,58,1,,
,,,373,559272f4fdf99b7e42e96932,52,male,2022-11-22_09h42.36.474,onlinegloss,2022.2.3,Win32,59.92329818,,,,,,,,,46,50,space,2.2336,10,2.039,,,,,,6,0,32,32,6,1,,
