button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[13.212000000000018],[13.212000000000018],353,5c7018a5e165d10001e8aed2,e.g. 54,female ,2022-11-22_09h40.25.764,onlinegloss,2022.2.3,Win32,15.96882885,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,353,5c7018a5e165d10001e8aed2,e.g. 54,female ,2022-11-22_09h40.25.764,onlinegloss,2022.2.3,Win32,15.96882885,space,7.2295,,,,,,,,,,,,,,,,,,,,,,,,,
,,,353,5c7018a5e165d10001e8aed2,e.g. 54,female ,2022-11-22_09h40.25.764,onlinegloss,2022.2.3,Win32,15.96882885,,,55.4,54.8,,,,,,,,,,,,,,,,,,,,,,,
,,,353,5c7018a5e165d10001e8aed2,e.g. 54,female ,2022-11-22_09h40.25.764,onlinegloss,2022.2.3,Win32,15.96882885,,,,,space,11.2247,,,,,,,,,,,,,,,,,,,,,
,,,353,5c7018a5e165d10001e8aed2,e.g. 54,female ,2022-11-22_09h40.25.764,onlinegloss,2022.2.3,Win32,15.96882885,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,353,5c7018a5e165d10001e8aed2,e.g. 54,female ,2022-11-22_09h40.25.764,onlinegloss,2022.2.3,Win32,15.96882885,,,,,,,space,17.9057,,,,,,,,,,,,,,,,,,,
,,,353,5c7018a5e165d10001e8aed2,e.g. 54,female ,2022-11-22_09h40.25.764,onlinegloss,2022.2.3,Win32,15.96882885,,,,,,,,,35,30,space,16.7457,33,14.3367,0,0,0,0,1,101,,,,,,,
,,,353,5c7018a5e165d10001e8aed2,e.g. 54,female ,2022-11-22_09h40.25.764,onlinegloss,2022.2.3,Win32,15.96882885,,,,,,,,,40,30,space,4.7131,,,0,1,1,1,1,102,,,,,,,
,,,353,5c7018a5e165d10001e8aed2,e.g. 54,female ,2022-11-22_09h40.25.764,onlinegloss,2022.2.3,Win32,15.96882885,,,,,,,,,42,30,space,5.157,5,2.4109,,,,,,62,0,0,0,62,1,,
,,,353,5c7018a5e165d10001e8aed2,e.g. 54,female ,2022-11-22_09h40.25.764,onlinegloss,2022.2.3,Win32,15.96882885,,,,,,,,,49,30,space,5.8985,3,5.3371,,,,,,18,0,1,1,18,1,,
,,,353,5c7018a5e165d10001e8aed2,e.g. 54,female ,2022-11-22_09h40.25.764,onlinegloss,2022.2.3,Win32,15.96882885,,,,,,,,,49,30,space,6.9073,8,6.3743,,,,,,82,0,2,2,82,1,,
,,,353,5c7018a5e165d10001e8aed2,e.g. 54,female ,2022-11-22_09h40.25.764,onlinegloss,2022.2.3,Win32,15.96882885,,,,,,,,,29,30,space,4.0023,1,3.028,,,,,,39,0,3,3,39,1,,
,,,353,5c7018a5e165d10001e8aed2,e.g. 54,female ,2022-11-22_09h40.25.764,onlinegloss,2022.2.3,Win32,15.96882885,,,,,,,,,32,30,space,6.5637,13,4.9635,,,,,,4,0,4,4,4,1,,
,,,353,5c7018a5e165d10001e8aed2,e.g. 54,female ,2022-11-22_09h40.25.764,onlinegloss,2022.2.3,Win32,15.96882885,,,,,,,,,47,30,space,6.774,51,6.3439,,,,,,69,0,5,5,69,1,,
,,,353,5c7018a5e165d10001e8aed2,e.g. 54,female ,2022-11-22_09h40.25.764,onlinegloss,2022.2.3,Win32,15.96882885,,,,,,,,,34,30,space,17.312,1,14.1233,,,,,,0,0,6,6,0,1,,
,,,353,5c7018a5e165d10001e8aed2,e.g. 54,female ,2022-11-22_09h40.25.764,onlinegloss,2022.2.3,Win32,15.96882885,,,,,,,,,43,30,space,13.5604,11,12.6528,,,,,,48,0,7,7,48,1,,
,,,353,5c7018a5e165d10001e8aed2,e.g. 54,female ,2022-11-22_09h40.25.764,onlinegloss,2022.2.3,Win32,15.96882885,,,,,,,,,35,30,space,3.9651,2,3.0258,,,,,,25,0,8,8,25,1,,
,,,353,5c7018a5e165d10001e8aed2,e.g. 54,female ,2022-11-22_09h40.25.764,onlinegloss,2022.2.3,Win32,15.96882885,,,,,,,,,49,30,space,14.2444,17,13.0586,,,,,,83,0,9,9,83,1,,
,,,353,5c7018a5e165d10001e8aed2,e.g. 54,female ,2022-11-22_09h40.25.764,onlinegloss,2022.2.3,Win32,15.96882885,,,,,,,,,28,30,space,6.1818,40,5.2809,,,,,,74,0,10,10,74,1,,
,,,353,5c7018a5e165d10001e8aed2,e.g. 54,female ,2022-11-22_09h40.25.764,onlinegloss,2022.2.3,Win32,15.96882885,,,,,,,,,36,30,space,6.0939,15,4.9697,,,,,,14,0,11,11,14,1,,
,,,353,5c7018a5e165d10001e8aed2,e.g. 54,female ,2022-11-22_09h40.25.764,onlinegloss,2022.2.3,Win32,15.96882885,,,,,,,,,47,30,space,3.524,21,2.2492,,,,,,12,0,12,12,12,1,,
,,,353,5c7018a5e165d10001e8aed2,e.g. 54,female ,2022-11-22_09h40.25.764,onlinegloss,2022.2.3,Win32,15.96882885,,,,,,,,,31,30,space,6.1172,5,4.4392,,,,,,16,0,13,13,16,1,,
,,,353,5c7018a5e165d10001e8aed2,e.g. 54,female ,2022-11-22_09h40.25.764,onlinegloss,2022.2.3,Win32,15.96882885,,,,,,,,,37,30,space,9.5021,44,5.8142,,,,,,58,0,14,14,58,1,,
,,,353,5c7018a5e165d10001e8aed2,e.g. 54,female ,2022-11-22_09h40.25.764,onlinegloss,2022.2.3,Win32,15.96882885,,,,,,,,,43,30,space,7.1591,9,5.4624,,,,,,42,0,15,15,42,1,,
,,,353,5c7018a5e165d10001e8aed2,e.g. 54,female ,2022-11-22_09h40.25.764,onlinegloss,2022.2.3,Win32,15.96882885,,,,,,,,,30,30,space,4.1935,2,2.7531,,,,,,47,0,16,16,47,1,,
,,,353,5c7018a5e165d10001e8aed2,e.g. 54,female ,2022-11-22_09h40.25.764,onlinegloss,2022.2.3,Win32,15.96882885,,,,,,,,,40,30,space,2.6578,2,1.9617,,,,,,17,0,17,17,17,1,,
,,,353,5c7018a5e165d10001e8aed2,e.g. 54,female ,2022-11-22_09h40.25.764,onlinegloss,2022.2.3,Win32,15.96882885,,,,,,,,,39,30,space,5.18,39,4.559,,,,,,63,0,18,18,63,1,,
,,,353,5c7018a5e165d10001e8aed2,e.g. 54,female ,2022-11-22_09h40.25.764,onlinegloss,2022.2.3,Win32,15.96882885,,,,,,,,,48,30,space,5.2174,30,4.2527,,,,,,57,0,19,19,57,1,,
,,,353,5c7018a5e165d10001e8aed2,e.g. 54,female ,2022-11-22_09h40.25.764,onlinegloss,2022.2.3,Win32,15.96882885,,,,,,,,,47,30,space,4.6562,21,2.6537,,,,,,72,0,20,20,72,1,,
,,,353,5c7018a5e165d10001e8aed2,e.g. 54,female ,2022-11-22_09h40.25.764,onlinegloss,2022.2.3,Win32,15.96882885,,,,,,,,,34,30,space,3.3131,2,2.4118,,,,,,22,0,21,21,22,1,,
,,,353,5c7018a5e165d10001e8aed2,e.g. 54,female ,2022-11-22_09h40.25.764,onlinegloss,2022.2.3,Win32,15.96882885,,,,,,,,,29,30,space,2.627,2,1.5912,,,,,,46,0,22,22,46,1,,
,,,353,5c7018a5e165d10001e8aed2,e.g. 54,female ,2022-11-22_09h40.25.764,onlinegloss,2022.2.3,Win32,15.96882885,,,,,,,,,44,30,space,10.8168,14,9.9054,,,,,,11,0,23,23,11,1,,
,,,353,5c7018a5e165d10001e8aed2,e.g. 54,female ,2022-11-22_09h40.25.764,onlinegloss,2022.2.3,Win32,15.96882885,,,,,,,,,36,30,space,8.35,6,7.4961,,,,,,8,0,24,24,8,1,,
,,,353,5c7018a5e165d10001e8aed2,e.g. 54,female ,2022-11-22_09h40.25.764,onlinegloss,2022.2.3,Win32,15.96882885,,,,,,,,,30,30,space,6.1921,8,4.7428,,,,,,80,0,25,25,80,1,,
