button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[2.3733000000007465],[2.3733000000007465],557,5bf530fe92ddb60001d02698,44,male,2022-11-22_14h48.27.747,onlinegloss,2022.2.3,Win32,59.7193192,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,557,5bf530fe92ddb60001d02698,44,male,2022-11-22_14h48.27.747,onlinegloss,2022.2.3,Win32,59.7193192,space,6.1484,,,,,,,,,,,,,,,,,,,,,,,,,
,,,557,5bf530fe92ddb60001d02698,44,male,2022-11-22_14h48.27.747,onlinegloss,2022.2.3,Win32,59.7193192,,,36.3,36.7,,,,,,,,,,,,,,,,,,,,,,,
,,,557,5bf530fe92ddb60001d02698,44,male,2022-11-22_14h48.27.747,onlinegloss,2022.2.3,Win32,59.7193192,,,,,space,7.407,,,,,,,,,,,,,,,,,,,,,
,,,557,5bf530fe92ddb60001d02698,44,male,2022-11-22_14h48.27.747,onlinegloss,2022.2.3,Win32,59.7193192,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,557,5bf530fe92ddb60001d02698,44,male,2022-11-22_14h48.27.747,onlinegloss,2022.2.3,Win32,59.7193192,,,,,,,space,7.5861,,,,,,,,,,,,,,,,,,,
,,,557,5bf530fe92ddb60001d02698,44,male,2022-11-22_14h48.27.747,onlinegloss,2022.2.3,Win32,59.7193192,,,,,,,,,37,18,space,1.0122,,,0,0,0,0,1,101,,,,,,,
,,,557,5bf530fe92ddb60001d02698,44,male,2022-11-22_14h48.27.747,onlinegloss,2022.2.3,Win32,59.7193192,,,,,,,,,51,18,space,0.5869,,,0,1,1,1,1,102,,,,,,,
,,,557,5bf530fe92ddb60001d02698,44,male,2022-11-22_14h48.27.747,onlinegloss,2022.2.3,Win32,59.7193192,,,,,,,,,46,18,space,1.4549,,,,,,,,63,0,0,0,63,1,,
,,,557,5bf530fe92ddb60001d02698,44,male,2022-11-22_14h48.27.747,onlinegloss,2022.2.3,Win32,59.7193192,,,,,,,,,47,18,space,0.3718,,,,,,,,8,0,1,1,8,1,,
