button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[2.7348999999761574],[2.7349999999999994],940,61265e53740259c87b17cc66,58,male,2022-11-22_17h22.47.876,onlinegloss,2022.2.3,Win32,56.23348141,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,940,61265e53740259c87b17cc66,58,male,2022-11-22_17h22.47.876,onlinegloss,2022.2.3,Win32,56.23348141,space,8.6844,,,,,,,,,,,,,,,,,,,,,,,,,
,,,940,61265e53740259c87b17cc66,58,male,2022-11-22_17h22.47.876,onlinegloss,2022.2.3,Win32,56.23348141,,,38.7,39.8,,,,,,,,,,,,,,,,,,,,,,,
,,,940,61265e53740259c87b17cc66,58,male,2022-11-22_17h22.47.876,onlinegloss,2022.2.3,Win32,56.23348141,,,,,space,48.4622,,,,,,,,,,,,,,,,,,,,,
,,,940,61265e53740259c87b17cc66,58,male,2022-11-22_17h22.47.876,onlinegloss,2022.2.3,Win32,56.23348141,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,940,61265e53740259c87b17cc66,58,male,2022-11-22_17h22.47.876,onlinegloss,2022.2.3,Win32,56.23348141,,,,,,,space,56.8292,,,,,,,,,,,,,,,,,,,
,,,940,61265e53740259c87b17cc66,58,male,2022-11-22_17h22.47.876,onlinegloss,2022.2.3,Win32,56.23348141,,,,,,,,,30,23,space,18.7151,48,15.4165,0,0,0,0,1,101,,,,,,,
,,,940,61265e53740259c87b17cc66,58,male,2022-11-22_17h22.47.876,onlinegloss,2022.2.3,Win32,56.23348141,,,,,,,,,27,23,space,34.6741,37,30.7767,0,1,1,1,1,102,,,,,,,
,,,940,61265e53740259c87b17cc66,58,male,2022-11-22_17h22.47.876,onlinegloss,2022.2.3,Win32,56.23348141,,,,,,,,,38,23,space,10.8361,15,9.9965,,,,,,15,0,0,0,15,1,,
,,,940,61265e53740259c87b17cc66,58,male,2022-11-22_17h22.47.876,onlinegloss,2022.2.3,Win32,56.23348141,,,,,,,,,48,23,space,11.8463,1,7.3565,,,,,,53,0,1,1,53,1,,
,,,940,61265e53740259c87b17cc66,58,male,2022-11-22_17h22.47.876,onlinegloss,2022.2.3,Win32,56.23348141,,,,,,,,,27,23,space,13.3674,10,12.5317,,,,,,57,0,2,2,57,1,,
,,,940,61265e53740259c87b17cc66,58,male,2022-11-22_17h22.47.876,onlinegloss,2022.2.3,Win32,56.23348141,,,,,,,,,42,23,space,16.8871,28,15.5905,,,,,,69,0,3,3,69,1,,
,,,940,61265e53740259c87b17cc66,58,male,2022-11-22_17h22.47.876,onlinegloss,2022.2.3,Win32,56.23348141,,,,,,,,,37,23,space,8.0947,10,7.223,,,,,,82,0,4,4,82,1,,
,,,940,61265e53740259c87b17cc66,58,male,2022-11-22_17h22.47.876,onlinegloss,2022.2.3,Win32,56.23348141,,,,,,,,,45,23,space,9.339,29,8.3832,,,,,,77,0,5,5,77,1,,
,,,940,61265e53740259c87b17cc66,58,male,2022-11-22_17h22.47.876,onlinegloss,2022.2.3,Win32,56.23348141,,,,,,,,,48,23,space,18.1327,3,17.1966,,,,,,38,0,6,6,38,1,,
,,,940,61265e53740259c87b17cc66,58,male,2022-11-22_17h22.47.876,onlinegloss,2022.2.3,Win32,56.23348141,,,,,,,,,40,23,space,4.9726,1,3.9369,,,,,,60,0,7,7,60,1,,
,,,940,61265e53740259c87b17cc66,58,male,2022-11-22_17h22.47.876,onlinegloss,2022.2.3,Win32,56.23348141,,,,,,,,,28,23,space,15.9754,2,14.5874,,,,,,21,0,8,8,21,1,,
,,,940,61265e53740259c87b17cc66,58,male,2022-11-22_17h22.47.876,onlinegloss,2022.2.3,Win32,56.23348141,,,,,,,,,30,23,space,12.1518,25,9.9453,,,,,,1,0,9,9,1,1,,
,,,940,61265e53740259c87b17cc66,58,male,2022-11-22_17h22.47.876,onlinegloss,2022.2.3,Win32,56.23348141,,,,,,,,,44,23,space,11.4325,1,10.6186,,,,,,50,0,10,10,50,1,,
,,,940,61265e53740259c87b17cc66,58,male,2022-11-22_17h22.47.876,onlinegloss,2022.2.3,Win32,56.23348141,,,,,,,,,33,23,space,21.9956,9,21.2099,,,,,,27,0,11,11,27,1,,
,,,940,61265e53740259c87b17cc66,58,male,2022-11-22_17h22.47.876,onlinegloss,2022.2.3,Win32,56.23348141,,,,,,,,,36,23,space,21.9968,23,17.8281,,,,,,16,0,12,12,16,1,,
,,,940,61265e53740259c87b17cc66,58,male,2022-11-22_17h22.47.876,onlinegloss,2022.2.3,Win32,56.23348141,,,,,,,,,45,23,space,16.8392,22,16.1917,,,,,,20,0,13,13,20,1,,
,,,940,61265e53740259c87b17cc66,58,male,2022-11-22_17h22.47.876,onlinegloss,2022.2.3,Win32,56.23348141,,,,,,,,,27,23,space,12.5936,22,11.9762,,,,,,63,0,14,14,63,1,,
,,,940,61265e53740259c87b17cc66,58,male,2022-11-22_17h22.47.876,onlinegloss,2022.2.3,Win32,56.23348141,,,,,,,,,32,23,space,7.5537,1,6.4309,,,,,,22,0,15,15,22,1,,
,,,940,61265e53740259c87b17cc66,58,male,2022-11-22_17h22.47.876,onlinegloss,2022.2.3,Win32,56.23348141,,,,,,,,,41,23,space,7.5706,4,6.7606,,,,,,44,0,16,16,44,1,,
,,,940,61265e53740259c87b17cc66,58,male,2022-11-22_17h22.47.876,onlinegloss,2022.2.3,Win32,56.23348141,,,,,,,,,42,23,space,6.8284,3,5.8733,,,,,,64,0,17,17,64,1,,
,,,940,61265e53740259c87b17cc66,58,male,2022-11-22_17h22.47.876,onlinegloss,2022.2.3,Win32,56.23348141,,,,,,,,,37,23,space,13.2373,34,11.0298,,,,,,67,0,18,18,67,1,,
,,,940,61265e53740259c87b17cc66,58,male,2022-11-22_17h22.47.876,onlinegloss,2022.2.3,Win32,56.23348141,,,,,,,,,28,23,space,10.6537,7,9.1248,,,,,,75,0,19,19,75,1,,
,,,940,61265e53740259c87b17cc66,58,male,2022-11-22_17h22.47.876,onlinegloss,2022.2.3,Win32,56.23348141,,,,,,,,,30,23,space,11.6847,15,10.6569,,,,,,56,0,20,20,56,1,,
,,,940,61265e53740259c87b17cc66,58,male,2022-11-22_17h22.47.876,onlinegloss,2022.2.3,Win32,56.23348141,,,,,,,,,35,23,space,9.5503,3,8.7557,,,,,,14,0,21,21,14,1,,
