button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[3.969099999904632],[3.969199999809266],1175,5f160514e2a4062d2a0ded58,26,male,2022-11-23_18h17.32.779,onlinegloss,2022.2.3,Win32,58.82006941,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1175,5f160514e2a4062d2a0ded58,26,male,2022-11-23_18h17.32.779,onlinegloss,2022.2.3,Win32,58.82006941,space,5.9294,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1175,5f160514e2a4062d2a0ded58,26,male,2022-11-23_18h17.32.779,onlinegloss,2022.2.3,Win32,58.82006941,,,61.1,59,,,,,,,,,,,,,,,,,,,,,,,
,,,1175,5f160514e2a4062d2a0ded58,26,male,2022-11-23_18h17.32.779,onlinegloss,2022.2.3,Win32,58.82006941,,,,,space,22.4817,,,,,,,,,,,,,,,,,,,,,
,,,1175,5f160514e2a4062d2a0ded58,26,male,2022-11-23_18h17.32.779,onlinegloss,2022.2.3,Win32,58.82006941,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1175,5f160514e2a4062d2a0ded58,26,male,2022-11-23_18h17.32.779,onlinegloss,2022.2.3,Win32,58.82006941,,,,,,,space,20.3563,,,,,,,,,,,,,,,,,,,
,,,1175,5f160514e2a4062d2a0ded58,26,male,2022-11-23_18h17.32.779,onlinegloss,2022.2.3,Win32,58.82006941,,,,,,,,,35,46,space,11.768,31,9.4976,0,0,0,0,1,101,,,,,,,
,,,1175,5f160514e2a4062d2a0ded58,26,male,2022-11-23_18h17.32.779,onlinegloss,2022.2.3,Win32,58.82006941,,,,,,,,,50,46,space,4.3572,31,2.1547,0,1,1,1,1,102,,,,,,,
,,,1175,5f160514e2a4062d2a0ded58,26,male,2022-11-23_18h17.32.779,onlinegloss,2022.2.3,Win32,58.82006941,,,,,,,,,30,46,space,6.9191,16,5.8475,,,,,,44,0,0,0,44,1,,
,,,1175,5f160514e2a4062d2a0ded58,26,male,2022-11-23_18h17.32.779,onlinegloss,2022.2.3,Win32,58.82006941,,,,,,,,,48,46,space,9.4044,7,7.752,,,,,,42,0,1,1,42,1,,
,,,1175,5f160514e2a4062d2a0ded58,26,male,2022-11-23_18h17.32.779,onlinegloss,2022.2.3,Win32,58.82006941,,,,,,,,,30,46,space,7.2689,52,5.802,,,,,,34,0,2,2,34,1,,
,,,1175,5f160514e2a4062d2a0ded58,26,male,2022-11-23_18h17.32.779,onlinegloss,2022.2.3,Win32,58.82006941,,,,,,,,,48,46,space,4.4757,35,2.5751,,,,,,15,0,3,3,15,1,,
,,,1175,5f160514e2a4062d2a0ded58,26,male,2022-11-23_18h17.32.779,onlinegloss,2022.2.3,Win32,58.82006941,,,,,,,,,33,46,space,5.3235,19,5.0545,,,,,,51,0,4,4,51,1,,
,,,1175,5f160514e2a4062d2a0ded58,26,male,2022-11-23_18h17.32.779,onlinegloss,2022.2.3,Win32,58.82006941,,,,,,,,,32,46,space,7.1374,20,6.9338,,,,,,43,0,5,5,43,1,,
,,,1175,5f160514e2a4062d2a0ded58,26,male,2022-11-23_18h17.32.779,onlinegloss,2022.2.3,Win32,58.82006941,,,,,,,,,42,46,space,4.207,36,3.4073,,,,,,83,0,6,6,83,1,,
,,,1175,5f160514e2a4062d2a0ded58,26,male,2022-11-23_18h17.32.779,onlinegloss,2022.2.3,Win32,58.82006941,,,,,,,,,40,46,space,3.5548,3,2.6713,,,,,,82,0,7,7,82,1,,
,,,1175,5f160514e2a4062d2a0ded58,26,male,2022-11-23_18h17.32.779,onlinegloss,2022.2.3,Win32,58.82006941,,,,,,,,,27,46,space,3.1471,23,2.2131,,,,,,23,0,8,8,23,1,,
,,,1175,5f160514e2a4062d2a0ded58,26,male,2022-11-23_18h17.32.779,onlinegloss,2022.2.3,Win32,58.82006941,,,,,,,,,38,46,space,2.4553,33,1.9144,,,,,,28,0,9,9,28,1,,
,,,1175,5f160514e2a4062d2a0ded58,26,male,2022-11-23_18h17.32.779,onlinegloss,2022.2.3,Win32,58.82006941,,,,,,,,,42,46,space,2.0274,37,1.5065,,,,,,35,0,10,10,35,1,,
,,,1175,5f160514e2a4062d2a0ded58,26,male,2022-11-23_18h17.32.779,onlinegloss,2022.2.3,Win32,58.82006941,,,,,,,,,33,46,space,3.0325,50,2.5763,,,,,,26,0,11,11,26,1,,
,,,1175,5f160514e2a4062d2a0ded58,26,male,2022-11-23_18h17.32.779,onlinegloss,2022.2.3,Win32,58.82006941,,,,,,,,,33,46,space,5.8825,32,4.6876,,,,,,29,0,12,12,29,1,,
,,,1175,5f160514e2a4062d2a0ded58,26,male,2022-11-23_18h17.32.779,onlinegloss,2022.2.3,Win32,58.82006941,,,,,,,,,50,46,space,3.9986,28,3.6063,,,,,,73,0,13,13,73,1,,
,,,1175,5f160514e2a4062d2a0ded58,26,male,2022-11-23_18h17.32.779,onlinegloss,2022.2.3,Win32,58.82006941,,,,,,,,,46,46,space,5.2245,6,4.2885,,,,,,37,0,14,14,37,1,,
,,,1175,5f160514e2a4062d2a0ded58,26,male,2022-11-23_18h17.32.779,onlinegloss,2022.2.3,Win32,58.82006941,,,,,,,,,52,46,space,4.7706,46,4.2447,,,,,,38,0,15,15,38,1,,
,,,1175,5f160514e2a4062d2a0ded58,26,male,2022-11-23_18h17.32.779,onlinegloss,2022.2.3,Win32,58.82006941,,,,,,,,,29,46,space,3.3253,43,2.9542,,,,,,77,0,16,16,77,1,,
,,,1175,5f160514e2a4062d2a0ded58,26,male,2022-11-23_18h17.32.779,onlinegloss,2022.2.3,Win32,58.82006941,,,,,,,,,47,46,space,2.1391,41,1.4889,,,,,,1,0,17,17,1,1,,
,,,1175,5f160514e2a4062d2a0ded58,26,male,2022-11-23_18h17.32.779,onlinegloss,2022.2.3,Win32,58.82006941,,,,,,,,,28,46,space,2.71,33,1.8928,,,,,,8,0,18,18,8,1,,
,,,1175,5f160514e2a4062d2a0ded58,26,male,2022-11-23_18h17.32.779,onlinegloss,2022.2.3,Win32,58.82006941,,,,,,,,,40,46,space,2.4818,31,1.8392,,,,,,10,0,19,19,10,1,,
,,,1175,5f160514e2a4062d2a0ded58,26,male,2022-11-23_18h17.32.779,onlinegloss,2022.2.3,Win32,58.82006941,,,,,,,,,33,46,space,3.5519,1,2.8636,,,,,,54,0,20,20,54,1,,
,,,1175,5f160514e2a4062d2a0ded58,26,male,2022-11-23_18h17.32.779,onlinegloss,2022.2.3,Win32,58.82006941,,,,,,,,,26,46,space,5.9738,38,5.1369,,,,,,74,0,21,21,74,1,,
,,,1175,5f160514e2a4062d2a0ded58,26,male,2022-11-23_18h17.32.779,onlinegloss,2022.2.3,Win32,58.82006941,,,,,,,,,31,46,space,3.8636,34,1.9045,,,,,,50,0,22,22,50,1,,
,,,1175,5f160514e2a4062d2a0ded58,26,male,2022-11-23_18h17.32.779,onlinegloss,2022.2.3,Win32,58.82006941,,,,,,,,,51,46,space,3.3248,6,2.346,,,,,,75,0,23,23,75,1,,
,,,1175,5f160514e2a4062d2a0ded58,26,male,2022-11-23_18h17.32.779,onlinegloss,2022.2.3,Win32,58.82006941,,,,,,,,,31,46,space,4.2915,26,3.9418,,,,,,80,0,24,24,80,1,,
,,,1175,5f160514e2a4062d2a0ded58,26,male,2022-11-23_18h17.32.779,onlinegloss,2022.2.3,Win32,58.82006941,,,,,,,,,47,46,space,9.5883,21,9.5505,,,,,,62,0,25,25,62,1,,
,,,1175,5f160514e2a4062d2a0ded58,26,male,2022-11-23_18h17.32.779,onlinegloss,2022.2.3,Win32,58.82006941,,,,,,,,,38,46,space,15.2952,1,14.0917,,,,,,0,0,26,26,0,1,,
,,,1175,5f160514e2a4062d2a0ded58,26,male,2022-11-23_18h17.32.779,onlinegloss,2022.2.3,Win32,58.82006941,,,,,,,,,31,46,space,6.6459,19,5.1355,,,,,,61,0,27,27,61,1,,
,,,1175,5f160514e2a4062d2a0ded58,26,male,2022-11-23_18h17.32.779,onlinegloss,2022.2.3,Win32,58.82006941,,,,,,,,,44,46,space,3.5191,7,2.8546,,,,,,33,0,28,28,33,1,,
