button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[7.7107999999523145],[7.7107999999523145],995,5979d62b1fc28a000191759a,56,male,2022-11-23_11h56.25.872,onlinegloss,2022.2.3,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,995,5979d62b1fc28a000191759a,56,male,2022-11-23_11h56.25.872,onlinegloss,2022.2.3,Win32,59.95203837,space,30.6081,,,,,,,,,,,,,,,,,,,,,,,,,
,,,995,5979d62b1fc28a000191759a,56,male,2022-11-23_11h56.25.872,onlinegloss,2022.2.3,Win32,59.95203837,,,32.8,30.1,,,,,,,,,,,,,,,,,,,,,,,
,,,995,5979d62b1fc28a000191759a,56,male,2022-11-23_11h56.25.872,onlinegloss,2022.2.3,Win32,59.95203837,,,,,space,9.9232,,,,,,,,,,,,,,,,,,,,,
,,,995,5979d62b1fc28a000191759a,56,male,2022-11-23_11h56.25.872,onlinegloss,2022.2.3,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,995,5979d62b1fc28a000191759a,56,male,2022-11-23_11h56.25.872,onlinegloss,2022.2.3,Win32,59.95203837,,,,,,,space,40.8247,,,,,,,,,,,,,,,,,,,
,,,995,5979d62b1fc28a000191759a,56,male,2022-11-23_11h56.25.872,onlinegloss,2022.2.3,Win32,59.95203837,,,,,,,,,36,1,space,10.1448,23,8.1757,0,0,0,0,1,101,,,,,,,
,,,995,5979d62b1fc28a000191759a,56,male,2022-11-23_11h56.25.872,onlinegloss,2022.2.3,Win32,59.95203837,,,,,,,,,34,1,space,7.7457,17,7.7567,0,1,1,1,1,102,,,,,,,
,,,995,5979d62b1fc28a000191759a,56,male,2022-11-23_11h56.25.872,onlinegloss,2022.2.3,Win32,59.95203837,,,,,,,,,38,1,space,5.5574,7,5.5031,,,,,,78,0,0,0,78,1,,
,,,995,5979d62b1fc28a000191759a,56,male,2022-11-23_11h56.25.872,onlinegloss,2022.2.3,Win32,59.95203837,,,,,,,,,49,1,space,5.0308,15,4.7878,,,,,,50,0,1,1,50,1,,
,,,995,5979d62b1fc28a000191759a,56,male,2022-11-23_11h56.25.872,onlinegloss,2022.2.3,Win32,59.95203837,,,,,,,,,36,1,space,4.0849,1,3.8538,,,,,,41,0,2,2,41,1,,
,,,995,5979d62b1fc28a000191759a,56,male,2022-11-23_11h56.25.872,onlinegloss,2022.2.3,Win32,59.95203837,,,,,,,,,46,1,space,5.6435,24,5.5929,,,,,,2,0,3,3,2,1,,
,,,995,5979d62b1fc28a000191759a,56,male,2022-11-23_11h56.25.872,onlinegloss,2022.2.3,Win32,59.95203837,,,,,,,,,41,1,space,3.7359,5,3.7021,,,,,,7,0,4,4,7,1,,
,,,995,5979d62b1fc28a000191759a,56,male,2022-11-23_11h56.25.872,onlinegloss,2022.2.3,Win32,59.95203837,,,,,,,,,32,1,space,5.0212,17,4.7748,,,,,,33,0,5,5,33,1,,
,,,995,5979d62b1fc28a000191759a,56,male,2022-11-23_11h56.25.872,onlinegloss,2022.2.3,Win32,59.95203837,,,,,,,,,31,1,space,6.938,30,6.7457,,,,,,77,0,6,6,77,1,,
,,,995,5979d62b1fc28a000191759a,56,male,2022-11-23_11h56.25.872,onlinegloss,2022.2.3,Win32,59.95203837,,,,,,,,,45,1,space,2.3558,1,2.0819,,,,,,59,0,7,7,59,1,,
,,,995,5979d62b1fc28a000191759a,56,male,2022-11-23_11h56.25.872,onlinegloss,2022.2.3,Win32,59.95203837,,,,,,,,,52,1,space,4.57,1,4.143,,,,,,66,0,8,8,66,1,,
,,,995,5979d62b1fc28a000191759a,56,male,2022-11-23_11h56.25.872,onlinegloss,2022.2.3,Win32,59.95203837,,,,,,,,,32,1,space,3.1579,14,2.7683,,,,,,80,0,9,9,80,1,,
,,,995,5979d62b1fc28a000191759a,56,male,2022-11-23_11h56.25.872,onlinegloss,2022.2.3,Win32,59.95203837,,,,,,,,,48,1,space,7.1355,39,6.8019,,,,,,27,0,10,10,27,1,,
,,,995,5979d62b1fc28a000191759a,56,male,2022-11-23_11h56.25.872,onlinegloss,2022.2.3,Win32,59.95203837,,,,,,,,,33,1,space,3.8479,4,3.4016,,,,,,26,0,11,11,26,1,,
,,,995,5979d62b1fc28a000191759a,56,male,2022-11-23_11h56.25.872,onlinegloss,2022.2.3,Win32,59.95203837,,,,,,,,,28,1,space,2.6629,20,2.4421,,,,,,18,0,12,12,18,1,,
,,,995,5979d62b1fc28a000191759a,56,male,2022-11-23_11h56.25.872,onlinegloss,2022.2.3,Win32,59.95203837,,,,,,,,,30,1,space,2.6775,3,1.7925,,,,,,35,0,13,13,35,1,,
,,,995,5979d62b1fc28a000191759a,56,male,2022-11-23_11h56.25.872,onlinegloss,2022.2.3,Win32,59.95203837,,,,,,,,,36,1,space,4.7977,2,3.9475,,,,,,8,0,14,14,8,1,,
,,,995,5979d62b1fc28a000191759a,56,male,2022-11-23_11h56.25.872,onlinegloss,2022.2.3,Win32,59.95203837,,,,,,,,,30,1,space,3.2542,1,2.8506,,,,,,1,0,15,15,1,1,,
,,,995,5979d62b1fc28a000191759a,56,male,2022-11-23_11h56.25.872,onlinegloss,2022.2.3,Win32,59.95203837,,,,,,,,,51,1,space,2.5471,7,2.0845,,,,,,16,0,16,16,16,1,,
