button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[11.40790000000596],[11.40790000000596],348,59b56694e798730001488f75,64, male,2022-11-22_09h38.24.139,onlinegloss,2022.2.3,Win32,60.65384849,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,348,59b56694e798730001488f75,64, male,2022-11-22_09h38.24.139,onlinegloss,2022.2.3,Win32,60.65384849,space,8.3337,,,,,,,,,,,,,,,,,,,,,,,,,
,,,348,59b56694e798730001488f75,64, male,2022-11-22_09h38.24.139,onlinegloss,2022.2.3,Win32,60.65384849,,,42.8,40.1,,,,,,,,,,,,,,,,,,,,,,,
,,,348,59b56694e798730001488f75,64, male,2022-11-22_09h38.24.139,onlinegloss,2022.2.3,Win32,60.65384849,,,,,space,15.785,,,,,,,,,,,,,,,,,,,,,
,,,348,59b56694e798730001488f75,64, male,2022-11-22_09h38.24.139,onlinegloss,2022.2.3,Win32,60.65384849,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,348,59b56694e798730001488f75,64, male,2022-11-22_09h38.24.139,onlinegloss,2022.2.3,Win32,60.65384849,,,,,,,space,29.0264,,,,,,,,,,,,,,,,,,,
,,,348,59b56694e798730001488f75,64, male,2022-11-22_09h38.24.139,onlinegloss,2022.2.3,Win32,60.65384849,,,,,,,,,32,25,space,38.4636,27,36.4769,0,0,0,0,1,101,,,,,,,
,,,348,59b56694e798730001488f75,64, male,2022-11-22_09h38.24.139,onlinegloss,2022.2.3,Win32,60.65384849,,,,,,,,,42,25,space,16.9245,25,15.003,0,1,1,1,1,102,,,,,,,
,,,348,59b56694e798730001488f75,64, male,2022-11-22_09h38.24.139,onlinegloss,2022.2.3,Win32,60.65384849,,,,,,,,,50,25,space,9.1566,14,8.6574,,,,,,23,0,0,0,23,1,,
,,,348,59b56694e798730001488f75,64, male,2022-11-22_09h38.24.139,onlinegloss,2022.2.3,Win32,60.65384849,,,,,,,,,30,25,space,10.422,20,10.0033,,,,,,10,0,1,1,10,1,,
,,,348,59b56694e798730001488f75,64, male,2022-11-22_09h38.24.139,onlinegloss,2022.2.3,Win32,60.65384849,,,,,,,,,39,25,space,11.9654,32,11.1643,,,,,,40,0,2,2,40,1,,
,,,348,59b56694e798730001488f75,64, male,2022-11-22_09h38.24.139,onlinegloss,2022.2.3,Win32,60.65384849,,,,,,,,,46,25,space,17.4953,46,16.8552,,,,,,63,0,3,3,63,1,,
,,,348,59b56694e798730001488f75,64, male,2022-11-22_09h38.24.139,onlinegloss,2022.2.3,Win32,60.65384849,,,,,,,,,50,25,space,7.657,20,7.264,,,,,,58,0,4,4,58,1,,
