button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[114.03230000007154],[114.03240000009536],293,5baea3a3b8cbf600017a7727,48,female,2022-11-22_09h35.03.136,onlinegloss,2022.2.3,Win32,59.89099838,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,293,5baea3a3b8cbf600017a7727,48,female,2022-11-22_09h35.03.136,onlinegloss,2022.2.3,Win32,59.89099838,space,18.0214,,,,,,,,,,,,,,,,,,,,,,,,,
,,,293,5baea3a3b8cbf600017a7727,48,female,2022-11-22_09h35.03.136,onlinegloss,2022.2.3,Win32,59.89099838,,,45,43.6,,,,,,,,,,,,,,,,,,,,,,,
,,,293,5baea3a3b8cbf600017a7727,48,female,2022-11-22_09h35.03.136,onlinegloss,2022.2.3,Win32,59.89099838,,,,,space,83.3031,,,,,,,,,,,,,,,,,,,,,
,,,293,5baea3a3b8cbf600017a7727,48,female,2022-11-22_09h35.03.136,onlinegloss,2022.2.3,Win32,59.89099838,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,293,5baea3a3b8cbf600017a7727,48,female,2022-11-22_09h35.03.136,onlinegloss,2022.2.3,Win32,59.89099838,,,,,,,space,83.5501,,,,,,,,,,,,,,,,,,,
,,,293,5baea3a3b8cbf600017a7727,48,female,2022-11-22_09h35.03.136,onlinegloss,2022.2.3,Win32,59.89099838,,,,,,,,,40,24,space,10.9099,38,7.9574,0,0,0,0,1,101,,,,,,,
,,,293,5baea3a3b8cbf600017a7727,48,female,2022-11-22_09h35.03.136,onlinegloss,2022.2.3,Win32,59.89099838,,,,,,,,,33,24,space,14.9015,22,13.6356,0,1,1,1,1,102,,,,,,,
,,,293,5baea3a3b8cbf600017a7727,48,female,2022-11-22_09h35.03.136,onlinegloss,2022.2.3,Win32,59.89099838,,,,,,,,,31,24,space,32.9654,1,31.5506,,,,,,4,0,0,0,4,1,,
,,,293,5baea3a3b8cbf600017a7727,48,female,2022-11-22_09h35.03.136,onlinegloss,2022.2.3,Win32,59.89099838,,,,,,,,,32,24,space,5.239,11,3.7687,,,,,,67,0,1,1,67,1,,
