button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[55.543499999999995],[55.54379999995231],727,5bde0463520c030001f4959f,41,female,2022-11-22_16h59.56.052,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,727,5bde0463520c030001f4959f,41,female,2022-11-22_16h59.56.052,onlinegloss,2022.2.3,Win32,60.0060006,space,17.9729,,,,,,,,,,,,,,,,,,,,,,,,,
,,,727,5bde0463520c030001f4959f,41,female,2022-11-22_16h59.56.052,onlinegloss,2022.2.3,Win32,60.0060006,,,38.9,39.2,,,,,,,,,,,,,,,,,,,,,,,
,,,727,5bde0463520c030001f4959f,41,female,2022-11-22_16h59.56.052,onlinegloss,2022.2.3,Win32,60.0060006,,,,,space,24.2647,,,,,,,,,,,,,,,,,,,,,
,,,727,5bde0463520c030001f4959f,41,female,2022-11-22_16h59.56.052,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,727,5bde0463520c030001f4959f,41,female,2022-11-22_16h59.56.052,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,space,80.568,,,,,,,,,,,,,,,,,,,
,,,727,5bde0463520c030001f4959f,41,female,2022-11-22_16h59.56.052,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,44,26,space,18.282,49,16.3933,0,0,0,0,1,101,,,,,,,
,,,727,5bde0463520c030001f4959f,41,female,2022-11-22_16h59.56.052,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,31,26,space,13.9172,44,13.3619,0,1,1,1,1,102,,,,,,,
,,,727,5bde0463520c030001f4959f,41,female,2022-11-22_16h59.56.052,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,50,26,space,14.0764,20,13.4806,,,,,,31,0,0,0,31,1,,
,,,727,5bde0463520c030001f4959f,41,female,2022-11-22_16h59.56.052,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,32,26,space,7.2277,3,6.719,,,,,,9,0,1,1,9,1,,
,,,727,5bde0463520c030001f4959f,41,female,2022-11-22_16h59.56.052,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,28,26,space,7.7094,1,4.5168,,,,,,33,0,2,2,33,1,,
,,,727,5bde0463520c030001f4959f,41,female,2022-11-22_16h59.56.052,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,32,26,space,11.3519,18,10.8481,,,,,,71,0,3,3,71,1,,
,,,727,5bde0463520c030001f4959f,41,female,2022-11-22_16h59.56.052,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,28,26,space,7.4689,20,7.183,,,,,,81,0,4,4,81,1,,
,,,727,5bde0463520c030001f4959f,41,female,2022-11-22_16h59.56.052,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,39,26,space,6.1666,27,5.7729,,,,,,35,0,5,5,35,1,,
,,,727,5bde0463520c030001f4959f,41,female,2022-11-22_16h59.56.052,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,37,26,space,6.2226,3,5.5352,,,,,,16,0,6,6,16,1,,
,,,727,5bde0463520c030001f4959f,41,female,2022-11-22_16h59.56.052,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,28,26,space,14.6305,1,13.5369,,,,,,0,0,7,7,0,1,,
,,,727,5bde0463520c030001f4959f,41,female,2022-11-22_16h59.56.052,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,43,26,space,22.5456,11,21.5986,,,,,,32,0,8,8,32,1,,
,,,727,5bde0463520c030001f4959f,41,female,2022-11-22_16h59.56.052,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,33,26,space,6.1242,11,4.0185,,,,,,69,0,9,9,69,1,,
,,,727,5bde0463520c030001f4959f,41,female,2022-11-22_16h59.56.052,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,38,26,space,7.6303,15,7.3143,,,,,,52,0,10,10,52,1,,
,,,727,5bde0463520c030001f4959f,41,female,2022-11-22_16h59.56.052,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,49,26,space,3.9612,1,3.0204,,,,,,53,0,11,11,53,1,,
,,,727,5bde0463520c030001f4959f,41,female,2022-11-22_16h59.56.052,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,41,26,space,5.0714,3,4.7217,,,,,,75,0,12,12,75,1,,
,,,727,5bde0463520c030001f4959f,41,female,2022-11-22_16h59.56.052,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,30,26,space,11.6567,27,11.2654,,,,,,38,0,13,13,38,1,,
,,,727,5bde0463520c030001f4959f,41,female,2022-11-22_16h59.56.052,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,29,26,space,2.9139,1,2.615,,,,,,28,0,14,14,28,1,,
,,,727,5bde0463520c030001f4959f,41,female,2022-11-22_16h59.56.052,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,40,26,space,9.8403,23,8.9014,,,,,,44,0,15,15,44,1,,
,,,727,5bde0463520c030001f4959f,41,female,2022-11-22_16h59.56.052,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,50,26,space,4.7696,27,4.504,,,,,,10,0,16,16,10,1,,
,,,727,5bde0463520c030001f4959f,41,female,2022-11-22_16h59.56.052,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,36,26,space,4.7928,8,4.4598,,,,,,80,0,17,17,80,1,,
,,,727,5bde0463520c030001f4959f,41,female,2022-11-22_16h59.56.052,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,43,26,space,3.0266,1,2.8015,,,,,,21,0,18,18,21,1,,
,,,727,5bde0463520c030001f4959f,41,female,2022-11-22_16h59.56.052,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,35,26,space,4.5733,17,2.5927,,,,,,37,0,19,19,37,1,,
,,,727,5bde0463520c030001f4959f,41,female,2022-11-22_16h59.56.052,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,42,26,space,5.2601,14,4.9953,,,,,,40,0,20,20,40,1,,
,,,727,5bde0463520c030001f4959f,41,female,2022-11-22_16h59.56.052,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,44,26,space,6.7135,7,6.4979,,,,,,59,0,21,21,59,1,,
,,,727,5bde0463520c030001f4959f,41,female,2022-11-22_16h59.56.052,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,47,26,space,5.0263,18,3.5689,,,,,,45,0,22,22,45,1,,
,,,727,5bde0463520c030001f4959f,41,female,2022-11-22_16h59.56.052,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,33,26,space,3.1545,10,2.9203,,,,,,63,0,23,23,63,1,,
,,,727,5bde0463520c030001f4959f,41,female,2022-11-22_16h59.56.052,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,34,26,space,11.5761,37,11.0104,,,,,,74,0,24,24,74,1,,
,,,727,5bde0463520c030001f4959f,41,female,2022-11-22_16h59.56.052,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,28,26,space,3.5947,33,3.3614,,,,,,67,0,25,25,67,1,,
,,,727,5bde0463520c030001f4959f,41,female,2022-11-22_16h59.56.052,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,32,26,space,12.624,7,12.0488,,,,,,12,0,26,26,12,1,,
,,,727,5bde0463520c030001f4959f,41,female,2022-11-22_16h59.56.052,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,26,26,space,5.1868,27,4.8309,,,,,,55,0,27,27,55,1,,
,,,727,5bde0463520c030001f4959f,41,female,2022-11-22_16h59.56.052,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,41,26,space,4.5271,52,4.2874,,,,,,5,0,28,28,5,1,,
,,,727,5bde0463520c030001f4959f,41,female,2022-11-22_16h59.56.052,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,38,26,space,5.8924,28,5.6005,,,,,,18,0,29,29,18,1,,
,,,727,5bde0463520c030001f4959f,41,female,2022-11-22_16h59.56.052,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,32,26,space,15.6683,6,15.351,,,,,,26,0,30,30,26,1,,
,,,727,5bde0463520c030001f4959f,41,female,2022-11-22_16h59.56.052,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,48,26,space,4.4928,25,4.252,,,,,,70,0,31,31,70,1,,
,,,727,5bde0463520c030001f4959f,41,female,2022-11-22_16h59.56.052,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,40,26,space,3.3042,16,3.1163,,,,,,61,0,32,32,61,1,,
,,,727,5bde0463520c030001f4959f,41,female,2022-11-22_16h59.56.052,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,35,26,space,3.8429,4,3.7009,,,,,,79,0,33,33,79,1,,
,,,727,5bde0463520c030001f4959f,41,female,2022-11-22_16h59.56.052,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,51,26,space,16.5611,23,16.4295,,,,,,34,0,34,34,34,1,,
,,,727,5bde0463520c030001f4959f,41,female,2022-11-22_16h59.56.052,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,33,26,space,5.502,15,5.2674,,,,,,15,0,35,35,15,1,,
,,,727,5bde0463520c030001f4959f,41,female,2022-11-22_16h59.56.052,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,49,26,space,4.2991,39,4.0788,,,,,,41,0,36,36,41,1,,
,,,727,5bde0463520c030001f4959f,41,female,2022-11-22_16h59.56.052,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,44,26,space,6.5265,11,6.3676,,,,,,66,0,37,37,66,1,,
,,,727,5bde0463520c030001f4959f,41,female,2022-11-22_16h59.56.052,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,50,26,space,20.9966,33,20.5073,,,,,,68,0,38,38,68,1,,
,,,727,5bde0463520c030001f4959f,41,female,2022-11-22_16h59.56.052,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,39,26,space,4.6904,21,4.4662,,,,,,54,0,39,39,54,1,,
