button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[11.842899999976158],[11.843],1041,5ce43a70aade7100152e6e77,59,female,2022-11-23_14h56.20.205,onlinegloss,2022.2.3,Win32,60.5877007,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1041,5ce43a70aade7100152e6e77,59,female,2022-11-23_14h56.20.205,onlinegloss,2022.2.3,Win32,60.5877007,space,6.4163,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1041,5ce43a70aade7100152e6e77,59,female,2022-11-23_14h56.20.205,onlinegloss,2022.2.3,Win32,60.5877007,,,46.6,46.7,,,,,,,,,,,,,,,,,,,,,,,
,,,1041,5ce43a70aade7100152e6e77,59,female,2022-11-23_14h56.20.205,onlinegloss,2022.2.3,Win32,60.5877007,,,,,space,28.4911,,,,,,,,,,,,,,,,,,,,,
,,,1041,5ce43a70aade7100152e6e77,59,female,2022-11-23_14h56.20.205,onlinegloss,2022.2.3,Win32,60.5877007,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1041,5ce43a70aade7100152e6e77,59,female,2022-11-23_14h56.20.205,onlinegloss,2022.2.3,Win32,60.5877007,,,,,,,space,16.1668,,,,,,,,,,,,,,,,,,,
,,,1041,5ce43a70aade7100152e6e77,59,female,2022-11-23_14h56.20.205,onlinegloss,2022.2.3,Win32,60.5877007,,,,,,,,,33,2,space,15.7095,19,13.9262,0,0,0,0,1,101,,,,,,,
,,,1041,5ce43a70aade7100152e6e77,59,female,2022-11-23_14h56.20.205,onlinegloss,2022.2.3,Win32,60.5877007,,,,,,,,,39,2,space,11.6559,33,10.6176,0,1,1,1,1,102,,,,,,,
,,,1041,5ce43a70aade7100152e6e77,59,female,2022-11-23_14h56.20.205,onlinegloss,2022.2.3,Win32,60.5877007,,,,,,,,,32,2,space,13.8569,8,12.885,,,,,,57,0,0,0,57,1,,
,,,1041,5ce43a70aade7100152e6e77,59,female,2022-11-23_14h56.20.205,onlinegloss,2022.2.3,Win32,60.5877007,,,,,,,,,43,2,space,8.3892,2,7.4925,,,,,,12,0,1,1,12,1,,
