button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[10.128],[10.128],741,61486b7bb62283d3f37e8116,41,Female,2022-11-22_17h01.46.037,onlinegloss,2022.2.3,Win32,60.59871531,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,741,61486b7bb62283d3f37e8116,41,Female,2022-11-22_17h01.46.037,onlinegloss,2022.2.3,Win32,60.59871531,space,11.6742,,,,,,,,,,,,,,,,,,,,,,,,,
,,,741,61486b7bb62283d3f37e8116,41,Female,2022-11-22_17h01.46.037,onlinegloss,2022.2.3,Win32,60.59871531,,,37.8,36.3,,,,,,,,,,,,,,,,,,,,,,,
,,,741,61486b7bb62283d3f37e8116,41,Female,2022-11-22_17h01.46.037,onlinegloss,2022.2.3,Win32,60.59871531,,,,,space,25.955,,,,,,,,,,,,,,,,,,,,,
,,,741,61486b7bb62283d3f37e8116,41,Female,2022-11-22_17h01.46.037,onlinegloss,2022.2.3,Win32,60.59871531,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,741,61486b7bb62283d3f37e8116,41,Female,2022-11-22_17h01.46.037,onlinegloss,2022.2.3,Win32,60.59871531,,,,,,,space,15.2989,,,,,,,,,,,,,,,,,,,
,,,741,61486b7bb62283d3f37e8116,41,Female,2022-11-22_17h01.46.037,onlinegloss,2022.2.3,Win32,60.59871531,,,,,,,,,28,40,space,8.6387,21,7.8244,0,0,0,0,1,101,,,,,,,
,,,741,61486b7bb62283d3f37e8116,41,Female,2022-11-22_17h01.46.037,onlinegloss,2022.2.3,Win32,60.59871531,,,,,,,,,44,40,space,5.9038,21,5.6338,0,1,1,1,1,102,,,,,,,
,,,741,61486b7bb62283d3f37e8116,41,Female,2022-11-22_17h01.46.037,onlinegloss,2022.2.3,Win32,60.59871531,,,,,,,,,51,40,space,4.0663,1,3.8188,,,,,,5,0,0,0,5,1,,
,,,741,61486b7bb62283d3f37e8116,41,Female,2022-11-22_17h01.46.037,onlinegloss,2022.2.3,Win32,60.59871531,,,,,,,,,37,40,space,4.2506,1,3.9154,,,,,,69,0,1,1,69,1,,
