button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[8.123199999988078],[8.123199999988078],993,580cb179240a2d0001e6b9b3,46,female,2022-11-23_11h51.24.691,onlinegloss,2022.2.3,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,993,580cb179240a2d0001e6b9b3,46,female,2022-11-23_11h51.24.691,onlinegloss,2022.2.3,Win32,59.93766483,space,42.0847,,,,,,,,,,,,,,,,,,,,,,,,,
,,,993,580cb179240a2d0001e6b9b3,46,female,2022-11-23_11h51.24.691,onlinegloss,2022.2.3,Win32,59.93766483,,,34,34.5,,,,,,,,,,,,,,,,,,,,,,,
,,,993,580cb179240a2d0001e6b9b3,46,female,2022-11-23_11h51.24.691,onlinegloss,2022.2.3,Win32,59.93766483,,,,,space,24.0928,,,,,,,,,,,,,,,,,,,,,
,,,993,580cb179240a2d0001e6b9b3,46,female,2022-11-23_11h51.24.691,onlinegloss,2022.2.3,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,993,580cb179240a2d0001e6b9b3,46,female,2022-11-23_11h51.24.691,onlinegloss,2022.2.3,Win32,59.93766483,,,,,,,space,40.6569,,,,,,,,,,,,,,,,,,,
,,,993,580cb179240a2d0001e6b9b3,46,female,2022-11-23_11h51.24.691,onlinegloss,2022.2.3,Win32,59.93766483,,,,,,,,,30,1,space,10.7044,34,10.1228,0,0,0,0,1,101,,,,,,,
,,,993,580cb179240a2d0001e6b9b3,46,female,2022-11-23_11h51.24.691,onlinegloss,2022.2.3,Win32,59.93766483,,,,,,,,,47,1,space,11.4247,41,11.0496,0,1,1,1,1,102,,,,,,,
,,,993,580cb179240a2d0001e6b9b3,46,female,2022-11-23_11h51.24.691,onlinegloss,2022.2.3,Win32,59.93766483,,,,,,,,,48,1,space,6.6181,4,6.3342,,,,,,49,0,0,0,49,1,,
,,,993,580cb179240a2d0001e6b9b3,46,female,2022-11-23_11h51.24.691,onlinegloss,2022.2.3,Win32,59.93766483,,,,,,,,,43,1,space,7.4168,20,7.115,,,,,,8,0,1,1,8,1,,
,,,993,580cb179240a2d0001e6b9b3,46,female,2022-11-23_11h51.24.691,onlinegloss,2022.2.3,Win32,59.93766483,,,,,,,,,47,1,space,6.9125,37,6.5028,,,,,,64,0,2,2,64,1,,
,,,993,580cb179240a2d0001e6b9b3,46,female,2022-11-23_11h51.24.691,onlinegloss,2022.2.3,Win32,59.93766483,,,,,,,,,28,1,space,7.3156,1,4.6279,,,,,,0,0,3,3,0,1,,
,,,993,580cb179240a2d0001e6b9b3,46,female,2022-11-23_11h51.24.691,onlinegloss,2022.2.3,Win32,59.93766483,,,,,,,,,28,1,space,13.4086,20,13.0361,,,,,,54,0,4,4,54,1,,
,,,993,580cb179240a2d0001e6b9b3,46,female,2022-11-23_11h51.24.691,onlinegloss,2022.2.3,Win32,59.93766483,,,,,,,,,28,1,space,4.7987,25,4.586,,,,,,76,0,5,5,76,1,,
,,,993,580cb179240a2d0001e6b9b3,46,female,2022-11-23_11h51.24.691,onlinegloss,2022.2.3,Win32,59.93766483,,,,,,,,,43,1,space,5.7442,14,5.0616,,,,,,25,0,6,6,25,1,,
,,,993,580cb179240a2d0001e6b9b3,46,female,2022-11-23_11h51.24.691,onlinegloss,2022.2.3,Win32,59.93766483,,,,,,,,,30,1,space,5.9121,29,5.552,,,,,,78,0,7,7,78,1,,
,,,993,580cb179240a2d0001e6b9b3,46,female,2022-11-23_11h51.24.691,onlinegloss,2022.2.3,Win32,59.93766483,,,,,,,,,44,1,space,5.4096,49,5.0617,,,,,,47,0,8,8,47,1,,
,,,993,580cb179240a2d0001e6b9b3,46,female,2022-11-23_11h51.24.691,onlinegloss,2022.2.3,Win32,59.93766483,,,,,,,,,41,1,space,7.0626,24,5.6179,,,,,,28,0,9,9,28,1,,
,,,993,580cb179240a2d0001e6b9b3,46,female,2022-11-23_11h51.24.691,onlinegloss,2022.2.3,Win32,59.93766483,,,,,,,,,29,1,space,9.0657,13,8.6855,,,,,,30,0,10,10,30,1,,
,,,993,580cb179240a2d0001e6b9b3,46,female,2022-11-23_11h51.24.691,onlinegloss,2022.2.3,Win32,59.93766483,,,,,,,,,35,1,space,6.7877,4,6.6631,,,,,,51,0,11,11,51,1,,
