button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[3.405600000001499],[3.4057000000029802],681,60d60ba4fd799e149121b85b,35,female,2022-11-22_15h47.05.513,onlinegloss,2022.2.3,Win32,59.48132286,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,681,60d60ba4fd799e149121b85b,35,female,2022-11-22_15h47.05.513,onlinegloss,2022.2.3,Win32,59.48132286,space,3.6117,,,,,,,,,,,,,,,,,,,,,,,,,
,,,681,60d60ba4fd799e149121b85b,35,female,2022-11-22_15h47.05.513,onlinegloss,2022.2.3,Win32,59.48132286,,,42,42.1,,,,,,,,,,,,,,,,,,,,,,,
,,,681,60d60ba4fd799e149121b85b,35,female,2022-11-22_15h47.05.513,onlinegloss,2022.2.3,Win32,59.48132286,,,,,space,16.2257,,,,,,,,,,,,,,,,,,,,,
,,,681,60d60ba4fd799e149121b85b,35,female,2022-11-22_15h47.05.513,onlinegloss,2022.2.3,Win32,59.48132286,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,681,60d60ba4fd799e149121b85b,35,female,2022-11-22_15h47.05.513,onlinegloss,2022.2.3,Win32,59.48132286,,,,,,,space,13.127,,,,,,,,,,,,,,,,,,,
,,,681,60d60ba4fd799e149121b85b,35,female,2022-11-22_15h47.05.513,onlinegloss,2022.2.3,Win32,59.48132286,,,,,,,,,38,34,space,12.7596,23,12.7672,0,0,0,0,1,101,,,,,,,
,,,681,60d60ba4fd799e149121b85b,35,female,2022-11-22_15h47.05.513,onlinegloss,2022.2.3,Win32,59.48132286,,,,,,,,,29,34,space,16.4771,,,0,1,1,1,1,102,,,,,,,
,,,681,60d60ba4fd799e149121b85b,35,female,2022-11-22_15h47.05.513,onlinegloss,2022.2.3,Win32,59.48132286,,,,,,,,,28,34,space,4.6534,1,4.4689,,,,,,28,0,0,0,28,1,,
,,,681,60d60ba4fd799e149121b85b,35,female,2022-11-22_15h47.05.513,onlinegloss,2022.2.3,Win32,59.48132286,,,,,,,,,43,34,space,18.3279,32,18.3123,,,,,,46,0,1,1,46,1,,
,,,681,60d60ba4fd799e149121b85b,35,female,2022-11-22_15h47.05.513,onlinegloss,2022.2.3,Win32,59.48132286,,,,,,,,,27,34,space,12.4337,13,12.401,,,,,,57,0,2,2,57,1,,
,,,681,60d60ba4fd799e149121b85b,35,female,2022-11-22_15h47.05.513,onlinegloss,2022.2.3,Win32,59.48132286,,,,,,,,,28,34,space,24.9562,,,,,,,,72,0,3,3,72,1,,
,,,681,60d60ba4fd799e149121b85b,35,female,2022-11-22_15h47.05.513,onlinegloss,2022.2.3,Win32,59.48132286,,,,,,,,,45,34,space,7.7424,,,,,,,,36,0,4,4,36,1,,
,,,681,60d60ba4fd799e149121b85b,35,female,2022-11-22_15h47.05.513,onlinegloss,2022.2.3,Win32,59.48132286,,,,,,,,,27,34,space,6.7516,23,6.6646,,,,,,59,0,5,5,59,1,,
,,,681,60d60ba4fd799e149121b85b,35,female,2022-11-22_15h47.05.513,onlinegloss,2022.2.3,Win32,59.48132286,,,,,,,,,41,34,space,5.7704,9,5.8002,,,,,,56,0,6,6,56,1,,
,,,681,60d60ba4fd799e149121b85b,35,female,2022-11-22_15h47.05.513,onlinegloss,2022.2.3,Win32,59.48132286,,,,,,,,,50,34,space,9.1361,20,9.121,,,,,,45,0,7,7,45,1,,
,,,681,60d60ba4fd799e149121b85b,35,female,2022-11-22_15h47.05.513,onlinegloss,2022.2.3,Win32,59.48132286,,,,,,,,,42,34,space,3.9391,1,3.3572,,,,,,30,0,8,8,30,1,,
,,,681,60d60ba4fd799e149121b85b,35,female,2022-11-22_15h47.05.513,onlinegloss,2022.2.3,Win32,59.48132286,,,,,,,,,45,34,space,8.5068,8,8.4679,,,,,,38,0,9,9,38,1,,
,,,681,60d60ba4fd799e149121b85b,35,female,2022-11-22_15h47.05.513,onlinegloss,2022.2.3,Win32,59.48132286,,,,,,,,,49,34,space,7.6483,,,,,,,,41,0,10,10,41,1,,
,,,681,60d60ba4fd799e149121b85b,35,female,2022-11-22_15h47.05.513,onlinegloss,2022.2.3,Win32,59.48132286,,,,,,,,,39,34,space,10.339,16,9.9849,,,,,,70,0,11,11,70,1,,
,,,681,60d60ba4fd799e149121b85b,35,female,2022-11-22_15h47.05.513,onlinegloss,2022.2.3,Win32,59.48132286,,,,,,,,,39,34,space,5.3759,27,5.362,,,,,,35,0,12,12,35,1,,
,,,681,60d60ba4fd799e149121b85b,35,female,2022-11-22_15h47.05.513,onlinegloss,2022.2.3,Win32,59.48132286,,,,,,,,,36,34,space,11.9046,10,11.6041,,,,,,19,0,13,13,19,1,,
,,,681,60d60ba4fd799e149121b85b,35,female,2022-11-22_15h47.05.513,onlinegloss,2022.2.3,Win32,59.48132286,,,,,,,,,28,34,space,11.4354,25,11.4012,,,,,,3,0,14,14,3,1,,
,,,681,60d60ba4fd799e149121b85b,35,female,2022-11-22_15h47.05.513,onlinegloss,2022.2.3,Win32,59.48132286,,,,,,,,,37,34,space,6.671,24,6.6384,,,,,,10,0,15,15,10,1,,
,,,681,60d60ba4fd799e149121b85b,35,female,2022-11-22_15h47.05.513,onlinegloss,2022.2.3,Win32,59.48132286,,,,,,,,,27,34,space,5.2675,22,5.2464,,,,,,37,0,16,16,37,1,,
