button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[10.427],[10.427],732,5cf43f9c83416100197cf4a9,21,female,2022-11-22_17h00.49.909,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,732,5cf43f9c83416100197cf4a9,21,female,2022-11-22_17h00.49.909,onlinegloss,2022.2.3,Win32,60.0240096,space,7.052,,,,,,,,,,,,,,,,,,,,,,,,,
,,,732,5cf43f9c83416100197cf4a9,21,female,2022-11-22_17h00.49.909,onlinegloss,2022.2.3,Win32,60.0240096,,,32.2,32.4,,,,,,,,,,,,,,,,,,,,,,,
,,,732,5cf43f9c83416100197cf4a9,21,female,2022-11-22_17h00.49.909,onlinegloss,2022.2.3,Win32,60.0240096,,,,,space,31.534,,,,,,,,,,,,,,,,,,,,,
,,,732,5cf43f9c83416100197cf4a9,21,female,2022-11-22_17h00.49.909,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,732,5cf43f9c83416100197cf4a9,21,female,2022-11-22_17h00.49.909,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,space,36.038,,,,,,,,,,,,,,,,,,,
,,,732,5cf43f9c83416100197cf4a9,21,female,2022-11-22_17h00.49.909,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,51,31,space,9.039,45,6.783,0,0,0,0,1,101,,,,,,,
,,,732,5cf43f9c83416100197cf4a9,21,female,2022-11-22_17h00.49.909,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,36,31,space,6.945,39,6.911,0,1,1,1,1,102,,,,,,,
,,,732,5cf43f9c83416100197cf4a9,21,female,2022-11-22_17h00.49.909,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,44,31,space,6.143,23,5.876,,,,,,39,0,0,0,39,1,,
,,,732,5cf43f9c83416100197cf4a9,21,female,2022-11-22_17h00.49.909,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,50,31,space,3.731,1,2.661,,,,,,71,0,1,1,71,1,,
,,,732,5cf43f9c83416100197cf4a9,21,female,2022-11-22_17h00.49.909,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,33,31,space,2.133,2,1.973,,,,,,34,0,2,2,34,1,,
,,,732,5cf43f9c83416100197cf4a9,21,female,2022-11-22_17h00.49.909,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,49,31,space,5.651,14,5.547,,,,,,60,0,3,3,60,1,,
,,,732,5cf43f9c83416100197cf4a9,21,female,2022-11-22_17h00.49.909,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,43,31,space,7.402,30,7.278,,,,,,26,0,4,4,26,1,,
,,,732,5cf43f9c83416100197cf4a9,21,female,2022-11-22_17h00.49.909,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,50,31,space,7.625,37,7.278,,,,,,63,0,5,5,63,1,,
,,,732,5cf43f9c83416100197cf4a9,21,female,2022-11-22_17h00.49.909,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,37,31,space,5.967,12,5.841,,,,,,82,0,6,6,82,1,,
,,,732,5cf43f9c83416100197cf4a9,21,female,2022-11-22_17h00.49.909,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,33,31,space,3.546,13,3.415,,,,,,10,0,7,7,10,1,,
,,,732,5cf43f9c83416100197cf4a9,21,female,2022-11-22_17h00.49.909,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,28,31,space,3.621,10,3.539,,,,,,7,0,8,8,7,1,,
,,,732,5cf43f9c83416100197cf4a9,21,female,2022-11-22_17h00.49.909,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,30,31,space,2.034,3,1.955,,,,,,17,0,9,9,17,1,,
,,,732,5cf43f9c83416100197cf4a9,21,female,2022-11-22_17h00.49.909,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,33,31,space,1.581,1,1.314,,,,,,30,0,10,10,30,1,,
