button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[2.729799999999816],[2.7299000000003737],530,5e4424826cc9390168adaa56,25,female,2022-11-22_14h45.21.414,onlinegloss,2022.2.3,Win32,59.87665409,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,530,5e4424826cc9390168adaa56,25,female,2022-11-22_14h45.21.414,onlinegloss,2022.2.3,Win32,59.87665409,space,4.795,,,,,,,,,,,,,,,,,,,,,,,,,
,,,530,5e4424826cc9390168adaa56,25,female,2022-11-22_14h45.21.414,onlinegloss,2022.2.3,Win32,59.87665409,,,52.3,52.1,,,,,,,,,,,,,,,,,,,,,,,
,,,530,5e4424826cc9390168adaa56,25,female,2022-11-22_14h45.21.414,onlinegloss,2022.2.3,Win32,59.87665409,,,,,space,12.6888,,,,,,,,,,,,,,,,,,,,,
,,,530,5e4424826cc9390168adaa56,25,female,2022-11-22_14h45.21.414,onlinegloss,2022.2.3,Win32,59.87665409,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,530,5e4424826cc9390168adaa56,25,female,2022-11-22_14h45.21.414,onlinegloss,2022.2.3,Win32,59.87665409,,,,,,,space,11.669,,,,,,,,,,,,,,,,,,,
,,,530,5e4424826cc9390168adaa56,25,female,2022-11-22_14h45.21.414,onlinegloss,2022.2.3,Win32,59.87665409,,,,,,,,,30,45,space,18.6946,28,17.3916,0,0,0,0,1,101,,,,,,,
,,,530,5e4424826cc9390168adaa56,25,female,2022-11-22_14h45.21.414,onlinegloss,2022.2.3,Win32,59.87665409,,,,,,,,,31,45,space,8.9189,23,8.1569,0,1,1,1,1,102,,,,,,,
,,,530,5e4424826cc9390168adaa56,25,female,2022-11-22_14h45.21.414,onlinegloss,2022.2.3,Win32,59.87665409,,,,,,,,,28,45,space,6.3187,3,4.4848,,,,,,3,0,0,0,3,1,,
,,,530,5e4424826cc9390168adaa56,25,female,2022-11-22_14h45.21.414,onlinegloss,2022.2.3,Win32,59.87665409,,,,,,,,,31,45,space,3.8734,24,2.078,,,,,,77,0,1,1,77,1,,
,,,530,5e4424826cc9390168adaa56,25,female,2022-11-22_14h45.21.414,onlinegloss,2022.2.3,Win32,59.87665409,,,,,,,,,40,45,space,7.1277,17,6.6594,,,,,,23,0,2,2,23,1,,
,,,530,5e4424826cc9390168adaa56,25,female,2022-11-22_14h45.21.414,onlinegloss,2022.2.3,Win32,59.87665409,,,,,,,,,30,45,space,5.4026,35,3.7417,,,,,,4,0,3,3,4,1,,
,,,530,5e4424826cc9390168adaa56,25,female,2022-11-22_14h45.21.414,onlinegloss,2022.2.3,Win32,59.87665409,,,,,,,,,32,45,space,5.0296,4,4.5629,,,,,,70,0,4,4,70,1,,
,,,530,5e4424826cc9390168adaa56,25,female,2022-11-22_14h45.21.414,onlinegloss,2022.2.3,Win32,59.87665409,,,,,,,,,38,45,space,5.6449,10,4.2406,,,,,,27,0,5,5,27,1,,
,,,530,5e4424826cc9390168adaa56,25,female,2022-11-22_14h45.21.414,onlinegloss,2022.2.3,Win32,59.87665409,,,,,,,,,43,45,space,5.2259,2,2.6898,,,,,,79,0,6,6,79,1,,
,,,530,5e4424826cc9390168adaa56,25,female,2022-11-22_14h45.21.414,onlinegloss,2022.2.3,Win32,59.87665409,,,,,,,,,27,45,space,6.3727,22,1.7802,,,,,,81,0,7,7,81,1,,
,,,530,5e4424826cc9390168adaa56,25,female,2022-11-22_14h45.21.414,onlinegloss,2022.2.3,Win32,59.87665409,,,,,,,,,35,45,space,9.5184,1,7.8224,,,,,,0,0,8,8,0,1,,
,,,530,5e4424826cc9390168adaa56,25,female,2022-11-22_14h45.21.414,onlinegloss,2022.2.3,Win32,59.87665409,,,,,,,,,39,45,space,5.3973,10,4.079,,,,,,65,0,9,9,65,1,,
,,,530,5e4424826cc9390168adaa56,25,female,2022-11-22_14h45.21.414,onlinegloss,2022.2.3,Win32,59.87665409,,,,,,,,,50,45,space,6.1895,32,2.7001,,,,,,67,0,10,10,67,1,,
,,,530,5e4424826cc9390168adaa56,25,female,2022-11-22_14h45.21.414,onlinegloss,2022.2.3,Win32,59.87665409,,,,,,,,,45,45,space,3.061,20,1.625,,,,,,36,0,11,11,36,1,,
,,,530,5e4424826cc9390168adaa56,25,female,2022-11-22_14h45.21.414,onlinegloss,2022.2.3,Win32,59.87665409,,,,,,,,,51,45,space,3.8155,31,1.8569,,,,,,58,0,12,12,58,1,,
,,,530,5e4424826cc9390168adaa56,25,female,2022-11-22_14h45.21.414,onlinegloss,2022.2.3,Win32,59.87665409,,,,,,,,,28,45,space,5.8746,25,5.5186,,,,,,6,0,13,13,6,1,,
,,,530,5e4424826cc9390168adaa56,25,female,2022-11-22_14h45.21.414,onlinegloss,2022.2.3,Win32,59.87665409,,,,,,,,,44,45,space,3.8519,21,1.3384,,,,,,64,0,14,14,64,1,,
,,,530,5e4424826cc9390168adaa56,25,female,2022-11-22_14h45.21.414,onlinegloss,2022.2.3,Win32,59.87665409,,,,,,,,,36,45,space,7.2971,44,5.1991,,,,,,84,0,15,15,84,1,,
