button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[12.473999999999997],[12.474100000001492],583,610b0dae56012bc2f6e66183,65,male,2022-11-22_14h50.23.223,onlinegloss,2022.2.3,Win32,59.98080614,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,583,610b0dae56012bc2f6e66183,65,male,2022-11-22_14h50.23.223,onlinegloss,2022.2.3,Win32,59.98080614,space,10.3359,,,,,,,,,,,,,,,,,,,,,,,,,
,,,583,610b0dae56012bc2f6e66183,65,male,2022-11-22_14h50.23.223,onlinegloss,2022.2.3,Win32,59.98080614,,,32.3,32.3,,,,,,,,,,,,,,,,,,,,,,,
,,,583,610b0dae56012bc2f6e66183,65,male,2022-11-22_14h50.23.223,onlinegloss,2022.2.3,Win32,59.98080614,,,,,space,11.4715,,,,,,,,,,,,,,,,,,,,,
,,,583,610b0dae56012bc2f6e66183,65,male,2022-11-22_14h50.23.223,onlinegloss,2022.2.3,Win32,59.98080614,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,583,610b0dae56012bc2f6e66183,65,male,2022-11-22_14h50.23.223,onlinegloss,2022.2.3,Win32,59.98080614,,,,,,,space,28.7897,,,,,,,,,,,,,,,,,,,
,,,583,610b0dae56012bc2f6e66183,65,male,2022-11-22_14h50.23.223,onlinegloss,2022.2.3,Win32,59.98080614,,,,,,,,,43,44,space,24.0514,34,19.1702,0,0,0,0,1,101,,,,,,,
,,,583,610b0dae56012bc2f6e66183,65,male,2022-11-22_14h50.23.223,onlinegloss,2022.2.3,Win32,59.98080614,,,,,,,,,35,44,space,15.75,20,13.7463,0,1,1,1,1,102,,,,,,,
,,,583,610b0dae56012bc2f6e66183,65,male,2022-11-22_14h50.23.223,onlinegloss,2022.2.3,Win32,59.98080614,,,,,,,,,46,44,space,13.8554,40,11.6952,,,,,,84,0,0,0,84,1,,
,,,583,610b0dae56012bc2f6e66183,65,male,2022-11-22_14h50.23.223,onlinegloss,2022.2.3,Win32,59.98080614,,,,,,,,,31,44,space,10.3118,14,9.0165,,,,,,63,0,1,1,63,1,,
,,,583,610b0dae56012bc2f6e66183,65,male,2022-11-22_14h50.23.223,onlinegloss,2022.2.3,Win32,59.98080614,,,,,,,,,39,44,space,8.8548,1,6.123,,,,,,66,0,2,2,66,1,,
,,,583,610b0dae56012bc2f6e66183,65,male,2022-11-22_14h50.23.223,onlinegloss,2022.2.3,Win32,59.98080614,,,,,,,,,29,44,space,12.472,5,12.0854,,,,,,70,0,3,3,70,1,,
,,,583,610b0dae56012bc2f6e66183,65,male,2022-11-22_14h50.23.223,onlinegloss,2022.2.3,Win32,59.98080614,,,,,,,,,46,44,space,8.8722,4,7.9346,,,,,,55,0,4,4,55,1,,
,,,583,610b0dae56012bc2f6e66183,65,male,2022-11-22_14h50.23.223,onlinegloss,2022.2.3,Win32,59.98080614,,,,,,,,,27,44,space,8.9526,13,8.2537,,,,,,43,0,5,5,43,1,,
,,,583,610b0dae56012bc2f6e66183,65,male,2022-11-22_14h50.23.223,onlinegloss,2022.2.3,Win32,59.98080614,,,,,,,,,41,44,space,8.1289,3,7.31,,,,,,37,0,6,6,37,1,,
,,,583,610b0dae56012bc2f6e66183,65,male,2022-11-22_14h50.23.223,onlinegloss,2022.2.3,Win32,59.98080614,,,,,,,,,43,44,space,6.664,6,6.3195,,,,,,57,0,7,7,57,1,,
,,,583,610b0dae56012bc2f6e66183,65,male,2022-11-22_14h50.23.223,onlinegloss,2022.2.3,Win32,59.98080614,,,,,,,,,26,44,space,5.15,1,4.1474,,,,,,5,0,8,8,5,1,,
,,,583,610b0dae56012bc2f6e66183,65,male,2022-11-22_14h50.23.223,onlinegloss,2022.2.3,Win32,59.98080614,,,,,,,,,33,44,space,17.1992,36,16.7345,,,,,,68,0,9,9,68,1,,
,,,583,610b0dae56012bc2f6e66183,65,male,2022-11-22_14h50.23.223,onlinegloss,2022.2.3,Win32,59.98080614,,,,,,,,,37,44,space,8.5613,7,8.0068,,,,,,71,0,10,10,71,1,,
,,,583,610b0dae56012bc2f6e66183,65,male,2022-11-22_14h50.23.223,onlinegloss,2022.2.3,Win32,59.98080614,,,,,,,,,49,44,space,6.2735,12,5.3691,,,,,,18,0,11,11,18,1,,
,,,583,610b0dae56012bc2f6e66183,65,male,2022-11-22_14h50.23.223,onlinegloss,2022.2.3,Win32,59.98080614,,,,,,,,,50,44,space,6.2553,3,5.8734,,,,,,75,0,12,12,75,1,,
,,,583,610b0dae56012bc2f6e66183,65,male,2022-11-22_14h50.23.223,onlinegloss,2022.2.3,Win32,59.98080614,,,,,,,,,29,44,space,6.556,11,6.1718,,,,,,42,0,13,13,42,1,,
,,,583,610b0dae56012bc2f6e66183,65,male,2022-11-22_14h50.23.223,onlinegloss,2022.2.3,Win32,59.98080614,,,,,,,,,28,44,space,7.3503,13,6.8413,,,,,,60,0,14,14,60,1,,
,,,583,610b0dae56012bc2f6e66183,65,male,2022-11-22_14h50.23.223,onlinegloss,2022.2.3,Win32,59.98080614,,,,,,,,,45,44,space,6.2705,8,5.0939,,,,,,24,0,15,15,24,1,,
,,,583,610b0dae56012bc2f6e66183,65,male,2022-11-22_14h50.23.223,onlinegloss,2022.2.3,Win32,59.98080614,,,,,,,,,38,44,space,7.7053,18,7.4053,,,,,,27,0,16,16,27,1,,
,,,583,610b0dae56012bc2f6e66183,65,male,2022-11-22_14h50.23.223,onlinegloss,2022.2.3,Win32,59.98080614,,,,,,,,,30,44,space,8.2958,33,7.4433,,,,,,44,0,17,17,44,1,,
,,,583,610b0dae56012bc2f6e66183,65,male,2022-11-22_14h50.23.223,onlinegloss,2022.2.3,Win32,59.98080614,,,,,,,,,37,44,space,6.0218,7,5.5016,,,,,,12,0,18,18,12,1,,
,,,583,610b0dae56012bc2f6e66183,65,male,2022-11-22_14h50.23.223,onlinegloss,2022.2.3,Win32,59.98080614,,,,,,,,,50,44,space,5.4759,4,4.6116,,,,,,13,0,19,19,13,1,,
,,,583,610b0dae56012bc2f6e66183,65,male,2022-11-22_14h50.23.223,onlinegloss,2022.2.3,Win32,59.98080614,,,,,,,,,34,44,space,6.8556,12,6.2151,,,,,,9,0,20,20,9,1,,
,,,583,610b0dae56012bc2f6e66183,65,male,2022-11-22_14h50.23.223,onlinegloss,2022.2.3,Win32,59.98080614,,,,,,,,,46,44,space,8.3052,44,7.2427,,,,,,35,0,21,21,35,1,,
,,,583,610b0dae56012bc2f6e66183,65,male,2022-11-22_14h50.23.223,onlinegloss,2022.2.3,Win32,59.98080614,,,,,,,,,48,44,space,7.0515,6,6.6854,,,,,,4,0,22,22,4,1,,
,,,583,610b0dae56012bc2f6e66183,65,male,2022-11-22_14h50.23.223,onlinegloss,2022.2.3,Win32,59.98080614,,,,,,,,,52,44,space,7.6436,4,7.3091,,,,,,16,0,23,23,16,1,,
,,,583,610b0dae56012bc2f6e66183,65,male,2022-11-22_14h50.23.223,onlinegloss,2022.2.3,Win32,59.98080614,,,,,,,,,39,44,space,9.2418,52,7.9019,,,,,,7,0,24,24,7,1,,
,,,583,610b0dae56012bc2f6e66183,65,male,2022-11-22_14h50.23.223,onlinegloss,2022.2.3,Win32,59.98080614,,,,,,,,,43,44,space,6.522,9,5.8936,,,,,,65,0,25,25,65,1,,
,,,583,610b0dae56012bc2f6e66183,65,male,2022-11-22_14h50.23.223,onlinegloss,2022.2.3,Win32,59.98080614,,,,,,,,,35,44,space,7.4896,13,5.2226,,,,,,61,0,26,26,61,1,,
,,,583,610b0dae56012bc2f6e66183,65,male,2022-11-22_14h50.23.223,onlinegloss,2022.2.3,Win32,59.98080614,,,,,,,,,36,44,space,7.641,35,6.2016,,,,,,82,0,27,27,82,1,,
,,,583,610b0dae56012bc2f6e66183,65,male,2022-11-22_14h50.23.223,onlinegloss,2022.2.3,Win32,59.98080614,,,,,,,,,46,44,space,4.9407,11,4.5585,,,,,,10,0,28,28,10,1,,
,,,583,610b0dae56012bc2f6e66183,65,male,2022-11-22_14h50.23.223,onlinegloss,2022.2.3,Win32,59.98080614,,,,,,,,,50,44,space,10.1884,50,8.1435,,,,,,78,0,29,29,78,1,,
,,,583,610b0dae56012bc2f6e66183,65,male,2022-11-22_14h50.23.223,onlinegloss,2022.2.3,Win32,59.98080614,,,,,,,,,28,44,space,6.5828,11,6.2187,,,,,,39,0,30,30,39,1,,
,,,583,610b0dae56012bc2f6e66183,65,male,2022-11-22_14h50.23.223,onlinegloss,2022.2.3,Win32,59.98080614,,,,,,,,,43,44,space,5.2234,10,4.9298,,,,,,47,0,31,31,47,1,,
,,,583,610b0dae56012bc2f6e66183,65,male,2022-11-22_14h50.23.223,onlinegloss,2022.2.3,Win32,59.98080614,,,,,,,,,37,44,space,6.124,22,5.0949,,,,,,30,0,32,32,30,1,,
,,,583,610b0dae56012bc2f6e66183,65,male,2022-11-22_14h50.23.223,onlinegloss,2022.2.3,Win32,59.98080614,,,,,,,,,38,44,space,8.0781,48,7.852,,,,,,33,0,33,33,33,1,,
,,,583,610b0dae56012bc2f6e66183,65,male,2022-11-22_14h50.23.223,onlinegloss,2022.2.3,Win32,59.98080614,,,,,,,,,28,44,space,8.2503,32,7.9557,,,,,,73,0,34,34,73,1,,
