button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[4.1988000000715235],[4.199],171,5d47d892c7f2bb0016592a12,25,female,2022-11-22_09h24.16.008,onlinegloss,2022.2.3,Win32,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,171,5d47d892c7f2bb0016592a12,25,female,2022-11-22_09h24.16.008,onlinegloss,2022.2.3,Win32,60.04202942,space,4.4453,,,,,,,,,,,,,,,,,,,,,,,,,
,,,171,5d47d892c7f2bb0016592a12,25,female,2022-11-22_09h24.16.008,onlinegloss,2022.2.3,Win32,60.04202942,,,45.2,44.3,,,,,,,,,,,,,,,,,,,,,,,
,,,171,5d47d892c7f2bb0016592a12,25,female,2022-11-22_09h24.16.008,onlinegloss,2022.2.3,Win32,60.04202942,,,,,space,4.7298,,,,,,,,,,,,,,,,,,,,,
,,,171,5d47d892c7f2bb0016592a12,25,female,2022-11-22_09h24.16.008,onlinegloss,2022.2.3,Win32,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,171,5d47d892c7f2bb0016592a12,25,female,2022-11-22_09h24.16.008,onlinegloss,2022.2.3,Win32,60.04202942,,,,,,,space,7.0913,,,,,,,,,,,,,,,,,,,
,,,171,5d47d892c7f2bb0016592a12,25,female,2022-11-22_09h24.16.008,onlinegloss,2022.2.3,Win32,60.04202942,,,,,,,,,35,10,space,4.0959,,,0,0,0,0,1,101,,,,,,,
,,,171,5d47d892c7f2bb0016592a12,25,female,2022-11-22_09h24.16.008,onlinegloss,2022.2.3,Win32,60.04202942,,,,,,,,,40,10,space,13.1107,,,0,1,1,1,1,102,,,,,,,
,,,171,5d47d892c7f2bb0016592a12,25,female,2022-11-22_09h24.16.008,onlinegloss,2022.2.3,Win32,60.04202942,,,,,,,,,47,10,space,6.0138,,,,,,,,27,0,0,0,27,1,,
,,,171,5d47d892c7f2bb0016592a12,25,female,2022-11-22_09h24.16.008,onlinegloss,2022.2.3,Win32,60.04202942,,,,,,,,,30,10,space,4.9739,,,,,,,,70,0,1,1,70,1,,
,,,171,5d47d892c7f2bb0016592a12,25,female,2022-11-22_09h24.16.008,onlinegloss,2022.2.3,Win32,60.04202942,,,,,,,,,37,10,space,6.746,,,,,,,,19,0,2,2,19,1,,
,,,171,5d47d892c7f2bb0016592a12,25,female,2022-11-22_09h24.16.008,onlinegloss,2022.2.3,Win32,60.04202942,,,,,,,,,27,10,space,5.591,,,,,,,,47,0,3,3,47,1,,
,,,171,5d47d892c7f2bb0016592a12,25,female,2022-11-22_09h24.16.008,onlinegloss,2022.2.3,Win32,60.04202942,,,,,,,,,51,10,space,9.6199,,,,,,,,12,0,4,4,12,1,,
,,,171,5d47d892c7f2bb0016592a12,25,female,2022-11-22_09h24.16.008,onlinegloss,2022.2.3,Win32,60.04202942,,,,,,,,,31,10,space,2.5973,,,,,,,,46,0,5,5,46,1,,
,,,171,5d47d892c7f2bb0016592a12,25,female,2022-11-22_09h24.16.008,onlinegloss,2022.2.3,Win32,60.04202942,,,,,,,,,45,10,space,2.6913,,,,,,,,51,0,6,6,51,1,,
