button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[4.536399999998515],[4.536500000000004],693,5cc82b9ea8367900164d8775,46,female ,2022-11-22_16h51.17.142,onlinegloss,2022.2.3,Win32,59.84798612,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,693,5cc82b9ea8367900164d8775,46,female ,2022-11-22_16h51.17.142,onlinegloss,2022.2.3,Win32,59.84798612,space,8.4285,,,,,,,,,,,,,,,,,,,,,,,,,
,,,693,5cc82b9ea8367900164d8775,46,female ,2022-11-22_16h51.17.142,onlinegloss,2022.2.3,Win32,59.84798612,,,42.8,38.1,,,,,,,,,,,,,,,,,,,,,,,
,,,693,5cc82b9ea8367900164d8775,46,female ,2022-11-22_16h51.17.142,onlinegloss,2022.2.3,Win32,59.84798612,,,,,space,9.2566,,,,,,,,,,,,,,,,,,,,,
,,,693,5cc82b9ea8367900164d8775,46,female ,2022-11-22_16h51.17.142,onlinegloss,2022.2.3,Win32,59.84798612,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,693,5cc82b9ea8367900164d8775,46,female ,2022-11-22_16h51.17.142,onlinegloss,2022.2.3,Win32,59.84798612,,,,,,,space,8.6574,,,,,,,,,,,,,,,,,,,
,,,693,5cc82b9ea8367900164d8775,46,female ,2022-11-22_16h51.17.142,onlinegloss,2022.2.3,Win32,59.84798612,,,,,,,,,44,46,space,16.3053,23,15.1397,0,0,0,0,1,101,,,,,,,
,,,693,5cc82b9ea8367900164d8775,46,female ,2022-11-22_16h51.17.142,onlinegloss,2022.2.3,Win32,59.84798612,,,,,,,,,36,46,space,5.16,26,3.3933,0,1,1,1,1,102,,,,,,,
,,,693,5cc82b9ea8367900164d8775,46,female ,2022-11-22_16h51.17.142,onlinegloss,2022.2.3,Win32,59.84798612,,,,,,,,,28,46,space,3.6093,14,2.5581,,,,,,59,0,0,0,59,1,,
,,,693,5cc82b9ea8367900164d8775,46,female ,2022-11-22_16h51.17.142,onlinegloss,2022.2.3,Win32,59.84798612,,,,,,,,,40,46,space,7.6453,42,7.4492,,,,,,33,0,1,1,33,1,,
,,,693,5cc82b9ea8367900164d8775,46,female ,2022-11-22_16h51.17.142,onlinegloss,2022.2.3,Win32,59.84798612,,,,,,,,,39,46,space,3.4853,14,2.9191,,,,,,78,0,2,2,78,1,,
,,,693,5cc82b9ea8367900164d8775,46,female ,2022-11-22_16h51.17.142,onlinegloss,2022.2.3,Win32,59.84798612,,,,,,,,,43,46,space,5.8905,44,4.854,,,,,,26,0,3,3,26,1,,
,,,693,5cc82b9ea8367900164d8775,46,female ,2022-11-22_16h51.17.142,onlinegloss,2022.2.3,Win32,59.84798612,,,,,,,,,38,46,space,4.3229,37,2.6854,,,,,,21,0,4,4,21,1,,
,,,693,5cc82b9ea8367900164d8775,46,female ,2022-11-22_16h51.17.142,onlinegloss,2022.2.3,Win32,59.84798612,,,,,,,,,39,46,space,4.7596,43,3.8684,,,,,,55,0,5,5,55,1,,
,,,693,5cc82b9ea8367900164d8775,46,female ,2022-11-22_16h51.17.142,onlinegloss,2022.2.3,Win32,59.84798612,,,,,,,,,52,46,space,3.7253,10,3.3256,,,,,,54,0,6,6,54,1,,
,,,693,5cc82b9ea8367900164d8775,46,female ,2022-11-22_16h51.17.142,onlinegloss,2022.2.3,Win32,59.84798612,,,,,,,,,47,46,space,2.5408,8,2.1795,,,,,,64,0,7,7,64,1,,
,,,693,5cc82b9ea8367900164d8775,46,female ,2022-11-22_16h51.17.142,onlinegloss,2022.2.3,Win32,59.84798612,,,,,,,,,32,46,space,4.5211,3,4.1015,,,,,,60,0,8,8,60,1,,
,,,693,5cc82b9ea8367900164d8775,46,female ,2022-11-22_16h51.17.142,onlinegloss,2022.2.3,Win32,59.84798612,,,,,,,,,40,46,space,2.7684,2,2.4359,,,,,,5,0,9,9,5,1,,
,,,693,5cc82b9ea8367900164d8775,46,female ,2022-11-22_16h51.17.142,onlinegloss,2022.2.3,Win32,59.84798612,,,,,,,,,45,46,space,3.918,3,2.8333,,,,,,51,0,10,10,51,1,,
,,,693,5cc82b9ea8367900164d8775,46,female ,2022-11-22_16h51.17.142,onlinegloss,2022.2.3,Win32,59.84798612,,,,,,,,,50,46,space,5.7406,32,4.8834,,,,,,22,0,11,11,22,1,,
,,,693,5cc82b9ea8367900164d8775,46,female ,2022-11-22_16h51.17.142,onlinegloss,2022.2.3,Win32,59.84798612,,,,,,,,,36,46,space,3.7619,18,3.4838,,,,,,17,0,12,12,17,1,,
,,,693,5cc82b9ea8367900164d8775,46,female ,2022-11-22_16h51.17.142,onlinegloss,2022.2.3,Win32,59.84798612,,,,,,,,,48,46,space,3.5475,33,3.3496,,,,,,3,0,13,13,3,1,,
,,,693,5cc82b9ea8367900164d8775,46,female ,2022-11-22_16h51.17.142,onlinegloss,2022.2.3,Win32,59.84798612,,,,,,,,,48,46,space,3.0523,12,2.653,,,,,,41,0,14,14,41,1,,
,,,693,5cc82b9ea8367900164d8775,46,female ,2022-11-22_16h51.17.142,onlinegloss,2022.2.3,Win32,59.84798612,,,,,,,,,29,46,space,3.1885,13,3.0181,,,,,,40,0,15,15,40,1,,
,,,693,5cc82b9ea8367900164d8775,46,female ,2022-11-22_16h51.17.142,onlinegloss,2022.2.3,Win32,59.84798612,,,,,,,,,37,46,space,3.2245,3,2.979,,,,,,39,0,16,16,39,1,,
,,,693,5cc82b9ea8367900164d8775,46,female ,2022-11-22_16h51.17.142,onlinegloss,2022.2.3,Win32,59.84798612,,,,,,,,,29,46,space,2.6391,1,2.1471,,,,,,57,0,17,17,57,1,,
,,,693,5cc82b9ea8367900164d8775,46,female ,2022-11-22_16h51.17.142,onlinegloss,2022.2.3,Win32,59.84798612,,,,,,,,,49,46,space,3.5244,1,2.0176,,,,,,69,0,18,18,69,1,,
,,,693,5cc82b9ea8367900164d8775,46,female ,2022-11-22_16h51.17.142,onlinegloss,2022.2.3,Win32,59.84798612,,,,,,,,,45,46,space,5.296,18,4.9959,,,,,,80,0,19,19,80,1,,
,,,693,5cc82b9ea8367900164d8775,46,female ,2022-11-22_16h51.17.142,onlinegloss,2022.2.3,Win32,59.84798612,,,,,,,,,42,46,space,6.155,2,3.3063,,,,,,25,0,20,20,25,1,,
,,,693,5cc82b9ea8367900164d8775,46,female ,2022-11-22_16h51.17.142,onlinegloss,2022.2.3,Win32,59.84798612,,,,,,,,,29,46,space,3.7266,2,2.8383,,,,,,56,0,21,21,56,1,,
,,,693,5cc82b9ea8367900164d8775,46,female ,2022-11-22_16h51.17.142,onlinegloss,2022.2.3,Win32,59.84798612,,,,,,,,,51,46,space,9.7678,28,9.1271,,,,,,28,0,22,22,28,1,,
,,,693,5cc82b9ea8367900164d8775,46,female ,2022-11-22_16h51.17.142,onlinegloss,2022.2.3,Win32,59.84798612,,,,,,,,,45,46,space,2.8273,19,2.5349,,,,,,76,0,23,23,76,1,,
,,,693,5cc82b9ea8367900164d8775,46,female ,2022-11-22_16h51.17.142,onlinegloss,2022.2.3,Win32,59.84798612,,,,,,,,,44,46,space,2.8073,4,2.6512,,,,,,67,0,24,24,67,1,,
,,,693,5cc82b9ea8367900164d8775,46,female ,2022-11-22_16h51.17.142,onlinegloss,2022.2.3,Win32,59.84798612,,,,,,,,,48,46,space,2.6209,2,2.5171,,,,,,79,0,25,25,79,1,,
,,,693,5cc82b9ea8367900164d8775,46,female ,2022-11-22_16h51.17.142,onlinegloss,2022.2.3,Win32,59.84798612,,,,,,,,,42,46,space,6.6119,28,6.1498,,,,,,77,0,26,26,77,1,,
,,,693,5cc82b9ea8367900164d8775,46,female ,2022-11-22_16h51.17.142,onlinegloss,2022.2.3,Win32,59.84798612,,,,,,,,,39,46,space,2.6926,2,2.5078,,,,,,20,0,27,27,20,1,,
,,,693,5cc82b9ea8367900164d8775,46,female ,2022-11-22_16h51.17.142,onlinegloss,2022.2.3,Win32,59.84798612,,,,,,,,,49,46,space,4.2745,31,4.008,,,,,,29,0,28,28,29,1,,
,,,693,5cc82b9ea8367900164d8775,46,female ,2022-11-22_16h51.17.142,onlinegloss,2022.2.3,Win32,59.84798612,,,,,,,,,50,46,space,3.6661,20,3.5128,,,,,,53,0,29,29,53,1,,
,,,693,5cc82b9ea8367900164d8775,46,female ,2022-11-22_16h51.17.142,onlinegloss,2022.2.3,Win32,59.84798612,,,,,,,,,30,46,space,3.5055,45,2.4095,,,,,,38,0,30,30,38,1,,
,,,693,5cc82b9ea8367900164d8775,46,female ,2022-11-22_16h51.17.142,onlinegloss,2022.2.3,Win32,59.84798612,,,,,,,,,28,46,space,3.2883,35,3.1687,,,,,,81,0,31,31,81,1,,
,,,693,5cc82b9ea8367900164d8775,46,female ,2022-11-22_16h51.17.142,onlinegloss,2022.2.3,Win32,59.84798612,,,,,,,,,50,46,space,2.8253,2,2.6022,,,,,,14,0,32,32,14,1,,
,,,693,5cc82b9ea8367900164d8775,46,female ,2022-11-22_16h51.17.142,onlinegloss,2022.2.3,Win32,59.84798612,,,,,,,,,43,46,space,6.0708,47,4.6004,,,,,,74,0,33,33,74,1,,
,,,693,5cc82b9ea8367900164d8775,46,female ,2022-11-22_16h51.17.142,onlinegloss,2022.2.3,Win32,59.84798612,,,,,,,,,35,46,space,3.3569,26,3.1653,,,,,,2,0,34,34,2,1,,
,,,693,5cc82b9ea8367900164d8775,46,female ,2022-11-22_16h51.17.142,onlinegloss,2022.2.3,Win32,59.84798612,,,,,,,,,43,46,space,2.8492,1,2.6843,,,,,,30,0,35,35,30,1,,
,,,693,5cc82b9ea8367900164d8775,46,female ,2022-11-22_16h51.17.142,onlinegloss,2022.2.3,Win32,59.84798612,,,,,,,,,27,46,space,3.6501,14,3.3698,,,,,,45,0,36,36,45,1,,
,,,693,5cc82b9ea8367900164d8775,46,female ,2022-11-22_16h51.17.142,onlinegloss,2022.2.3,Win32,59.84798612,,,,,,,,,32,46,space,2.8192,1,2.6828,,,,,,18,0,37,37,18,1,,
