button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[5.176700000047685],[5.176700000047685],981,571f543bf6d15a0013df11e1,39,female,2022-11-23_11h42.22.501,onlinegloss,2022.2.3,Win32,60.67592986,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,981,571f543bf6d15a0013df11e1,39,female,2022-11-23_11h42.22.501,onlinegloss,2022.2.3,Win32,60.67592986,space,4.5484,,,,,,,,,,,,,,,,,,,,,,,,,
,,,981,571f543bf6d15a0013df11e1,39,female,2022-11-23_11h42.22.501,onlinegloss,2022.2.3,Win32,60.67592986,,,37.6,37,,,,,,,,,,,,,,,,,,,,,,,
,,,981,571f543bf6d15a0013df11e1,39,female,2022-11-23_11h42.22.501,onlinegloss,2022.2.3,Win32,60.67592986,,,,,space,6.7154,,,,,,,,,,,,,,,,,,,,,
,,,981,571f543bf6d15a0013df11e1,39,female,2022-11-23_11h42.22.501,onlinegloss,2022.2.3,Win32,60.67592986,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,981,571f543bf6d15a0013df11e1,39,female,2022-11-23_11h42.22.501,onlinegloss,2022.2.3,Win32,60.67592986,,,,,,,space,2.5494,,,,,,,,,,,,,,,,,,,
,,,981,571f543bf6d15a0013df11e1,39,female,2022-11-23_11h42.22.501,onlinegloss,2022.2.3,Win32,60.67592986,,,,,,,,,40,1,space,10.1239,31,9.3939,0,0,0,0,1,101,,,,,,,
,,,981,571f543bf6d15a0013df11e1,39,female,2022-11-23_11h42.22.501,onlinegloss,2022.2.3,Win32,60.67592986,,,,,,,,,42,1,space,6.5294,19,6.1137,0,1,1,1,1,102,,,,,,,
,,,981,571f543bf6d15a0013df11e1,39,female,2022-11-23_11h42.22.501,onlinegloss,2022.2.3,Win32,60.67592986,,,,,,,,,44,1,space,5.2627,15,4.928,,,,,,72,0,0,0,72,1,,
,,,981,571f543bf6d15a0013df11e1,39,female,2022-11-23_11h42.22.501,onlinegloss,2022.2.3,Win32,60.67592986,,,,,,,,,27,1,space,5.6964,30,5.2972,,,,,,71,0,1,1,71,1,,
,,,981,571f543bf6d15a0013df11e1,39,female,2022-11-23_11h42.22.501,onlinegloss,2022.2.3,Win32,60.67592986,,,,,,,,,29,1,space,6.1161,11,5.6465,,,,,,29,0,2,2,29,1,,
,,,981,571f543bf6d15a0013df11e1,39,female,2022-11-23_11h42.22.501,onlinegloss,2022.2.3,Win32,60.67592986,,,,,,,,,37,1,space,2.6297,1,2.1461,,,,,,21,0,3,3,21,1,,
