button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[10.424],[10.424099999999626],874,60d27de8b03d467527851135,41,female,2022-11-22_17h14.45.638,onlinegloss,2022.2.3,Linux x86_64,60.04924038,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,874,60d27de8b03d467527851135,41,female,2022-11-22_17h14.45.638,onlinegloss,2022.2.3,Linux x86_64,60.04924038,space,3.2894,,,,,,,,,,,,,,,,,,,,,,,,,
,,,874,60d27de8b03d467527851135,41,female,2022-11-22_17h14.45.638,onlinegloss,2022.2.3,Linux x86_64,60.04924038,,,52.4,49.8,,,,,,,,,,,,,,,,,,,,,,,
,,,874,60d27de8b03d467527851135,41,female,2022-11-22_17h14.45.638,onlinegloss,2022.2.3,Linux x86_64,60.04924038,,,,,space,9.6409,,,,,,,,,,,,,,,,,,,,,
,,,874,60d27de8b03d467527851135,41,female,2022-11-22_17h14.45.638,onlinegloss,2022.2.3,Linux x86_64,60.04924038,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,874,60d27de8b03d467527851135,41,female,2022-11-22_17h14.45.638,onlinegloss,2022.2.3,Linux x86_64,60.04924038,,,,,,,space,18.0139,,,,,,,,,,,,,,,,,,,
,,,874,60d27de8b03d467527851135,41,female,2022-11-22_17h14.45.638,onlinegloss,2022.2.3,Linux x86_64,60.04924038,,,,,,,,,38,11,space,60.3177,47,59.046,0,0,0,0,1,101,,,,,,,
,,,874,60d27de8b03d467527851135,41,female,2022-11-22_17h14.45.638,onlinegloss,2022.2.3,Linux x86_64,60.04924038,,,,,,,,,27,11,space,17.5018,52,13.2982,0,1,1,1,1,102,,,,,,,
,,,874,60d27de8b03d467527851135,41,female,2022-11-22_17h14.45.638,onlinegloss,2022.2.3,Linux x86_64,60.04924038,,,,,,,,,27,11,space,67.5396,39,66.1079,,,,,,13,0,0,0,13,1,,
,,,874,60d27de8b03d467527851135,41,female,2022-11-22_17h14.45.638,onlinegloss,2022.2.3,Linux x86_64,60.04924038,,,,,,,,,27,11,space,30.7888,10,28.528,,,,,,61,0,1,1,61,1,,
,,,874,60d27de8b03d467527851135,41,female,2022-11-22_17h14.45.638,onlinegloss,2022.2.3,Linux x86_64,60.04924038,,,,,,,,,34,11,space,12.3796,20,9.6327,,,,,,24,0,2,2,24,1,,
,,,874,60d27de8b03d467527851135,41,female,2022-11-22_17h14.45.638,onlinegloss,2022.2.3,Linux x86_64,60.04924038,,,,,,,,,49,11,space,25.3065,23,19.978,,,,,,17,0,3,3,17,1,,
,,,874,60d27de8b03d467527851135,41,female,2022-11-22_17h14.45.638,onlinegloss,2022.2.3,Linux x86_64,60.04924038,,,,,,,,,51,11,space,11.8552,14,9.9654,,,,,,3,0,4,4,3,1,,
,,,874,60d27de8b03d467527851135,41,female,2022-11-22_17h14.45.638,onlinegloss,2022.2.3,Linux x86_64,60.04924038,,,,,,,,,52,11,space,4.8059,7,3.1174,,,,,,15,0,5,5,15,1,,
,,,874,60d27de8b03d467527851135,41,female,2022-11-22_17h14.45.638,onlinegloss,2022.2.3,Linux x86_64,60.04924038,,,,,,,,,47,11,space,9.413,16,8.0014,,,,,,22,0,6,6,22,1,,
,,,874,60d27de8b03d467527851135,41,female,2022-11-22_17h14.45.638,onlinegloss,2022.2.3,Linux x86_64,60.04924038,,,,,,,,,45,11,space,27.0072,16,25.6818,,,,,,65,0,7,7,65,1,,
,,,874,60d27de8b03d467527851135,41,female,2022-11-22_17h14.45.638,onlinegloss,2022.2.3,Linux x86_64,60.04924038,,,,,,,,,45,11,space,43.146,6,41.0579,,,,,,28,0,8,8,28,1,,
,,,874,60d27de8b03d467527851135,41,female,2022-11-22_17h14.45.638,onlinegloss,2022.2.3,Linux x86_64,60.04924038,,,,,,,,,50,11,space,15.5912,28,13.6963,,,,,,48,0,9,9,48,1,,
,,,874,60d27de8b03d467527851135,41,female,2022-11-22_17h14.45.638,onlinegloss,2022.2.3,Linux x86_64,60.04924038,,,,,,,,,36,11,space,23.8542,11,22.8056,,,,,,45,0,10,10,45,1,,
,,,874,60d27de8b03d467527851135,41,female,2022-11-22_17h14.45.638,onlinegloss,2022.2.3,Linux x86_64,60.04924038,,,,,,,,,52,11,space,8.2474,12,7.0509,,,,,,14,0,11,11,14,1,,
,,,874,60d27de8b03d467527851135,41,female,2022-11-22_17h14.45.638,onlinegloss,2022.2.3,Linux x86_64,60.04924038,,,,,,,,,28,11,space,86.7049,40,85.4445,,,,,,74,0,12,12,74,1,,
,,,874,60d27de8b03d467527851135,41,female,2022-11-22_17h14.45.638,onlinegloss,2022.2.3,Linux x86_64,60.04924038,,,,,,,,,31,11,space,5.8035,7,4.4475,,,,,,67,0,13,13,67,1,,
,,,874,60d27de8b03d467527851135,41,female,2022-11-22_17h14.45.638,onlinegloss,2022.2.3,Linux x86_64,60.04924038,,,,,,,,,51,11,space,4.0052,2,2.1054,,,,,,6,0,14,14,6,1,,
,,,874,60d27de8b03d467527851135,41,female,2022-11-22_17h14.45.638,onlinegloss,2022.2.3,Linux x86_64,60.04924038,,,,,,,,,31,11,space,4.2151,4,1.9328,,,,,,49,0,15,15,49,1,,
,,,874,60d27de8b03d467527851135,41,female,2022-11-22_17h14.45.638,onlinegloss,2022.2.3,Linux x86_64,60.04924038,,,,,,,,,38,11,space,69.2045,23,67.7633,,,,,,43,0,16,16,43,1,,
,,,874,60d27de8b03d467527851135,41,female,2022-11-22_17h14.45.638,onlinegloss,2022.2.3,Linux x86_64,60.04924038,,,,,,,,,32,11,space,4.8639,3,2.9826,,,,,,54,0,17,17,54,1,,
,,,874,60d27de8b03d467527851135,41,female,2022-11-22_17h14.45.638,onlinegloss,2022.2.3,Linux x86_64,60.04924038,,,,,,,,,49,11,space,5.4843,5,4.1016,,,,,,79,0,18,18,79,1,,
,,,874,60d27de8b03d467527851135,41,female,2022-11-22_17h14.45.638,onlinegloss,2022.2.3,Linux x86_64,60.04924038,,,,,,,,,38,11,space,29.5222,10,28.5811,,,,,,4,0,19,19,4,1,,
,,,874,60d27de8b03d467527851135,41,female,2022-11-22_17h14.45.638,onlinegloss,2022.2.3,Linux x86_64,60.04924038,,,,,,,,,34,11,space,6.8632,7,5.3525,,,,,,19,0,20,20,19,1,,
,,,874,60d27de8b03d467527851135,41,female,2022-11-22_17h14.45.638,onlinegloss,2022.2.3,Linux x86_64,60.04924038,,,,,,,,,51,11,space,21.0501,5,19.5726,,,,,,55,0,21,21,55,1,,
,,,874,60d27de8b03d467527851135,41,female,2022-11-22_17h14.45.638,onlinegloss,2022.2.3,Linux x86_64,60.04924038,,,,,,,,,44,11,space,46.1182,7,42.4538,,,,,,23,0,22,22,23,1,,
,,,874,60d27de8b03d467527851135,41,female,2022-11-22_17h14.45.638,onlinegloss,2022.2.3,Linux x86_64,60.04924038,,,,,,,,,28,11,space,30.2772,9,22.0503,,,,,,68,0,23,23,68,1,,
