button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[10.038099999904635],[10.038200000047684],366,63233b54189cfd8fcd55478a,25,female,2022-11-22_09h39.35.268,onlinegloss,2022.2.3,Win32,60.47777442,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,366,63233b54189cfd8fcd55478a,25,female,2022-11-22_09h39.35.268,onlinegloss,2022.2.3,Win32,60.47777442,space,5.8,,,,,,,,,,,,,,,,,,,,,,,,,
,,,366,63233b54189cfd8fcd55478a,25,female,2022-11-22_09h39.35.268,onlinegloss,2022.2.3,Win32,60.47777442,,,55.2,49.3,,,,,,,,,,,,,,,,,,,,,,,
,,,366,63233b54189cfd8fcd55478a,25,female,2022-11-22_09h39.35.268,onlinegloss,2022.2.3,Win32,60.47777442,,,,,space,7.9585,,,,,,,,,,,,,,,,,,,,,
,,,366,63233b54189cfd8fcd55478a,25,female,2022-11-22_09h39.35.268,onlinegloss,2022.2.3,Win32,60.47777442,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,366,63233b54189cfd8fcd55478a,25,female,2022-11-22_09h39.35.268,onlinegloss,2022.2.3,Win32,60.47777442,,,,,,,space,13.1605,,,,,,,,,,,,,,,,,,,
,,,366,63233b54189cfd8fcd55478a,25,female,2022-11-22_09h39.35.268,onlinegloss,2022.2.3,Win32,60.47777442,,,,,,,,,29,43,space,16.7547,43,16.3326,0,0,0,0,1,101,,,,,,,
,,,366,63233b54189cfd8fcd55478a,25,female,2022-11-22_09h39.35.268,onlinegloss,2022.2.3,Win32,60.47777442,,,,,,,,,26,43,space,5.6928,35,5.3496,0,1,1,1,1,102,,,,,,,
,,,366,63233b54189cfd8fcd55478a,25,female,2022-11-22_09h39.35.268,onlinegloss,2022.2.3,Win32,60.47777442,,,,,,,,,48,43,space,9.8438,21,9.5014,,,,,,10,0,0,0,10,1,,
,,,366,63233b54189cfd8fcd55478a,25,female,2022-11-22_09h39.35.268,onlinegloss,2022.2.3,Win32,60.47777442,,,,,,,,,29,43,space,9.048,33,8.6091,,,,,,1,0,1,1,1,1,,
,,,366,63233b54189cfd8fcd55478a,25,female,2022-11-22_09h39.35.268,onlinegloss,2022.2.3,Win32,60.47777442,,,,,,,,,42,43,space,7.885,8,7.4447,,,,,,71,0,2,2,71,1,,
,,,366,63233b54189cfd8fcd55478a,25,female,2022-11-22_09h39.35.268,onlinegloss,2022.2.3,Win32,60.47777442,,,,,,,,,42,43,space,6.8524,26,5.8425,,,,,,76,0,3,3,76,1,,
