button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[12.50389999997616],[12.504000000000001],594,5cfadb3e8c897900019bc0d5,31,female,2022-11-22_14h51.35.486,onlinegloss,2022.2.3,Win32,59.94125757,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,594,5cfadb3e8c897900019bc0d5,31,female,2022-11-22_14h51.35.486,onlinegloss,2022.2.3,Win32,59.94125757,space,6.9102,,,,,,,,,,,,,,,,,,,,,,,,,
,,,594,5cfadb3e8c897900019bc0d5,31,female,2022-11-22_14h51.35.486,onlinegloss,2022.2.3,Win32,59.94125757,,,36.2,36.5,,,,,,,,,,,,,,,,,,,,,,,
,,,594,5cfadb3e8c897900019bc0d5,31,female,2022-11-22_14h51.35.486,onlinegloss,2022.2.3,Win32,59.94125757,,,,,space,14.4978,,,,,,,,,,,,,,,,,,,,,
,,,594,5cfadb3e8c897900019bc0d5,31,female,2022-11-22_14h51.35.486,onlinegloss,2022.2.3,Win32,59.94125757,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,594,5cfadb3e8c897900019bc0d5,31,female,2022-11-22_14h51.35.486,onlinegloss,2022.2.3,Win32,59.94125757,,,,,,,space,21.4674,,,,,,,,,,,,,,,,,,,
,,,594,5cfadb3e8c897900019bc0d5,31,female,2022-11-22_14h51.35.486,onlinegloss,2022.2.3,Win32,59.94125757,,,,,,,,,44,1,space,11.7384,34,9.9647,0,0,0,0,1,101,,,,,,,
,,,594,5cfadb3e8c897900019bc0d5,31,female,2022-11-22_14h51.35.486,onlinegloss,2022.2.3,Win32,59.94125757,,,,,,,,,52,1,space,11.2162,20,10.3128,0,1,1,1,1,102,,,,,,,
,,,594,5cfadb3e8c897900019bc0d5,31,female,2022-11-22_14h51.35.486,onlinegloss,2022.2.3,Win32,59.94125757,,,,,,,,,37,1,space,13.205,29,12.6652,,,,,,57,0,0,0,57,1,,
,,,594,5cfadb3e8c897900019bc0d5,31,female,2022-11-22_14h51.35.486,onlinegloss,2022.2.3,Win32,59.94125757,,,,,,,,,27,1,space,7.4814,11,7.1076,,,,,,2,0,1,1,2,1,,
,,,594,5cfadb3e8c897900019bc0d5,31,female,2022-11-22_14h51.35.486,onlinegloss,2022.2.3,Win32,59.94125757,,,,,,,,,42,1,space,6.2467,13,5.7595,,,,,,73,0,2,2,73,1,,
,,,594,5cfadb3e8c897900019bc0d5,31,female,2022-11-22_14h51.35.486,onlinegloss,2022.2.3,Win32,59.94125757,,,,,,,,,44,1,space,8.0818,10,7.7957,,,,,,52,0,3,3,52,1,,
,,,594,5cfadb3e8c897900019bc0d5,31,female,2022-11-22_14h51.35.486,onlinegloss,2022.2.3,Win32,59.94125757,,,,,,,,,49,1,space,6.4111,29,6.0799,,,,,,10,0,4,4,10,1,,
,,,594,5cfadb3e8c897900019bc0d5,31,female,2022-11-22_14h51.35.486,onlinegloss,2022.2.3,Win32,59.94125757,,,,,,,,,46,1,space,6.9162,9,5.909,,,,,,19,0,5,5,19,1,,
,,,594,5cfadb3e8c897900019bc0d5,31,female,2022-11-22_14h51.35.486,onlinegloss,2022.2.3,Win32,59.94125757,,,,,,,,,38,1,space,5.3155,26,4.8517,,,,,,58,0,6,6,58,1,,
,,,594,5cfadb3e8c897900019bc0d5,31,female,2022-11-22_14h51.35.486,onlinegloss,2022.2.3,Win32,59.94125757,,,,,,,,,31,1,space,6.151,13,5.7924,,,,,,53,0,7,7,53,1,,
,,,594,5cfadb3e8c897900019bc0d5,31,female,2022-11-22_14h51.35.486,onlinegloss,2022.2.3,Win32,59.94125757,,,,,,,,,34,1,space,6.3657,12,6.1717,,,,,,26,0,8,8,26,1,,
,,,594,5cfadb3e8c897900019bc0d5,31,female,2022-11-22_14h51.35.486,onlinegloss,2022.2.3,Win32,59.94125757,,,,,,,,,26,1,space,7.116,11,6.6632,,,,,,13,0,9,9,13,1,,
,,,594,5cfadb3e8c897900019bc0d5,31,female,2022-11-22_14h51.35.486,onlinegloss,2022.2.3,Win32,59.94125757,,,,,,,,,43,1,space,4.8669,7,4.2893,,,,,,56,0,10,10,56,1,,
,,,594,5cfadb3e8c897900019bc0d5,31,female,2022-11-22_14h51.35.486,onlinegloss,2022.2.3,Win32,59.94125757,,,,,,,,,41,1,space,6.6603,9,6.4231,,,,,,43,0,11,11,43,1,,
,,,594,5cfadb3e8c897900019bc0d5,31,female,2022-11-22_14h51.35.486,onlinegloss,2022.2.3,Win32,59.94125757,,,,,,,,,38,1,space,6.8057,15,6.5116,,,,,,35,0,12,12,35,1,,
,,,594,5cfadb3e8c897900019bc0d5,31,female,2022-11-22_14h51.35.486,onlinegloss,2022.2.3,Win32,59.94125757,,,,,,,,,51,1,space,3.9069,9,3.2839,,,,,,30,0,13,13,30,1,,
,,,594,5cfadb3e8c897900019bc0d5,31,female,2022-11-22_14h51.35.486,onlinegloss,2022.2.3,Win32,59.94125757,,,,,,,,,33,1,space,5.1853,34,5.0004,,,,,,42,0,14,14,42,1,,
,,,594,5cfadb3e8c897900019bc0d5,31,female,2022-11-22_14h51.35.486,onlinegloss,2022.2.3,Win32,59.94125757,,,,,,,,,34,1,space,4.2096,10,3.9492,,,,,,4,0,15,15,4,1,,
,,,594,5cfadb3e8c897900019bc0d5,31,female,2022-11-22_14h51.35.486,onlinegloss,2022.2.3,Win32,59.94125757,,,,,,,,,35,1,space,6.6939,39,5.8874,,,,,,83,0,16,16,83,1,,
,,,594,5cfadb3e8c897900019bc0d5,31,female,2022-11-22_14h51.35.486,onlinegloss,2022.2.3,Win32,59.94125757,,,,,,,,,28,1,space,6.5494,25,6.3103,,,,,,45,0,17,17,45,1,,
,,,594,5cfadb3e8c897900019bc0d5,31,female,2022-11-22_14h51.35.486,onlinegloss,2022.2.3,Win32,59.94125757,,,,,,,,,29,1,space,5.0977,35,4.8049,,,,,,27,0,18,18,27,1,,
,,,594,5cfadb3e8c897900019bc0d5,31,female,2022-11-22_14h51.35.486,onlinegloss,2022.2.3,Win32,59.94125757,,,,,,,,,51,1,space,4.1579,7,3.8787,,,,,,41,0,19,19,41,1,,
,,,594,5cfadb3e8c897900019bc0d5,31,female,2022-11-22_14h51.35.486,onlinegloss,2022.2.3,Win32,59.94125757,,,,,,,,,42,1,space,4.353,23,4.1275,,,,,,55,0,20,20,55,1,,
,,,594,5cfadb3e8c897900019bc0d5,31,female,2022-11-22_14h51.35.486,onlinegloss,2022.2.3,Win32,59.94125757,,,,,,,,,47,1,space,5.7739,33,5.5169,,,,,,29,0,21,21,29,1,,
,,,594,5cfadb3e8c897900019bc0d5,31,female,2022-11-22_14h51.35.486,onlinegloss,2022.2.3,Win32,59.94125757,,,,,,,,,42,1,space,3.659,19,3.2949,,,,,,23,0,22,22,23,1,,
,,,594,5cfadb3e8c897900019bc0d5,31,female,2022-11-22_14h51.35.486,onlinegloss,2022.2.3,Win32,59.94125757,,,,,,,,,37,1,space,4.9164,16,4.7404,,,,,,17,0,23,23,17,1,,
,,,594,5cfadb3e8c897900019bc0d5,31,female,2022-11-22_14h51.35.486,onlinegloss,2022.2.3,Win32,59.94125757,,,,,,,,,46,1,space,6.249,16,6.1034,,,,,,61,0,24,24,61,1,,
,,,594,5cfadb3e8c897900019bc0d5,31,female,2022-11-22_14h51.35.486,onlinegloss,2022.2.3,Win32,59.94125757,,,,,,,,,29,1,space,4.324,34,4.1476,,,,,,69,0,25,25,69,1,,
,,,594,5cfadb3e8c897900019bc0d5,31,female,2022-11-22_14h51.35.486,onlinegloss,2022.2.3,Win32,59.94125757,,,,,,,,,28,1,space,4.56,6,4.0504,,,,,,34,0,26,26,34,1,,
,,,594,5cfadb3e8c897900019bc0d5,31,female,2022-11-22_14h51.35.486,onlinegloss,2022.2.3,Win32,59.94125757,,,,,,,,,45,1,space,4.7999,23,4.6421,,,,,,51,0,27,27,51,1,,
,,,594,5cfadb3e8c897900019bc0d5,31,female,2022-11-22_14h51.35.486,onlinegloss,2022.2.3,Win32,59.94125757,,,,,,,,,26,1,space,3.8659,18,3.6354,,,,,,5,0,28,28,5,1,,
,,,594,5cfadb3e8c897900019bc0d5,31,female,2022-11-22_14h51.35.486,onlinegloss,2022.2.3,Win32,59.94125757,,,,,,,,,50,1,space,3.3925,36,3.2523,,,,,,31,0,29,29,31,1,,
,,,594,5cfadb3e8c897900019bc0d5,31,female,2022-11-22_14h51.35.486,onlinegloss,2022.2.3,Win32,59.94125757,,,,,,,,,28,1,space,5.2337,23,5.0575,,,,,,44,0,30,30,44,1,,
,,,594,5cfadb3e8c897900019bc0d5,31,female,2022-11-22_14h51.35.486,onlinegloss,2022.2.3,Win32,59.94125757,,,,,,,,,39,1,space,2.9424,8,2.5343,,,,,,59,0,31,31,59,1,,
