button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[11.581],[11.581],416,60fc2220e5b6f3a077f0d742,19,female,2022-11-22_14h20.50.130,onlinegloss,2022.2.3,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,416,60fc2220e5b6f3a077f0d742,19,female,2022-11-22_14h20.50.130,onlinegloss,2022.2.3,MacIntel,62.5,space,4.193,,,,,,,,,,,,,,,,,,,,,,,,,
,,,416,60fc2220e5b6f3a077f0d742,19,female,2022-11-22_14h20.50.130,onlinegloss,2022.2.3,MacIntel,62.5,,,45.1,43.4,,,,,,,,,,,,,,,,,,,,,,,
,,,416,60fc2220e5b6f3a077f0d742,19,female,2022-11-22_14h20.50.130,onlinegloss,2022.2.3,MacIntel,62.5,,,,,space,5.741,,,,,,,,,,,,,,,,,,,,,
,,,416,60fc2220e5b6f3a077f0d742,19,female,2022-11-22_14h20.50.130,onlinegloss,2022.2.3,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,416,60fc2220e5b6f3a077f0d742,19,female,2022-11-22_14h20.50.130,onlinegloss,2022.2.3,MacIntel,62.5,,,,,,,space,0.104,,,,,,,,,,,,,,,,,,,
,,,416,60fc2220e5b6f3a077f0d742,19,female,2022-11-22_14h20.50.130,onlinegloss,2022.2.3,MacIntel,62.5,,,,,,,,,52,39,space,10.631,31,8.843,0,0,0,0,1,101,,,,,,,
,,,416,60fc2220e5b6f3a077f0d742,19,female,2022-11-22_14h20.50.130,onlinegloss,2022.2.3,MacIntel,62.5,,,,,,,,,38,39,space,6.546,23,4.936,0,1,1,1,1,102,,,,,,,
,,,416,60fc2220e5b6f3a077f0d742,19,female,2022-11-22_14h20.50.130,onlinegloss,2022.2.3,MacIntel,62.5,,,,,,,,,28,39,space,12.277,4,11.297,,,,,,32,0,0,0,32,1,,
,,,416,60fc2220e5b6f3a077f0d742,19,female,2022-11-22_14h20.50.130,onlinegloss,2022.2.3,MacIntel,62.5,,,,,,,,,31,39,space,8.226,1,6.921,,,,,,75,0,1,1,75,1,,
,,,416,60fc2220e5b6f3a077f0d742,19,female,2022-11-22_14h20.50.130,onlinegloss,2022.2.3,MacIntel,62.5,,,,,,,,,49,39,space,5.718,27,4.584,,,,,,78,0,2,2,78,1,,
,,,416,60fc2220e5b6f3a077f0d742,19,female,2022-11-22_14h20.50.130,onlinegloss,2022.2.3,MacIntel,62.5,,,,,,,,,32,39,space,7.064,12,6.551,,,,,,67,0,3,3,67,1,,
,,,416,60fc2220e5b6f3a077f0d742,19,female,2022-11-22_14h20.50.130,onlinegloss,2022.2.3,MacIntel,62.5,,,,,,,,,39,39,space,3.763,3,3.436,,,,,,4,0,4,4,4,1,,
,,,416,60fc2220e5b6f3a077f0d742,19,female,2022-11-22_14h20.50.130,onlinegloss,2022.2.3,MacIntel,62.5,,,,,,,,,36,39,space,7.159,15,6.903,,,,,,29,0,5,5,29,1,,
,,,416,60fc2220e5b6f3a077f0d742,19,female,2022-11-22_14h20.50.130,onlinegloss,2022.2.3,MacIntel,62.5,,,,,,,,,50,39,space,5.877,16,5.468,,,,,,62,0,6,6,62,1,,
,,,416,60fc2220e5b6f3a077f0d742,19,female,2022-11-22_14h20.50.130,onlinegloss,2022.2.3,MacIntel,62.5,,,,,,,,,44,39,space,5.105,8,4.853,,,,,,30,0,7,7,30,1,,
,,,416,60fc2220e5b6f3a077f0d742,19,female,2022-11-22_14h20.50.130,onlinegloss,2022.2.3,MacIntel,62.5,,,,,,,,,35,39,space,6.037,5,5.736,,,,,,40,0,8,8,40,1,,
,,,416,60fc2220e5b6f3a077f0d742,19,female,2022-11-22_14h20.50.130,onlinegloss,2022.2.3,MacIntel,62.5,,,,,,,,,51,39,space,5.543,10,5.203,,,,,,28,0,9,9,28,1,,
,,,416,60fc2220e5b6f3a077f0d742,19,female,2022-11-22_14h20.50.130,onlinegloss,2022.2.3,MacIntel,62.5,,,,,,,,,45,39,space,9.884,30,9.054,,,,,,77,0,10,10,77,1,,
,,,416,60fc2220e5b6f3a077f0d742,19,female,2022-11-22_14h20.50.130,onlinegloss,2022.2.3,MacIntel,62.5,,,,,,,,,29,39,space,5.318,24,4.67,,,,,,59,0,11,11,59,1,,
,,,416,60fc2220e5b6f3a077f0d742,19,female,2022-11-22_14h20.50.130,onlinegloss,2022.2.3,MacIntel,62.5,,,,,,,,,28,39,space,3.772,5,3.536,,,,,,13,0,12,12,13,1,,
,,,416,60fc2220e5b6f3a077f0d742,19,female,2022-11-22_14h20.50.130,onlinegloss,2022.2.3,MacIntel,62.5,,,,,,,,,33,39,space,3.638,1,2.803,,,,,,8,0,13,13,8,1,,
,,,416,60fc2220e5b6f3a077f0d742,19,female,2022-11-22_14h20.50.130,onlinegloss,2022.2.3,MacIntel,62.5,,,,,,,,,29,39,space,7.301,33,6.454,,,,,,74,0,14,14,74,1,,
,,,416,60fc2220e5b6f3a077f0d742,19,female,2022-11-22_14h20.50.130,onlinegloss,2022.2.3,MacIntel,62.5,,,,,,,,,45,39,space,3.555,8,2.703,,,,,,42,0,15,15,42,1,,
,,,416,60fc2220e5b6f3a077f0d742,19,female,2022-11-22_14h20.50.130,onlinegloss,2022.2.3,MacIntel,62.5,,,,,,,,,38,39,space,3.741,7,2.653,,,,,,1,0,16,16,1,1,,
,,,416,60fc2220e5b6f3a077f0d742,19,female,2022-11-22_14h20.50.130,onlinegloss,2022.2.3,MacIntel,62.5,,,,,,,,,45,39,space,4.906,19,4.57,,,,,,25,0,17,17,25,1,,
,,,416,60fc2220e5b6f3a077f0d742,19,female,2022-11-22_14h20.50.130,onlinegloss,2022.2.3,MacIntel,62.5,,,,,,,,,28,39,space,4.487,17,4.054,,,,,,53,0,18,18,53,1,,
,,,416,60fc2220e5b6f3a077f0d742,19,female,2022-11-22_14h20.50.130,onlinegloss,2022.2.3,MacIntel,62.5,,,,,,,,,51,39,space,6.338,5,5.918,,,,,,11,0,19,19,11,1,,
,,,416,60fc2220e5b6f3a077f0d742,19,female,2022-11-22_14h20.50.130,onlinegloss,2022.2.3,MacIntel,62.5,,,,,,,,,40,39,space,8.471,9,7.921,,,,,,5,0,20,20,5,1,,
,,,416,60fc2220e5b6f3a077f0d742,19,female,2022-11-22_14h20.50.130,onlinegloss,2022.2.3,MacIntel,62.5,,,,,,,,,35,39,space,5.387,21,5.054,,,,,,55,0,21,21,55,1,,
,,,416,60fc2220e5b6f3a077f0d742,19,female,2022-11-22_14h20.50.130,onlinegloss,2022.2.3,MacIntel,62.5,,,,,,,,,48,39,space,6.834,30,6.586,,,,,,2,0,22,22,2,1,,
,,,416,60fc2220e5b6f3a077f0d742,19,female,2022-11-22_14h20.50.130,onlinegloss,2022.2.3,MacIntel,62.5,,,,,,,,,40,39,space,3.606,1,2.771,,,,,,79,0,23,23,79,1,,
,,,416,60fc2220e5b6f3a077f0d742,19,female,2022-11-22_14h20.50.130,onlinegloss,2022.2.3,MacIntel,62.5,,,,,,,,,33,39,space,6.602,43,6.001,,,,,,84,0,24,24,84,1,,
,,,416,60fc2220e5b6f3a077f0d742,19,female,2022-11-22_14h20.50.130,onlinegloss,2022.2.3,MacIntel,62.5,,,,,,,,,51,39,space,4.254,33,4.003,,,,,,3,0,25,25,3,1,,
,,,416,60fc2220e5b6f3a077f0d742,19,female,2022-11-22_14h20.50.130,onlinegloss,2022.2.3,MacIntel,62.5,,,,,,,,,28,39,space,4.054,13,3.82,,,,,,76,0,26,26,76,1,,
,,,416,60fc2220e5b6f3a077f0d742,19,female,2022-11-22_14h20.50.130,onlinegloss,2022.2.3,MacIntel,62.5,,,,,,,,,29,39,space,3.453,4,2.769,,,,,,63,0,27,27,63,1,,
,,,416,60fc2220e5b6f3a077f0d742,19,female,2022-11-22_14h20.50.130,onlinegloss,2022.2.3,MacIntel,62.5,,,,,,,,,37,39,space,5.386,41,4.935,,,,,,43,0,28,28,43,1,,
,,,416,60fc2220e5b6f3a077f0d742,19,female,2022-11-22_14h20.50.130,onlinegloss,2022.2.3,MacIntel,62.5,,,,,,,,,30,39,space,4.319,11,4.004,,,,,,70,0,29,29,70,1,,
,,,416,60fc2220e5b6f3a077f0d742,19,female,2022-11-22_14h20.50.130,onlinegloss,2022.2.3,MacIntel,62.5,,,,,,,,,28,39,space,6.937,18,5.653,,,,,,17,0,30,30,17,1,,
,,,416,60fc2220e5b6f3a077f0d742,19,female,2022-11-22_14h20.50.130,onlinegloss,2022.2.3,MacIntel,62.5,,,,,,,,,29,39,space,5.241,32,5.019,,,,,,54,0,31,31,54,1,,
,,,416,60fc2220e5b6f3a077f0d742,19,female,2022-11-22_14h20.50.130,onlinegloss,2022.2.3,MacIntel,62.5,,,,,,,,,35,39,space,2.737,16,2.406,,,,,,72,0,32,32,72,1,,
,,,416,60fc2220e5b6f3a077f0d742,19,female,2022-11-22_14h20.50.130,onlinegloss,2022.2.3,MacIntel,62.5,,,,,,,,,41,39,space,3.668,12,3.436,,,,,,14,0,33,33,14,1,,
,,,416,60fc2220e5b6f3a077f0d742,19,female,2022-11-22_14h20.50.130,onlinegloss,2022.2.3,MacIntel,62.5,,,,,,,,,36,39,space,2.972,2,2.203,,,,,,7,0,34,34,7,1,,
