button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[21.761799999999813],[21.76189999999991],1071,5904f7725dec66000110af5b,56,Male,2022-11-23_15h03.21.205,onlinegloss,2022.2.3,Win32,59.94125757,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1071,5904f7725dec66000110af5b,56,Male,2022-11-23_15h03.21.205,onlinegloss,2022.2.3,Win32,59.94125757,space,8.4684,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1071,5904f7725dec66000110af5b,56,Male,2022-11-23_15h03.21.205,onlinegloss,2022.2.3,Win32,59.94125757,,,40,37.2,,,,,,,,,,,,,,,,,,,,,,,
,,,1071,5904f7725dec66000110af5b,56,Male,2022-11-23_15h03.21.205,onlinegloss,2022.2.3,Win32,59.94125757,,,,,space,11.2541,,,,,,,,,,,,,,,,,,,,,
,,,1071,5904f7725dec66000110af5b,56,Male,2022-11-23_15h03.21.205,onlinegloss,2022.2.3,Win32,59.94125757,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1071,5904f7725dec66000110af5b,56,Male,2022-11-23_15h03.21.205,onlinegloss,2022.2.3,Win32,59.94125757,,,,,,,space,48.0911,,,,,,,,,,,,,,,,,,,
,,,1071,5904f7725dec66000110af5b,56,Male,2022-11-23_15h03.21.205,onlinegloss,2022.2.3,Win32,59.94125757,,,,,,,,,45,2,space,16.5802,40,11.556,0,0,0,0,1,101,,,,,,,
,,,1071,5904f7725dec66000110af5b,56,Male,2022-11-23_15h03.21.205,onlinegloss,2022.2.3,Win32,59.94125757,,,,,,,,,50,2,space,8.7256,28,7.723,0,1,1,1,1,102,,,,,,,
,,,1071,5904f7725dec66000110af5b,56,Male,2022-11-23_15h03.21.205,onlinegloss,2022.2.3,Win32,59.94125757,,,,,,,,,29,2,space,7.8485,15,7.6332,,,,,,72,0,0,0,72,1,,
,,,1071,5904f7725dec66000110af5b,56,Male,2022-11-23_15h03.21.205,onlinegloss,2022.2.3,Win32,59.94125757,,,,,,,,,31,2,space,6.6237,44,6.1483,,,,,,13,0,1,1,13,1,,
,,,1071,5904f7725dec66000110af5b,56,Male,2022-11-23_15h03.21.205,onlinegloss,2022.2.3,Win32,59.94125757,,,,,,,,,36,2,space,7.8085,4,7.5266,,,,,,32,0,2,2,32,1,,
,,,1071,5904f7725dec66000110af5b,56,Male,2022-11-23_15h03.21.205,onlinegloss,2022.2.3,Win32,59.94125757,,,,,,,,,28,2,space,7.6404,25,6.8179,,,,,,45,0,3,3,45,1,,
,,,1071,5904f7725dec66000110af5b,56,Male,2022-11-23_15h03.21.205,onlinegloss,2022.2.3,Win32,59.94125757,,,,,,,,,40,2,space,5.9742,7,5.5007,,,,,,17,0,4,4,17,1,,
