button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[3.604100000008941],[3.604100000008941],566,588a4cbb670d6600012bd509,39,female,2022-11-22_14h48.47.845,onlinegloss,2022.2.3,Win32,60.96074128,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,566,588a4cbb670d6600012bd509,39,female,2022-11-22_14h48.47.845,onlinegloss,2022.2.3,Win32,60.96074128,space,3.1047,,,,,,,,,,,,,,,,,,,,,,,,,
,,,566,588a4cbb670d6600012bd509,39,female,2022-11-22_14h48.47.845,onlinegloss,2022.2.3,Win32,60.96074128,,,52.9,50.7,,,,,,,,,,,,,,,,,,,,,,,
,,,566,588a4cbb670d6600012bd509,39,female,2022-11-22_14h48.47.845,onlinegloss,2022.2.3,Win32,60.96074128,,,,,space,10.0923,,,,,,,,,,,,,,,,,,,,,
,,,566,588a4cbb670d6600012bd509,39,female,2022-11-22_14h48.47.845,onlinegloss,2022.2.3,Win32,60.96074128,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,566,588a4cbb670d6600012bd509,39,female,2022-11-22_14h48.47.845,onlinegloss,2022.2.3,Win32,60.96074128,,,,,,,space,2.3944,,,,,,,,,,,,,,,,,,,
,,,566,588a4cbb670d6600012bd509,39,female,2022-11-22_14h48.47.845,onlinegloss,2022.2.3,Win32,60.96074128,,,,,,,,,33,27,space,8.0583,30,6.7793,0,0,0,0,1,101,,,,,,,
,,,566,588a4cbb670d6600012bd509,39,female,2022-11-22_14h48.47.845,onlinegloss,2022.2.3,Win32,60.96074128,,,,,,,,,30,27,space,12.6846,29,9.9116,0,1,1,1,1,102,,,,,,,
,,,566,588a4cbb670d6600012bd509,39,female,2022-11-22_14h48.47.845,onlinegloss,2022.2.3,Win32,60.96074128,,,,,,,,,33,27,space,13.1624,9,12.601,,,,,,57,0,0,0,57,1,,
,,,566,588a4cbb670d6600012bd509,39,female,2022-11-22_14h48.47.845,onlinegloss,2022.2.3,Win32,60.96074128,,,,,,,,,48,27,space,9.9016,17,9.5705,,,,,,62,0,1,1,62,1,,
,,,566,588a4cbb670d6600012bd509,39,female,2022-11-22_14h48.47.845,onlinegloss,2022.2.3,Win32,60.96074128,,,,,,,,,44,27,space,7.7863,8,7.294,,,,,,27,0,2,2,27,1,,
,,,566,588a4cbb670d6600012bd509,39,female,2022-11-22_14h48.47.845,onlinegloss,2022.2.3,Win32,60.96074128,,,,,,,,,28,27,space,8.5431,16,7.979,,,,,,21,0,3,3,21,1,,
,,,566,588a4cbb670d6600012bd509,39,female,2022-11-22_14h48.47.845,onlinegloss,2022.2.3,Win32,60.96074128,,,,,,,,,46,27,space,7.1643,29,6.7582,,,,,,35,0,4,4,35,1,,
,,,566,588a4cbb670d6600012bd509,39,female,2022-11-22_14h48.47.845,onlinegloss,2022.2.3,Win32,60.96074128,,,,,,,,,38,27,space,6.5143,13,6.0083,,,,,,36,0,5,5,36,1,,
,,,566,588a4cbb670d6600012bd509,39,female,2022-11-22_14h48.47.845,onlinegloss,2022.2.3,Win32,60.96074128,,,,,,,,,26,27,space,12.3538,34,9.455,,,,,,19,0,6,6,19,1,,
,,,566,588a4cbb670d6600012bd509,39,female,2022-11-22_14h48.47.845,onlinegloss,2022.2.3,Win32,60.96074128,,,,,,,,,49,27,space,7.0005,41,6.16,,,,,,70,0,7,7,70,1,,
,,,566,588a4cbb670d6600012bd509,39,female,2022-11-22_14h48.47.845,onlinegloss,2022.2.3,Win32,60.96074128,,,,,,,,,30,27,space,12.9425,30,12.6232,,,,,,65,0,8,8,65,1,,
,,,566,588a4cbb670d6600012bd509,39,female,2022-11-22_14h48.47.845,onlinegloss,2022.2.3,Win32,60.96074128,,,,,,,,,46,27,space,6.5703,4,5.7891,,,,,,10,0,9,9,10,1,,
,,,566,588a4cbb670d6600012bd509,39,female,2022-11-22_14h48.47.845,onlinegloss,2022.2.3,Win32,60.96074128,,,,,,,,,45,27,space,7.7466,6,6.7918,,,,,,56,0,10,10,56,1,,
,,,566,588a4cbb670d6600012bd509,39,female,2022-11-22_14h48.47.845,onlinegloss,2022.2.3,Win32,60.96074128,,,,,,,,,44,27,space,5.4782,19,4.4576,,,,,,72,0,11,11,72,1,,
,,,566,588a4cbb670d6600012bd509,39,female,2022-11-22_14h48.47.845,onlinegloss,2022.2.3,Win32,60.96074128,,,,,,,,,37,27,space,7.9561,29,7.3724,,,,,,78,0,12,12,78,1,,
,,,566,588a4cbb670d6600012bd509,39,female,2022-11-22_14h48.47.845,onlinegloss,2022.2.3,Win32,60.96074128,,,,,,,,,32,27,space,5.3379,18,4.5907,,,,,,34,0,13,13,34,1,,
,,,566,588a4cbb670d6600012bd509,39,female,2022-11-22_14h48.47.845,onlinegloss,2022.2.3,Win32,60.96074128,,,,,,,,,27,27,space,6.5382,22,6.0941,,,,,,71,0,14,14,71,1,,
,,,566,588a4cbb670d6600012bd509,39,female,2022-11-22_14h48.47.845,onlinegloss,2022.2.3,Win32,60.96074128,,,,,,,,,28,27,space,6.4225,37,5.8391,,,,,,74,0,15,15,74,1,,
,,,566,588a4cbb670d6600012bd509,39,female,2022-11-22_14h48.47.845,onlinegloss,2022.2.3,Win32,60.96074128,,,,,,,,,48,27,space,5.2593,4,2.6433,,,,,,47,0,16,16,47,1,,
,,,566,588a4cbb670d6600012bd509,39,female,2022-11-22_14h48.47.845,onlinegloss,2022.2.3,Win32,60.96074128,,,,,,,,,47,27,space,6.448,8,5.5964,,,,,,39,0,17,17,39,1,,
,,,566,588a4cbb670d6600012bd509,39,female,2022-11-22_14h48.47.845,onlinegloss,2022.2.3,Win32,60.96074128,,,,,,,,,39,27,space,6.8056,5,6.4584,,,,,,50,0,18,18,50,1,,
,,,566,588a4cbb670d6600012bd509,39,female,2022-11-22_14h48.47.845,onlinegloss,2022.2.3,Win32,60.96074128,,,,,,,,,38,27,space,5.7409,39,5.3916,,,,,,84,0,19,19,84,1,,
,,,566,588a4cbb670d6600012bd509,39,female,2022-11-22_14h48.47.845,onlinegloss,2022.2.3,Win32,60.96074128,,,,,,,,,37,27,space,9.3072,33,9.0415,,,,,,6,0,20,20,6,1,,
,,,566,588a4cbb670d6600012bd509,39,female,2022-11-22_14h48.47.845,onlinegloss,2022.2.3,Win32,60.96074128,,,,,,,,,43,27,space,5.972,8,5.5278,,,,,,55,0,21,21,55,1,,
,,,566,588a4cbb670d6600012bd509,39,female,2022-11-22_14h48.47.845,onlinegloss,2022.2.3,Win32,60.96074128,,,,,,,,,27,27,space,5.7198,32,4.9716,,,,,,60,0,22,22,60,1,,
,,,566,588a4cbb670d6600012bd509,39,female,2022-11-22_14h48.47.845,onlinegloss,2022.2.3,Win32,60.96074128,,,,,,,,,36,27,space,5.6577,8,5.4123,,,,,,24,0,23,23,24,1,,
,,,566,588a4cbb670d6600012bd509,39,female,2022-11-22_14h48.47.845,onlinegloss,2022.2.3,Win32,60.96074128,,,,,,,,,40,27,space,5.9446,30,5.6241,,,,,,28,0,24,24,28,1,,
,,,566,588a4cbb670d6600012bd509,39,female,2022-11-22_14h48.47.845,onlinegloss,2022.2.3,Win32,60.96074128,,,,,,,,,33,27,space,4.8018,4,4.5108,,,,,,59,0,25,25,59,1,,
,,,566,588a4cbb670d6600012bd509,39,female,2022-11-22_14h48.47.845,onlinegloss,2022.2.3,Win32,60.96074128,,,,,,,,,47,27,space,9.5387,20,3.2581,,,,,,73,0,26,26,73,1,,
,,,566,588a4cbb670d6600012bd509,39,female,2022-11-22_14h48.47.845,onlinegloss,2022.2.3,Win32,60.96074128,,,,,,,,,43,27,space,5.2948,24,5.0115,,,,,,23,0,27,27,23,1,,
