button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[8.986],[8.986],92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,space,4.9831,,,,,,,,,,,,,,,,,,,,,,,,,
,,,92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,,,44.5,44.1,,,,,,,,,,,,,,,,,,,,,,,
,,,92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,,,,,space,19.4326,,,,,,,,,,,,,,,,,,,,,
,,,92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,space,10.6065,,,,,,,,,,,,,,,,,,,
,,,92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,49,39,space,11.0107,45,10.1278,0,0,0,0,1,101,,,,,,,
,,,92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,28,39,space,9.4957,20,9.1684,0,1,1,1,1,102,,,,,,,
,,,92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,52,39,space,3.6411,1,3.384,,,,,,63,0,0,0,63,1,,
,,,92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,39,39,space,4.1873,8,3.8046,,,,,,40,0,1,1,40,1,,
,,,92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,36,39,space,4.9666,18,4.6741,,,,,,46,0,2,2,46,1,,
,,,92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,44,39,space,6.339,19,5.7899,,,,,,54,0,3,3,54,1,,
,,,92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,32,39,space,7.1695,36,6.896,,,,,,82,0,4,4,82,1,,
,,,92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,26,39,space,6.5161,17,6.2033,,,,,,78,0,5,5,78,1,,
,,,92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,42,39,space,6.911,25,6.5969,,,,,,1,0,6,6,1,1,,
,,,92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,31,39,space,3.3446,14,3.0648,,,,,,25,0,7,7,25,1,,
,,,92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,45,39,space,3.995,1,2.731,,,,,,45,0,8,8,45,1,,
,,,92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,47,39,space,2.0434,1,1.6804,,,,,,32,0,9,9,32,1,,
,,,92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,51,39,space,6.1091,26,5.7152,,,,,,22,0,10,10,22,1,,
,,,92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,50,39,space,5.8441,12,5.4642,,,,,,36,0,11,11,36,1,,
,,,92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,41,39,space,4.0118,1,3.697,,,,,,51,0,12,12,51,1,,
,,,92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,28,39,space,7.0447,52,6.6643,,,,,,59,0,13,13,59,1,,
,,,92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,42,39,space,4.3441,8,3.8965,,,,,,69,0,14,14,69,1,,
,,,92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,48,39,space,5.8089,22,5.4139,,,,,,66,0,15,15,66,1,,
,,,92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,45,39,space,3.6455,8,3.3147,,,,,,16,0,16,16,16,1,,
,,,92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,46,39,space,2.3762,1,2.0969,,,,,,23,0,17,17,23,1,,
,,,92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,49,39,space,5.6258,35,5.3642,,,,,,3,0,18,18,3,1,,
,,,92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,48,39,space,5.7252,6,5.5147,,,,,,38,0,19,19,38,1,,
,,,92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,48,39,space,8.7307,1,6.1317,,,,,,0,0,20,20,0,1,,
,,,92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,28,39,space,5.3608,14,5.0474,,,,,,26,0,21,21,26,1,,
,,,92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,28,39,space,4.7261,17,4.4638,,,,,,10,0,22,22,10,1,,
,,,92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,43,39,space,3.6601,11,3.3803,,,,,,48,0,23,23,48,1,,
,,,92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,44,39,space,5.0551,14,4.5659,,,,,,77,0,24,24,77,1,,
,,,92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,29,39,space,3.8577,9,3.6071,,,,,,5,0,25,25,5,1,,
,,,92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,41,39,space,4.0822,8,3.7231,,,,,,75,0,26,26,75,1,,
,,,92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,27,39,space,5.0897,51,4.8468,,,,,,74,0,27,27,74,1,,
,,,92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,30,39,space,4.6019,9,4.0732,,,,,,65,0,28,28,65,1,,
,,,92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,30,39,space,3.185,1,2.7908,,,,,,8,0,29,29,8,1,,
,,,92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,46,39,space,3.0362,1,2.7395,,,,,,20,0,30,30,20,1,,
,,,92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,35,39,space,5.4688,3,5.1898,,,,,,70,0,31,31,70,1,,
,,,92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,39,39,space,3.2192,12,2.9581,,,,,,71,0,32,32,71,1,,
,,,92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,45,39,space,4.5853,19,4.2768,,,,,,27,0,33,33,27,1,,
,,,92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,27,39,space,6.6693,14,5.7939,,,,,,41,0,34,34,41,1,,
,,,92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,39,39,space,3.87,10,3.623,,,,,,72,0,35,35,72,1,,
,,,92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,47,39,space,4.6515,8,4.3226,,,,,,62,0,36,36,62,1,,
,,,92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,36,39,space,4.47,8,4.0068,,,,,,31,0,37,37,31,1,,
,,,92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,38,39,space,3.7831,6,3.4708,,,,,,58,0,38,38,58,1,,
,,,92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,47,39,space,3.3271,6,3.048,,,,,,18,0,39,39,18,1,,
,,,92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,41,39,space,4.6472,38,3.8999,,,,,,43,0,40,40,43,1,,
,,,92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,49,39,space,5.6115,7,5.4048,,,,,,56,0,41,41,56,1,,
,,,92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,39,39,space,2.9247,9,2.54,,,,,,67,0,42,42,67,1,,
,,,92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,40,39,space,4.2881,11,3.8233,,,,,,37,0,43,43,37,1,,
,,,92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,40,39,space,2.9537,9,2.6972,,,,,,35,0,44,44,35,1,,
,,,92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,49,39,space,4.2861,5,3.8238,,,,,,47,0,45,45,47,1,,
,,,92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,52,39,space,4.8166,20,4.4874,,,,,,73,0,46,46,73,1,,
,,,92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,41,39,space,3.6762,15,3.4299,,,,,,52,0,47,47,52,1,,
,,,92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,34,39,space,4.2275,24,3.9319,,,,,,49,0,48,48,49,1,,
,,,92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,48,39,space,3.3086,1,3.0138,,,,,,19,0,49,49,19,1,,
,,,92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,28,39,space,2.3267,2,2.1991,,,,,,6,0,50,50,6,1,,
,,,92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,43,39,space,4.5808,7,3.8227,,,,,,80,0,51,51,80,1,,
,,,92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,43,39,space,4.5152,5,4.1568,,,,,,12,0,52,52,12,1,,
,,,92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,28,39,space,3.0476,19,2.777,,,,,,21,0,53,53,21,1,,
,,,92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,45,39,space,3.1169,7,2.8568,,,,,,13,0,54,54,13,1,,
,,,92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,43,39,space,2.7318,9,2.4902,,,,,,28,0,55,55,28,1,,
,,,92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,39,39,space,6.6642,7,6.0766,,,,,,24,0,56,56,24,1,,
,,,92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,49,39,space,3.4139,4,3.0424,,,,,,42,0,57,57,42,1,,
,,,92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,46,39,space,4.7373,52,3.9559,,,,,,34,0,58,58,34,1,,
,,,92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,39,39,space,5.6829,23,5.3899,,,,,,29,0,59,59,29,1,,
,,,92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,41,39,space,3.0337,6,2.7765,,,,,,14,0,60,60,14,1,,
,,,92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,41,39,space,4.2002,6,4.0068,,,,,,55,0,61,61,55,1,,
,,,92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,27,39,space,2.6323,10,2.4228,,,,,,33,0,62,62,33,1,,
,,,92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,48,39,space,3.8454,6,3.6554,,,,,,4,0,63,63,4,1,,
,,,92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,49,39,space,2.7821,7,2.2927,,,,,,11,0,64,64,11,1,,
,,,92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,32,39,space,3.4344,14,3.0563,,,,,,53,0,65,65,53,1,,
,,,92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,51,39,space,4.2133,18,3.8711,,,,,,60,0,66,66,60,1,,
,,,92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,36,39,space,3.261,7,2.697,,,,,,64,0,67,67,64,1,,
,,,92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,40,39,space,3.2097,14,2.8827,,,,,,17,0,68,68,17,1,,
,,,92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,44,39,space,4.3255,46,4.0499,,,,,,50,0,69,69,50,1,,
,,,92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,39,39,space,4.5937,12,4.4287,,,,,,39,0,70,70,39,1,,
,,,92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,51,39,space,4.0254,25,3.7569,,,,,,81,0,71,71,81,1,,
,,,92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,31,39,space,3.1696,6,2.8761,,,,,,30,0,72,72,30,1,,
,,,92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,47,39,space,3.4541,14,3.2741,,,,,,83,0,73,73,83,1,,
,,,92,5e8a042b88674a69d75f7347,49,male,2022-11-21_12h54.25.295,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,39,39,space,4.6848,12,4.3239,,,,,,57,0,74,74,57,1,,
