button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[6.168999999999999],[6.168999999999999],1016,5c1a59395b2ab700015af793,32,female,2022-11-23_12h52.05.699,onlinegloss,2022.2.3,MacIntel,100,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1016,5c1a59395b2ab700015af793,32,female,2022-11-23_12h52.05.699,onlinegloss,2022.2.3,MacIntel,100,space,4.983,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1016,5c1a59395b2ab700015af793,32,female,2022-11-23_12h52.05.699,onlinegloss,2022.2.3,MacIntel,100,,,45.8,44.1,,,,,,,,,,,,,,,,,,,,,,,
,,,1016,5c1a59395b2ab700015af793,32,female,2022-11-23_12h52.05.699,onlinegloss,2022.2.3,MacIntel,100,,,,,space,264.834,,,,,,,,,,,,,,,,,,,,,
,,,1016,5c1a59395b2ab700015af793,32,female,2022-11-23_12h52.05.699,onlinegloss,2022.2.3,MacIntel,100,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1016,5c1a59395b2ab700015af793,32,female,2022-11-23_12h52.05.699,onlinegloss,2022.2.3,MacIntel,100,,,,,,,space,13.088,,,,,,,,,,,,,,,,,,,
,,,1016,5c1a59395b2ab700015af793,32,female,2022-11-23_12h52.05.699,onlinegloss,2022.2.3,MacIntel,100,,,,,,,,,26,1,space,6.429,37,5.794,0,0,0,0,1,101,,,,,,,
,,,1016,5c1a59395b2ab700015af793,32,female,2022-11-23_12h52.05.699,onlinegloss,2022.2.3,MacIntel,100,,,,,,,,,39,1,space,7.098,37,6.794,0,1,1,1,1,102,,,,,,,
,,,1016,5c1a59395b2ab700015af793,32,female,2022-11-23_12h52.05.699,onlinegloss,2022.2.3,MacIntel,100,,,,,,,,,40,1,space,8.322,18,8.123,,,,,,58,0,0,0,58,1,,
,,,1016,5c1a59395b2ab700015af793,32,female,2022-11-23_12h52.05.699,onlinegloss,2022.2.3,MacIntel,100,,,,,,,,,41,1,space,5.106,6,4.909,,,,,,22,0,1,1,22,1,,
,,,1016,5c1a59395b2ab700015af793,32,female,2022-11-23_12h52.05.699,onlinegloss,2022.2.3,MacIntel,100,,,,,,,,,48,1,space,3.355,22,3.144,,,,,,69,0,2,2,69,1,,
,,,1016,5c1a59395b2ab700015af793,32,female,2022-11-23_12h52.05.699,onlinegloss,2022.2.3,MacIntel,100,,,,,,,,,46,1,space,2.6,19,2.411,,,,,,2,0,3,3,2,1,,
,,,1016,5c1a59395b2ab700015af793,32,female,2022-11-23_12h52.05.699,onlinegloss,2022.2.3,MacIntel,100,,,,,,,,,36,1,space,2.14,1,1.648,,,,,,68,0,4,4,68,1,,
,,,1016,5c1a59395b2ab700015af793,32,female,2022-11-23_12h52.05.699,onlinegloss,2022.2.3,MacIntel,100,,,,,,,,,39,1,space,2.049,12,1.265,,,,,,52,0,5,5,52,1,,
,,,1016,5c1a59395b2ab700015af793,32,female,2022-11-23_12h52.05.699,onlinegloss,2022.2.3,MacIntel,100,,,,,,,,,30,1,space,2.617,1,2.438,,,,,,75,0,6,6,75,1,,
,,,1016,5c1a59395b2ab700015af793,32,female,2022-11-23_12h52.05.699,onlinegloss,2022.2.3,MacIntel,100,,,,,,,,,31,1,space,5.009,36,4.828,,,,,,27,0,7,7,27,1,,
,,,1016,5c1a59395b2ab700015af793,32,female,2022-11-23_12h52.05.699,onlinegloss,2022.2.3,MacIntel,100,,,,,,,,,32,1,space,3.392,23,3.245,,,,,,44,0,8,8,44,1,,
,,,1016,5c1a59395b2ab700015af793,32,female,2022-11-23_12h52.05.699,onlinegloss,2022.2.3,MacIntel,100,,,,,,,,,32,1,space,2.574,25,2.394,,,,,,77,0,9,9,77,1,,
,,,1016,5c1a59395b2ab700015af793,32,female,2022-11-23_12h52.05.699,onlinegloss,2022.2.3,MacIntel,100,,,,,,,,,44,1,space,3.208,22,3.011,,,,,,57,0,10,10,57,1,,
,,,1016,5c1a59395b2ab700015af793,32,female,2022-11-23_12h52.05.699,onlinegloss,2022.2.3,MacIntel,100,,,,,,,,,38,1,space,2.876,9,2.644,,,,,,25,0,11,11,25,1,,
,,,1016,5c1a59395b2ab700015af793,32,female,2022-11-23_12h52.05.699,onlinegloss,2022.2.3,MacIntel,100,,,,,,,,,28,1,space,2.596,6,2.344,,,,,,49,0,12,12,49,1,,
