button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[3.1944000000022363],[3.1944000000022363],745,623499c1de37d4c70abc20e7,56,female ,2022-11-22_17h01.57.110,onlinegloss,2022.2.3,Win32,59.69792848,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,745,623499c1de37d4c70abc20e7,56,female ,2022-11-22_17h01.57.110,onlinegloss,2022.2.3,Win32,59.69792848,space,9.7642,,,,,,,,,,,,,,,,,,,,,,,,,
,,,745,623499c1de37d4c70abc20e7,56,female ,2022-11-22_17h01.57.110,onlinegloss,2022.2.3,Win32,59.69792848,,,38.8,40,,,,,,,,,,,,,,,,,,,,,,,
,,,745,623499c1de37d4c70abc20e7,56,female ,2022-11-22_17h01.57.110,onlinegloss,2022.2.3,Win32,59.69792848,,,,,space,27.7537,,,,,,,,,,,,,,,,,,,,,
,,,745,623499c1de37d4c70abc20e7,56,female ,2022-11-22_17h01.57.110,onlinegloss,2022.2.3,Win32,59.69792848,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,745,623499c1de37d4c70abc20e7,56,female ,2022-11-22_17h01.57.110,onlinegloss,2022.2.3,Win32,59.69792848,,,,,,,space,3.2339,,,,,,,,,,,,,,,,,,,
,,,745,623499c1de37d4c70abc20e7,56,female ,2022-11-22_17h01.57.110,onlinegloss,2022.2.3,Win32,59.69792848,,,,,,,,,34,44,space,11.2162,34,10.1862,0,0,0,0,1,101,,,,,,,
,,,745,623499c1de37d4c70abc20e7,56,female ,2022-11-22_17h01.57.110,onlinegloss,2022.2.3,Win32,59.69792848,,,,,,,,,27,44,space,7.3768,23,5.9793,0,1,1,1,1,102,,,,,,,
,,,745,623499c1de37d4c70abc20e7,56,female ,2022-11-22_17h01.57.110,onlinegloss,2022.2.3,Win32,59.69792848,,,,,,,,,40,44,space,8.418,7,7.3895,,,,,,57,0,0,0,57,1,,
,,,745,623499c1de37d4c70abc20e7,56,female ,2022-11-22_17h01.57.110,onlinegloss,2022.2.3,Win32,59.69792848,,,,,,,,,37,44,space,4.3191,1,3.3038,,,,,,13,0,1,1,13,1,,
,,,745,623499c1de37d4c70abc20e7,56,female ,2022-11-22_17h01.57.110,onlinegloss,2022.2.3,Win32,59.69792848,,,,,,,,,29,44,space,3.376,5,2.2174,,,,,,3,0,2,2,3,1,,
,,,745,623499c1de37d4c70abc20e7,56,female ,2022-11-22_17h01.57.110,onlinegloss,2022.2.3,Win32,59.69792848,,,,,,,,,46,44,space,5.2469,41,4.0138,,,,,,1,0,3,3,1,1,,
,,,745,623499c1de37d4c70abc20e7,56,female ,2022-11-22_17h01.57.110,onlinegloss,2022.2.3,Win32,59.69792848,,,,,,,,,51,44,space,104.5805,38,103.6146,,,,,,45,0,4,4,45,1,,
,,,745,623499c1de37d4c70abc20e7,56,female ,2022-11-22_17h01.57.110,onlinegloss,2022.2.3,Win32,59.69792848,,,,,,,,,45,44,space,5.1894,18,4.1442,,,,,,9,0,5,5,9,1,,
,,,745,623499c1de37d4c70abc20e7,56,female ,2022-11-22_17h01.57.110,onlinegloss,2022.2.3,Win32,59.69792848,,,,,,,,,40,44,space,4.6729,39,4.4449,,,,,,74,0,6,6,74,1,,
,,,745,623499c1de37d4c70abc20e7,56,female ,2022-11-22_17h01.57.110,onlinegloss,2022.2.3,Win32,59.69792848,,,,,,,,,45,44,space,4.0917,27,3.2407,,,,,,78,0,7,7,78,1,,
,,,745,623499c1de37d4c70abc20e7,56,female ,2022-11-22_17h01.57.110,onlinegloss,2022.2.3,Win32,59.69792848,,,,,,,,,47,44,space,4.6731,28,4.3596,,,,,,83,0,8,8,83,1,,
,,,745,623499c1de37d4c70abc20e7,56,female ,2022-11-22_17h01.57.110,onlinegloss,2022.2.3,Win32,59.69792848,,,,,,,,,43,44,space,3.0109,21,2.1979,,,,,,72,0,9,9,72,1,,
