button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[2.057200000000016],[2.057200000000016],884,5e453c5cb1a5c9000db105da,41,female,2022-11-22_17h15.34.450,onlinegloss,2022.2.3,Win32,60.02040694,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,884,5e453c5cb1a5c9000db105da,41,female,2022-11-22_17h15.34.450,onlinegloss,2022.2.3,Win32,60.02040694,space,2.2764,,,,,,,,,,,,,,,,,,,,,,,,,
,,,884,5e453c5cb1a5c9000db105da,41,female,2022-11-22_17h15.34.450,onlinegloss,2022.2.3,Win32,60.02040694,,,44.3,44.9,,,,,,,,,,,,,,,,,,,,,,,
,,,884,5e453c5cb1a5c9000db105da,41,female,2022-11-22_17h15.34.450,onlinegloss,2022.2.3,Win32,60.02040694,,,,,space,152.7424,,,,,,,,,,,,,,,,,,,,,
,,,884,5e453c5cb1a5c9000db105da,41,female,2022-11-22_17h15.34.450,onlinegloss,2022.2.3,Win32,60.02040694,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,884,5e453c5cb1a5c9000db105da,41,female,2022-11-22_17h15.34.450,onlinegloss,2022.2.3,Win32,60.02040694,,,,,,,space,345.2508,,,,,,,,,,,,,,,,,,,
,,,884,5e453c5cb1a5c9000db105da,41,female,2022-11-22_17h15.34.450,onlinegloss,2022.2.3,Win32,60.02040694,,,,,,,,,28,21,space,7.1869,51,4.995,0,0,0,0,1,101,,,,,,,
,,,884,5e453c5cb1a5c9000db105da,41,female,2022-11-22_17h15.34.450,onlinegloss,2022.2.3,Win32,60.02040694,,,,,,,,,30,21,space,12.0793,34,10.0653,0,1,1,1,1,102,,,,,,,
,,,884,5e453c5cb1a5c9000db105da,41,female,2022-11-22_17h15.34.450,onlinegloss,2022.2.3,Win32,60.02040694,,,,,,,,,28,21,space,9.6691,5,8.7398,,,,,,19,0,0,0,19,1,,
,,,884,5e453c5cb1a5c9000db105da,41,female,2022-11-22_17h15.34.450,onlinegloss,2022.2.3,Win32,60.02040694,,,,,,,,,38,21,space,14.3464,27,14.096,,,,,,25,0,1,1,25,1,,
,,,884,5e453c5cb1a5c9000db105da,41,female,2022-11-22_17h15.34.450,onlinegloss,2022.2.3,Win32,60.02040694,,,,,,,,,34,21,space,7.6419,26,7.0519,,,,,,16,0,2,2,16,1,,
,,,884,5e453c5cb1a5c9000db105da,41,female,2022-11-22_17h15.34.450,onlinegloss,2022.2.3,Win32,60.02040694,,,,,,,,,51,21,space,5.5379,46,5.0333,,,,,,84,0,3,3,84,1,,
,,,884,5e453c5cb1a5c9000db105da,41,female,2022-11-22_17h15.34.450,onlinegloss,2022.2.3,Win32,60.02040694,,,,,,,,,40,21,space,11.0454,24,10.7141,,,,,,3,0,4,4,3,1,,
,,,884,5e453c5cb1a5c9000db105da,41,female,2022-11-22_17h15.34.450,onlinegloss,2022.2.3,Win32,60.02040694,,,,,,,,,27,21,space,11.6301,5,11.2468,,,,,,40,0,5,5,40,1,,
,,,884,5e453c5cb1a5c9000db105da,41,female,2022-11-22_17h15.34.450,onlinegloss,2022.2.3,Win32,60.02040694,,,,,,,,,40,21,space,4.0088,11,3.7709,,,,,,12,0,6,6,12,1,,
,,,884,5e453c5cb1a5c9000db105da,41,female,2022-11-22_17h15.34.450,onlinegloss,2022.2.3,Win32,60.02040694,,,,,,,,,33,21,space,3.6903,31,2.6426,,,,,,81,0,7,7,81,1,,
,,,884,5e453c5cb1a5c9000db105da,41,female,2022-11-22_17h15.34.450,onlinegloss,2022.2.3,Win32,60.02040694,,,,,,,,,45,21,space,5.3899,9,4.9518,,,,,,18,0,8,8,18,1,,
,,,884,5e453c5cb1a5c9000db105da,41,female,2022-11-22_17h15.34.450,onlinegloss,2022.2.3,Win32,60.02040694,,,,,,,,,35,21,space,4.1737,25,2.6952,,,,,,78,0,9,9,78,1,,
,,,884,5e453c5cb1a5c9000db105da,41,female,2022-11-22_17h15.34.450,onlinegloss,2022.2.3,Win32,60.02040694,,,,,,,,,48,21,space,7.6472,29,5.9402,,,,,,6,0,10,10,6,1,,
,,,884,5e453c5cb1a5c9000db105da,41,female,2022-11-22_17h15.34.450,onlinegloss,2022.2.3,Win32,60.02040694,,,,,,,,,40,21,space,4.2371,11,2.4063,,,,,,34,0,11,11,34,1,,
,,,884,5e453c5cb1a5c9000db105da,41,female,2022-11-22_17h15.34.450,onlinegloss,2022.2.3,Win32,60.02040694,,,,,,,,,47,21,space,4.6984,4,4.2206,,,,,,47,0,12,12,47,1,,
,,,884,5e453c5cb1a5c9000db105da,41,female,2022-11-22_17h15.34.450,onlinegloss,2022.2.3,Win32,60.02040694,,,,,,,,,43,21,space,5.9852,52,5.7089,,,,,,14,0,13,13,14,1,,
,,,884,5e453c5cb1a5c9000db105da,41,female,2022-11-22_17h15.34.450,onlinegloss,2022.2.3,Win32,60.02040694,,,,,,,,,48,21,space,5.9828,22,5.3593,,,,,,49,0,14,14,49,1,,
,,,884,5e453c5cb1a5c9000db105da,41,female,2022-11-22_17h15.34.450,onlinegloss,2022.2.3,Win32,60.02040694,,,,,,,,,33,21,space,4.0249,7,3.7913,,,,,,43,0,15,15,43,1,,
,,,884,5e453c5cb1a5c9000db105da,41,female,2022-11-22_17h15.34.450,onlinegloss,2022.2.3,Win32,60.02040694,,,,,,,,,36,21,space,5.2402,14,4.5068,,,,,,56,0,16,16,56,1,,
,,,884,5e453c5cb1a5c9000db105da,41,female,2022-11-22_17h15.34.450,onlinegloss,2022.2.3,Win32,60.02040694,,,,,,,,,30,21,space,3.5408,,,,,,,,54,0,17,17,54,1,,
,,,884,5e453c5cb1a5c9000db105da,41,female,2022-11-22_17h15.34.450,onlinegloss,2022.2.3,Win32,60.02040694,,,,,,,,,37,21,space,6.1887,23,5.036,,,,,,28,0,18,18,28,1,,
,,,884,5e453c5cb1a5c9000db105da,41,female,2022-11-22_17h15.34.450,onlinegloss,2022.2.3,Win32,60.02040694,,,,,,,,,38,21,space,4.6876,1,4.0897,,,,,,30,0,19,19,30,1,,
,,,884,5e453c5cb1a5c9000db105da,41,female,2022-11-22_17h15.34.450,onlinegloss,2022.2.3,Win32,60.02040694,,,,,,,,,36,21,space,6.9752,32,6.7874,,,,,,42,0,20,20,42,1,,
,,,884,5e453c5cb1a5c9000db105da,41,female,2022-11-22_17h15.34.450,onlinegloss,2022.2.3,Win32,60.02040694,,,,,,,,,50,21,space,3.8029,1,3.6052,,,,,,71,0,21,21,71,1,,
,,,884,5e453c5cb1a5c9000db105da,41,female,2022-11-22_17h15.34.450,onlinegloss,2022.2.3,Win32,60.02040694,,,,,,,,,47,21,space,6.3854,35,5.27,,,,,,35,0,22,22,35,1,,
,,,884,5e453c5cb1a5c9000db105da,41,female,2022-11-22_17h15.34.450,onlinegloss,2022.2.3,Win32,60.02040694,,,,,,,,,33,21,space,13.1564,16,10.9473,,,,,,65,0,23,23,65,1,,
,,,884,5e453c5cb1a5c9000db105da,41,female,2022-11-22_17h15.34.450,onlinegloss,2022.2.3,Win32,60.02040694,,,,,,,,,30,21,space,6.0675,37,5.1706,,,,,,23,0,24,24,23,1,,
,,,884,5e453c5cb1a5c9000db105da,41,female,2022-11-22_17h15.34.450,onlinegloss,2022.2.3,Win32,60.02040694,,,,,,,,,38,21,space,5.2512,20,4.6881,,,,,,48,0,25,25,48,1,,
,,,884,5e453c5cb1a5c9000db105da,41,female,2022-11-22_17h15.34.450,onlinegloss,2022.2.3,Win32,60.02040694,,,,,,,,,44,21,space,7.0508,30,3.3908,,,,,,64,0,26,26,64,1,,
