button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[2.787200000017883],[2.7876000000238434],705,5738b41e67421f000e18464c,46,male,2022-11-22_16h53.38.345,onlinegloss,2022.2.3,Win32,59.8372427,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,705,5738b41e67421f000e18464c,46,male,2022-11-22_16h53.38.345,onlinegloss,2022.2.3,Win32,59.8372427,space,7.5119,,,,,,,,,,,,,,,,,,,,,,,,,
,,,705,5738b41e67421f000e18464c,46,male,2022-11-22_16h53.38.345,onlinegloss,2022.2.3,Win32,59.8372427,,,41.8,41.1,,,,,,,,,,,,,,,,,,,,,,,
,,,705,5738b41e67421f000e18464c,46,male,2022-11-22_16h53.38.345,onlinegloss,2022.2.3,Win32,59.8372427,,,,,space,12.3471,,,,,,,,,,,,,,,,,,,,,
,,,705,5738b41e67421f000e18464c,46,male,2022-11-22_16h53.38.345,onlinegloss,2022.2.3,Win32,59.8372427,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,705,5738b41e67421f000e18464c,46,male,2022-11-22_16h53.38.345,onlinegloss,2022.2.3,Win32,59.8372427,,,,,,,space,9.7329,,,,,,,,,,,,,,,,,,,
,,,705,5738b41e67421f000e18464c,46,male,2022-11-22_16h53.38.345,onlinegloss,2022.2.3,Win32,59.8372427,,,,,,,,,51,4,space,8.4928,39,8.279,0,0,0,0,1,101,,,,,,,
,,,705,5738b41e67421f000e18464c,46,male,2022-11-22_16h53.38.345,onlinegloss,2022.2.3,Win32,59.8372427,,,,,,,,,50,4,space,2.52,,,0,1,1,1,1,102,,,,,,,
,,,705,5738b41e67421f000e18464c,46,male,2022-11-22_16h53.38.345,onlinegloss,2022.2.3,Win32,59.8372427,,,,,,,,,27,4,space,2.8642,44,2.7337,,,,,,41,0,0,0,41,1,,
,,,705,5738b41e67421f000e18464c,46,male,2022-11-22_16h53.38.345,onlinegloss,2022.2.3,Win32,59.8372427,,,,,,,,,33,4,space,4.8024,6,4.1626,,,,,,15,0,1,1,15,1,,
,,,705,5738b41e67421f000e18464c,46,male,2022-11-22_16h53.38.345,onlinegloss,2022.2.3,Win32,59.8372427,,,,,,,,,39,4,space,2.1935,8,1.945,,,,,,26,0,2,2,26,1,,
,,,705,5738b41e67421f000e18464c,46,male,2022-11-22_16h53.38.345,onlinegloss,2022.2.3,Win32,59.8372427,,,,,,,,,35,4,space,4.7916,32,4.6644,,,,,,84,0,3,3,84,1,,
,,,705,5738b41e67421f000e18464c,46,male,2022-11-22_16h53.38.345,onlinegloss,2022.2.3,Win32,59.8372427,,,,,,,,,49,4,space,1.9313,13,1.8285,,,,,,45,0,4,4,45,1,,
,,,705,5738b41e67421f000e18464c,46,male,2022-11-22_16h53.38.345,onlinegloss,2022.2.3,Win32,59.8372427,,,,,,,,,33,4,space,3.1147,38,2.7938,,,,,,72,0,5,5,72,1,,
,,,705,5738b41e67421f000e18464c,46,male,2022-11-22_16h53.38.345,onlinegloss,2022.2.3,Win32,59.8372427,,,,,,,,,34,4,space,2.5471,28,2.327,,,,,,29,0,6,6,29,1,,
,,,705,5738b41e67421f000e18464c,46,male,2022-11-22_16h53.38.345,onlinegloss,2022.2.3,Win32,59.8372427,,,,,,,,,30,4,space,3.3479,17,3.2074,,,,,,39,0,7,7,39,1,,
,,,705,5738b41e67421f000e18464c,46,male,2022-11-22_16h53.38.345,onlinegloss,2022.2.3,Win32,59.8372427,,,,,,,,,31,4,space,1.0313,,,,,,,,9,0,8,8,9,1,,
,,,705,5738b41e67421f000e18464c,46,male,2022-11-22_16h53.38.345,onlinegloss,2022.2.3,Win32,59.8372427,,,,,,,,,35,4,space,3.5327,24,3.0624,,,,,,4,0,9,9,4,1,,
,,,705,5738b41e67421f000e18464c,46,male,2022-11-22_16h53.38.345,onlinegloss,2022.2.3,Win32,59.8372427,,,,,,,,,41,4,space,2.5455,7,2.3113,,,,,,76,0,10,10,76,1,,
