button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[5.483899999976156],[5.483899999976156],742,5d1dddf22a76c70019a43cfc,54,male,2022-11-22_17h01.47.073,onlinegloss,2022.2.3,MacIntel,59.97361161,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,742,5d1dddf22a76c70019a43cfc,54,male,2022-11-22_17h01.47.073,onlinegloss,2022.2.3,MacIntel,59.97361161,space,63.9862,,,,,,,,,,,,,,,,,,,,,,,,,
,,,742,5d1dddf22a76c70019a43cfc,54,male,2022-11-22_17h01.47.073,onlinegloss,2022.2.3,MacIntel,59.97361161,,,44.7,43.9,,,,,,,,,,,,,,,,,,,,,,,
,,,742,5d1dddf22a76c70019a43cfc,54,male,2022-11-22_17h01.47.073,onlinegloss,2022.2.3,MacIntel,59.97361161,,,,,space,11.3382,,,,,,,,,,,,,,,,,,,,,
,,,742,5d1dddf22a76c70019a43cfc,54,male,2022-11-22_17h01.47.073,onlinegloss,2022.2.3,MacIntel,59.97361161,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,742,5d1dddf22a76c70019a43cfc,54,male,2022-11-22_17h01.47.073,onlinegloss,2022.2.3,MacIntel,59.97361161,,,,,,,space,32.854,,,,,,,,,,,,,,,,,,,
,,,742,5d1dddf22a76c70019a43cfc,54,male,2022-11-22_17h01.47.073,onlinegloss,2022.2.3,MacIntel,59.97361161,,,,,,,,,52,41,space,20.6816,25,19.4957,0,0,0,0,1,101,,,,,,,
,,,742,5d1dddf22a76c70019a43cfc,54,male,2022-11-22_17h01.47.073,onlinegloss,2022.2.3,MacIntel,59.97361161,,,,,,,,,36,41,space,8.2204,14,7.6072,0,1,1,1,1,102,,,,,,,
,,,742,5d1dddf22a76c70019a43cfc,54,male,2022-11-22_17h01.47.073,onlinegloss,2022.2.3,MacIntel,59.97361161,,,,,,,,,27,41,space,5.5418,7,4.9942,,,,,,63,0,0,0,63,1,,
,,,742,5d1dddf22a76c70019a43cfc,54,male,2022-11-22_17h01.47.073,onlinegloss,2022.2.3,MacIntel,59.97361161,,,,,,,,,37,41,space,7.6664,10,7.134,,,,,,76,0,1,1,76,1,,
,,,742,5d1dddf22a76c70019a43cfc,54,male,2022-11-22_17h01.47.073,onlinegloss,2022.2.3,MacIntel,59.97361161,,,,,,,,,31,41,space,7.6245,8,7.3133,,,,,,48,0,2,2,48,1,,
,,,742,5d1dddf22a76c70019a43cfc,54,male,2022-11-22_17h01.47.073,onlinegloss,2022.2.3,MacIntel,59.97361161,,,,,,,,,38,41,space,5.9958,5,5.4623,,,,,,75,0,3,3,75,1,,
,,,742,5d1dddf22a76c70019a43cfc,54,male,2022-11-22_17h01.47.073,onlinegloss,2022.2.3,MacIntel,59.97361161,,,,,,,,,47,41,space,5.8456,11,5.6328,,,,,,43,0,4,4,43,1,,
,,,742,5d1dddf22a76c70019a43cfc,54,male,2022-11-22_17h01.47.073,onlinegloss,2022.2.3,MacIntel,59.97361161,,,,,,,,,50,41,space,7.1982,3,7.0833,,,,,,50,0,5,5,50,1,,
,,,742,5d1dddf22a76c70019a43cfc,54,male,2022-11-22_17h01.47.073,onlinegloss,2022.2.3,MacIntel,59.97361161,,,,,,,,,43,41,space,11.4216,4,10.9487,,,,,,6,0,6,6,6,1,,
,,,742,5d1dddf22a76c70019a43cfc,54,male,2022-11-22_17h01.47.073,onlinegloss,2022.2.3,MacIntel,59.97361161,,,,,,,,,48,41,space,7.3823,2,7.0956,,,,,,22,0,7,7,22,1,,
