button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[4.076300000000279],[4.076399999999905],157,5f1bea7d46be2a4101756238,30,female,2022-11-22_09h20.36.600,onlinegloss,2022.2.3,Win32,60.28090904,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,157,5f1bea7d46be2a4101756238,30,female,2022-11-22_09h20.36.600,onlinegloss,2022.2.3,Win32,60.28090904,space,3.6637,,,,,,,,,,,,,,,,,,,,,,,,,
,,,157,5f1bea7d46be2a4101756238,30,female,2022-11-22_09h20.36.600,onlinegloss,2022.2.3,Win32,60.28090904,,,40.2,40,,,,,,,,,,,,,,,,,,,,,,,
,,,157,5f1bea7d46be2a4101756238,30,female,2022-11-22_09h20.36.600,onlinegloss,2022.2.3,Win32,60.28090904,,,,,space,6.4009,,,,,,,,,,,,,,,,,,,,,
,,,157,5f1bea7d46be2a4101756238,30,female,2022-11-22_09h20.36.600,onlinegloss,2022.2.3,Win32,60.28090904,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,157,5f1bea7d46be2a4101756238,30,female,2022-11-22_09h20.36.600,onlinegloss,2022.2.3,Win32,60.28090904,,,,,,,space,0.992,,,,,,,,,,,,,,,,,,,
,,,157,5f1bea7d46be2a4101756238,30,female,2022-11-22_09h20.36.600,onlinegloss,2022.2.3,Win32,60.28090904,,,,,,,,,33,50,space,15.5739,16,14.8303,0,0,0,0,1,101,,,,,,,
,,,157,5f1bea7d46be2a4101756238,30,female,2022-11-22_09h20.36.600,onlinegloss,2022.2.3,Win32,60.28090904,,,,,,,,,35,50,space,6.2626,37,6.061,0,1,1,1,1,102,,,,,,,
,,,157,5f1bea7d46be2a4101756238,30,female,2022-11-22_09h20.36.600,onlinegloss,2022.2.3,Win32,60.28090904,,,,,,,,,29,50,space,9.3044,5,8.7399,,,,,,37,0,0,0,37,1,,
,,,157,5f1bea7d46be2a4101756238,30,female,2022-11-22_09h20.36.600,onlinegloss,2022.2.3,Win32,60.28090904,,,,,,,,,28,50,space,8.4367,11,8.0784,,,,,,76,0,1,1,76,1,,
