button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[1.8175999999046297],[1.8177999999523138],595,5dd1ecdbb103ee2422c36429,43,Male,2022-11-22_14h51.39.909,onlinegloss,2022.2.3,Win32,61.35722175,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,595,5dd1ecdbb103ee2422c36429,43,Male,2022-11-22_14h51.39.909,onlinegloss,2022.2.3,Win32,61.35722175,space,4.9181,,,,,,,,,,,,,,,,,,,,,,,,,
,,,595,5dd1ecdbb103ee2422c36429,43,Male,2022-11-22_14h51.39.909,onlinegloss,2022.2.3,Win32,61.35722175,,,39.2,39.2,,,,,,,,,,,,,,,,,,,,,,,
,,,595,5dd1ecdbb103ee2422c36429,43,Male,2022-11-22_14h51.39.909,onlinegloss,2022.2.3,Win32,61.35722175,,,,,space,8.7531,,,,,,,,,,,,,,,,,,,,,
,,,595,5dd1ecdbb103ee2422c36429,43,Male,2022-11-22_14h51.39.909,onlinegloss,2022.2.3,Win32,61.35722175,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,595,5dd1ecdbb103ee2422c36429,43,Male,2022-11-22_14h51.39.909,onlinegloss,2022.2.3,Win32,61.35722175,,,,,,,space,24.4814,,,,,,,,,,,,,,,,,,,
,,,595,5dd1ecdbb103ee2422c36429,43,Male,2022-11-22_14h51.39.909,onlinegloss,2022.2.3,Win32,61.35722175,,,,,,,,,51,2,space,82.4186,,,0,0,0,0,1,101,,,,,,,
,,,595,5dd1ecdbb103ee2422c36429,43,Male,2022-11-22_14h51.39.909,onlinegloss,2022.2.3,Win32,61.35722175,,,,,,,,,37,2,space,12.7492,31,12.2191,0,1,1,1,1,102,,,,,,,
,,,595,5dd1ecdbb103ee2422c36429,43,Male,2022-11-22_14h51.39.909,onlinegloss,2022.2.3,Win32,61.35722175,,,,,,,,,46,2,space,5.228,33,4.9119,,,,,,11,0,0,0,11,1,,
,,,595,5dd1ecdbb103ee2422c36429,43,Male,2022-11-22_14h51.39.909,onlinegloss,2022.2.3,Win32,61.35722175,,,,,,,,,35,2,space,4.6406,10,4.4269,,,,,,8,0,1,1,8,1,,
