button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[7.042000000000002],[7.042000000000002],815,5c134ee7e32f86000165ba0d,24,female,2022-11-22_12h10.07.215,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,815,5c134ee7e32f86000165ba0d,24,female,2022-11-22_12h10.07.215,onlinegloss,2022.2.3,Win32,60.0240096,space,4.799,,,,,,,,,,,,,,,,,,,,,,,,,
,,,815,5c134ee7e32f86000165ba0d,24,female,2022-11-22_12h10.07.215,onlinegloss,2022.2.3,Win32,60.0240096,,,41.6,41.8,,,,,,,,,,,,,,,,,,,,,,,
,,,815,5c134ee7e32f86000165ba0d,24,female,2022-11-22_12h10.07.215,onlinegloss,2022.2.3,Win32,60.0240096,,,,,space,31.418,,,,,,,,,,,,,,,,,,,,,
,,,815,5c134ee7e32f86000165ba0d,24,female,2022-11-22_12h10.07.215,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,815,5c134ee7e32f86000165ba0d,24,female,2022-11-22_12h10.07.215,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,space,5.1,,,,,,,,,,,,,,,,,,,
,,,815,5c134ee7e32f86000165ba0d,24,female,2022-11-22_12h10.07.215,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,46,6,space,16.204,27,15.676,0,0,0,0,1,101,,,,,,,
,,,815,5c134ee7e32f86000165ba0d,24,female,2022-11-22_12h10.07.215,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,42,6,space,11.175,44,10.59,0,1,1,1,1,102,,,,,,,
,,,815,5c134ee7e32f86000165ba0d,24,female,2022-11-22_12h10.07.215,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,35,6,space,14.239,9,13.667,,,,,,36,0,0,0,36,1,,
,,,815,5c134ee7e32f86000165ba0d,24,female,2022-11-22_12h10.07.215,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,47,6,space,8.762,4,7.948,,,,,,30,0,1,1,30,1,,
,,,815,5c134ee7e32f86000165ba0d,24,female,2022-11-22_12h10.07.215,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,32,6,space,7.709,45,7.447,,,,,,17,0,2,2,17,1,,
,,,815,5c134ee7e32f86000165ba0d,24,female,2022-11-22_12h10.07.215,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,42,6,space,3.279,1,1.972,,,,,,19,0,3,3,19,1,,
,,,815,5c134ee7e32f86000165ba0d,24,female,2022-11-22_12h10.07.215,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,30,6,space,6.25,20,5.823,,,,,,40,0,4,4,40,1,,
,,,815,5c134ee7e32f86000165ba0d,24,female,2022-11-22_12h10.07.215,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,40,6,space,3.016,1,2.41,,,,,,79,0,5,5,79,1,,
,,,815,5c134ee7e32f86000165ba0d,24,female,2022-11-22_12h10.07.215,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,39,6,space,2.719,1,1.889,,,,,,43,0,6,6,43,1,,
,,,815,5c134ee7e32f86000165ba0d,24,female,2022-11-22_12h10.07.215,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,47,6,space,6.167,27,5.195,,,,,,39,0,7,7,39,1,,
,,,815,5c134ee7e32f86000165ba0d,24,female,2022-11-22_12h10.07.215,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,46,6,space,6.083,1,4.13,,,,,,0,0,8,8,0,1,,
,,,815,5c134ee7e32f86000165ba0d,24,female,2022-11-22_12h10.07.215,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,52,6,space,7.177,3,6.646,,,,,,26,0,9,9,26,1,,
,,,815,5c134ee7e32f86000165ba0d,24,female,2022-11-22_12h10.07.215,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,50,6,space,4.229,52,2.356,,,,,,8,0,10,10,8,1,,
,,,815,5c134ee7e32f86000165ba0d,24,female,2022-11-22_12h10.07.215,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,40,6,space,5.247,8,4.245,,,,,,48,0,11,11,48,1,,
,,,815,5c134ee7e32f86000165ba0d,24,female,2022-11-22_12h10.07.215,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,49,6,space,5.45,1,2.84,,,,,,41,0,12,12,41,1,,
,,,815,5c134ee7e32f86000165ba0d,24,female,2022-11-22_12h10.07.215,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,38,6,space,7.501,37,6.362,,,,,,25,0,13,13,25,1,,
,,,815,5c134ee7e32f86000165ba0d,24,female,2022-11-22_12h10.07.215,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,29,6,space,9.301,1,8.39,,,,,,32,0,14,14,32,1,,
,,,815,5c134ee7e32f86000165ba0d,24,female,2022-11-22_12h10.07.215,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,33,6,space,7,7,6.554,,,,,,56,0,15,15,56,1,,
,,,815,5c134ee7e32f86000165ba0d,24,female,2022-11-22_12h10.07.215,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,36,6,space,4.439,13,3.305,,,,,,70,0,16,16,70,1,,
,,,815,5c134ee7e32f86000165ba0d,24,female,2022-11-22_12h10.07.215,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,29,6,space,5,19,4.281,,,,,,37,0,17,17,37,1,,
,,,815,5c134ee7e32f86000165ba0d,24,female,2022-11-22_12h10.07.215,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,31,6,space,6.161,1,5.661,,,,,,12,0,18,18,12,1,,
,,,815,5c134ee7e32f86000165ba0d,24,female,2022-11-22_12h10.07.215,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,45,6,space,4.778,7,4.173,,,,,,22,0,19,19,22,1,,
,,,815,5c134ee7e32f86000165ba0d,24,female,2022-11-22_12h10.07.215,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,37,6,space,7.144,36,6.626,,,,,,23,0,20,20,23,1,,
,,,815,5c134ee7e32f86000165ba0d,24,female,2022-11-22_12h10.07.215,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,43,6,space,4.622,39,3.606,,,,,,5,0,21,21,5,1,,
,,,815,5c134ee7e32f86000165ba0d,24,female,2022-11-22_12h10.07.215,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,43,6,space,4.647,8,4.256,,,,,,55,0,22,22,55,1,,
,,,815,5c134ee7e32f86000165ba0d,24,female,2022-11-22_12h10.07.215,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,48,6,space,5.371,18,4.989,,,,,,9,0,23,23,9,1,,
