button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[14.088200000047689],[14.088299999952323],1004,62cd6d4782c0ed3aa97b5ea4,42,male,2022-11-23_11h59.09.325,onlinegloss,2022.2.3,Win32,60.13590715,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1004,62cd6d4782c0ed3aa97b5ea4,42,male,2022-11-23_11h59.09.325,onlinegloss,2022.2.3,Win32,60.13590715,space,14.2584,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1004,62cd6d4782c0ed3aa97b5ea4,42,male,2022-11-23_11h59.09.325,onlinegloss,2022.2.3,Win32,60.13590715,,,37,37.2,,,,,,,,,,,,,,,,,,,,,,,
,,,1004,62cd6d4782c0ed3aa97b5ea4,42,male,2022-11-23_11h59.09.325,onlinegloss,2022.2.3,Win32,60.13590715,,,,,space,8.9584,,,,,,,,,,,,,,,,,,,,,
,,,1004,62cd6d4782c0ed3aa97b5ea4,42,male,2022-11-23_11h59.09.325,onlinegloss,2022.2.3,Win32,60.13590715,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1004,62cd6d4782c0ed3aa97b5ea4,42,male,2022-11-23_11h59.09.325,onlinegloss,2022.2.3,Win32,60.13590715,,,,,,,space,14.5993,,,,,,,,,,,,,,,,,,,
,,,1004,62cd6d4782c0ed3aa97b5ea4,42,male,2022-11-23_11h59.09.325,onlinegloss,2022.2.3,Win32,60.13590715,,,,,,,,,44,1,space,16.6445,42,11.1107,0,0,0,0,1,101,,,,,,,
,,,1004,62cd6d4782c0ed3aa97b5ea4,42,male,2022-11-23_11h59.09.325,onlinegloss,2022.2.3,Win32,60.13590715,,,,,,,,,36,1,space,9.6777,30,8.9149,0,1,1,1,1,102,,,,,,,
,,,1004,62cd6d4782c0ed3aa97b5ea4,42,male,2022-11-23_11h59.09.325,onlinegloss,2022.2.3,Win32,60.13590715,,,,,,,,,47,1,space,5.6964,20,4.6961,,,,,,47,0,0,0,47,1,,
,,,1004,62cd6d4782c0ed3aa97b5ea4,42,male,2022-11-23_11h59.09.325,onlinegloss,2022.2.3,Win32,60.13590715,,,,,,,,,40,1,space,9.948,23,9.5814,,,,,,42,0,1,1,42,1,,
,,,1004,62cd6d4782c0ed3aa97b5ea4,42,male,2022-11-23_11h59.09.325,onlinegloss,2022.2.3,Win32,60.13590715,,,,,,,,,40,1,space,5.2318,18,4.9652,,,,,,45,0,2,2,45,1,,
,,,1004,62cd6d4782c0ed3aa97b5ea4,42,male,2022-11-23_11h59.09.325,onlinegloss,2022.2.3,Win32,60.13590715,,,,,,,,,43,1,space,6.2142,38,5.7986,,,,,,57,0,3,3,57,1,,
,,,1004,62cd6d4782c0ed3aa97b5ea4,42,male,2022-11-23_11h59.09.325,onlinegloss,2022.2.3,Win32,60.13590715,,,,,,,,,44,1,space,5.7304,12,4.9976,,,,,,64,0,4,4,64,1,,
,,,1004,62cd6d4782c0ed3aa97b5ea4,42,male,2022-11-23_11h59.09.325,onlinegloss,2022.2.3,Win32,60.13590715,,,,,,,,,37,1,space,7.1312,24,6.7824,,,,,,71,0,5,5,71,1,,
,,,1004,62cd6d4782c0ed3aa97b5ea4,42,male,2022-11-23_11h59.09.325,onlinegloss,2022.2.3,Win32,60.13590715,,,,,,,,,49,1,space,5.7649,9,4.549,,,,,,78,0,6,6,78,1,,
,,,1004,62cd6d4782c0ed3aa97b5ea4,42,male,2022-11-23_11h59.09.325,onlinegloss,2022.2.3,Win32,60.13590715,,,,,,,,,30,1,space,5.3982,32,5.1647,,,,,,65,0,7,7,65,1,,
,,,1004,62cd6d4782c0ed3aa97b5ea4,42,male,2022-11-23_11h59.09.325,onlinegloss,2022.2.3,Win32,60.13590715,,,,,,,,,31,1,space,7.0132,11,5.0818,,,,,,5,0,8,8,5,1,,
,,,1004,62cd6d4782c0ed3aa97b5ea4,42,male,2022-11-23_11h59.09.325,onlinegloss,2022.2.3,Win32,60.13590715,,,,,,,,,39,1,space,5.0395,18,3.8488,,,,,,3,0,9,9,3,1,,
,,,1004,62cd6d4782c0ed3aa97b5ea4,42,male,2022-11-23_11h59.09.325,onlinegloss,2022.2.3,Win32,60.13590715,,,,,,,,,43,1,space,5.867,11,5.3699,,,,,,53,0,10,10,53,1,,
,,,1004,62cd6d4782c0ed3aa97b5ea4,42,male,2022-11-23_11h59.09.325,onlinegloss,2022.2.3,Win32,60.13590715,,,,,,,,,32,1,space,3.4973,30,3.0649,,,,,,77,0,11,11,77,1,,
,,,1004,62cd6d4782c0ed3aa97b5ea4,42,male,2022-11-23_11h59.09.325,onlinegloss,2022.2.3,Win32,60.13590715,,,,,,,,,28,1,space,3.2483,15,2.6817,,,,,,82,0,12,12,82,1,,
