button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[14.610099999999974],[14.610099999999974],153,5e624934628597000be6b240,31,Male,2022-11-22_09h20.18.420,onlinegloss,2022.2.3,Win32,59.72645285,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,153,5e624934628597000be6b240,31,Male,2022-11-22_09h20.18.420,onlinegloss,2022.2.3,Win32,59.72645285,space,43.5965,,,,,,,,,,,,,,,,,,,,,,,,,
,,,153,5e624934628597000be6b240,31,Male,2022-11-22_09h20.18.420,onlinegloss,2022.2.3,Win32,59.72645285,,,36.2,36.1,,,,,,,,,,,,,,,,,,,,,,,
,,,153,5e624934628597000be6b240,31,Male,2022-11-22_09h20.18.420,onlinegloss,2022.2.3,Win32,59.72645285,,,,,space,22.7247,,,,,,,,,,,,,,,,,,,,,
,,,153,5e624934628597000be6b240,31,Male,2022-11-22_09h20.18.420,onlinegloss,2022.2.3,Win32,59.72645285,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,153,5e624934628597000be6b240,31,Male,2022-11-22_09h20.18.420,onlinegloss,2022.2.3,Win32,59.72645285,,,,,,,space,20.6618,,,,,,,,,,,,,,,,,,,
,,,153,5e624934628597000be6b240,31,Male,2022-11-22_09h20.18.420,onlinegloss,2022.2.3,Win32,59.72645285,,,,,,,,,50,46,space,10.4493,23,9.7938,0,0,0,0,1,101,,,,,,,
,,,153,5e624934628597000be6b240,31,Male,2022-11-22_09h20.18.420,onlinegloss,2022.2.3,Win32,59.72645285,,,,,,,,,28,46,space,12.3415,19,11.9671,0,1,1,1,1,102,,,,,,,
,,,153,5e624934628597000be6b240,31,Male,2022-11-22_09h20.18.420,onlinegloss,2022.2.3,Win32,59.72645285,,,,,,,,,38,46,space,3.9293,14,3.4754,,,,,,47,0,0,0,47,1,,
,,,153,5e624934628597000be6b240,31,Male,2022-11-22_09h20.18.420,onlinegloss,2022.2.3,Win32,59.72645285,,,,,,,,,40,46,space,12.8121,34,12.4621,,,,,,55,0,1,1,55,1,,
,,,153,5e624934628597000be6b240,31,Male,2022-11-22_09h20.18.420,onlinegloss,2022.2.3,Win32,59.72645285,,,,,,,,,48,46,space,4.2865,1,3.8502,,,,,,46,0,2,2,46,1,,
,,,153,5e624934628597000be6b240,31,Male,2022-11-22_09h20.18.420,onlinegloss,2022.2.3,Win32,59.72645285,,,,,,,,,44,46,space,5.0694,16,4.8192,,,,,,9,0,3,3,9,1,,
,,,153,5e624934628597000be6b240,31,Male,2022-11-22_09h20.18.420,onlinegloss,2022.2.3,Win32,59.72645285,,,,,,,,,27,46,space,5.1146,26,4.8164,,,,,,23,0,4,4,23,1,,
,,,153,5e624934628597000be6b240,31,Male,2022-11-22_09h20.18.420,onlinegloss,2022.2.3,Win32,59.72645285,,,,,,,,,35,46,space,2.7089,16,2.6127,,,,,,73,0,5,5,73,1,,
,,,153,5e624934628597000be6b240,31,Male,2022-11-22_09h20.18.420,onlinegloss,2022.2.3,Win32,59.72645285,,,,,,,,,41,46,space,18.093,13,17.9683,,,,,,70,0,6,6,70,1,,
,,,153,5e624934628597000be6b240,31,Male,2022-11-22_09h20.18.420,onlinegloss,2022.2.3,Win32,59.72645285,,,,,,,,,32,46,space,5.4815,9,5.1516,,,,,,59,0,7,7,59,1,,
