button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[6.3752999999821185],[6.37539999997616],1012,566e1aec744e3e0005b4e668,42,male,2022-11-23_12h04.31.412,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1012,566e1aec744e3e0005b4e668,42,male,2022-11-23_12h04.31.412,onlinegloss,2022.2.3,Win32,60.06727535,space,5.8057,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1012,566e1aec744e3e0005b4e668,42,male,2022-11-23_12h04.31.412,onlinegloss,2022.2.3,Win32,60.06727535,,,44.6,44.7,,,,,,,,,,,,,,,,,,,,,,,
,,,1012,566e1aec744e3e0005b4e668,42,male,2022-11-23_12h04.31.412,onlinegloss,2022.2.3,Win32,60.06727535,,,,,space,11.5864,,,,,,,,,,,,,,,,,,,,,
,,,1012,566e1aec744e3e0005b4e668,42,male,2022-11-23_12h04.31.412,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1012,566e1aec744e3e0005b4e668,42,male,2022-11-23_12h04.31.412,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,space,35.02,,,,,,,,,,,,,,,,,,,
,,,1012,566e1aec744e3e0005b4e668,42,male,2022-11-23_12h04.31.412,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,35,1,space,22.0097,40,16.3436,0,0,0,0,1,101,,,,,,,
,,,1012,566e1aec744e3e0005b4e668,42,male,2022-11-23_12h04.31.412,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,51,1,space,10.8603,40,8.3771,0,1,1,1,1,102,,,,,,,
,,,1012,566e1aec744e3e0005b4e668,42,male,2022-11-23_12h04.31.412,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,27,1,space,8.058,23,7.5264,,,,,,64,0,0,0,64,1,,
,,,1012,566e1aec744e3e0005b4e668,42,male,2022-11-23_12h04.31.412,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,32,1,space,4.6315,1,4.1749,,,,,,21,0,1,1,21,1,,
,,,1012,566e1aec744e3e0005b4e668,42,male,2022-11-23_12h04.31.412,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,45,1,space,8.1573,45,7.7723,,,,,,84,0,2,2,84,1,,
,,,1012,566e1aec744e3e0005b4e668,42,male,2022-11-23_12h04.31.412,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,41,1,space,16.2589,38,15.7121,,,,,,57,0,3,3,57,1,,
,,,1012,566e1aec744e3e0005b4e668,42,male,2022-11-23_12h04.31.412,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,48,1,space,7.356,37,7.1368,,,,,,42,0,4,4,42,1,,
,,,1012,566e1aec744e3e0005b4e668,42,male,2022-11-23_12h04.31.412,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,28,1,space,8.5529,15,7.9489,,,,,,61,0,5,5,61,1,,
,,,1012,566e1aec744e3e0005b4e668,42,male,2022-11-23_12h04.31.412,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,42,1,space,7.4116,17,6.8737,,,,,,20,0,6,6,20,1,,
,,,1012,566e1aec744e3e0005b4e668,42,male,2022-11-23_12h04.31.412,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,47,1,space,8.7296,26,8.2068,,,,,,48,0,7,7,48,1,,
,,,1012,566e1aec744e3e0005b4e668,42,male,2022-11-23_12h04.31.412,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,33,1,space,9.449,34,9.1044,,,,,,47,0,8,8,47,1,,
,,,1012,566e1aec744e3e0005b4e668,42,male,2022-11-23_12h04.31.412,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,30,1,space,9.0286,42,8.7128,,,,,,81,0,9,9,81,1,,
,,,1012,566e1aec744e3e0005b4e668,42,male,2022-11-23_12h04.31.412,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,40,1,space,8.2112,19,7.6797,,,,,,1,0,10,10,1,1,,
,,,1012,566e1aec744e3e0005b4e668,42,male,2022-11-23_12h04.31.412,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,36,1,space,9.4314,20,8.8346,,,,,,31,0,11,11,31,1,,
,,,1012,566e1aec744e3e0005b4e668,42,male,2022-11-23_12h04.31.412,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,50,1,space,8.9142,7,8.489,,,,,,15,0,12,12,15,1,,
,,,1012,566e1aec744e3e0005b4e668,42,male,2022-11-23_12h04.31.412,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,33,1,space,7.2819,13,6.7367,,,,,,53,0,13,13,53,1,,
,,,1012,566e1aec744e3e0005b4e668,42,male,2022-11-23_12h04.31.412,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,47,1,space,5.5947,22,5.2809,,,,,,50,0,14,14,50,1,,
,,,1012,566e1aec744e3e0005b4e668,42,male,2022-11-23_12h04.31.412,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,34,1,space,4.7565,35,4.3659,,,,,,12,0,15,15,12,1,,
,,,1012,566e1aec744e3e0005b4e668,42,male,2022-11-23_12h04.31.412,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,34,1,space,6.8518,34,6.4918,,,,,,28,0,16,16,28,1,,
,,,1012,566e1aec744e3e0005b4e668,42,male,2022-11-23_12h04.31.412,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,42,1,space,6.9224,48,6.3381,,,,,,38,0,17,17,38,1,,
,,,1012,566e1aec744e3e0005b4e668,42,male,2022-11-23_12h04.31.412,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,36,1,space,7.8347,20,7.3134,,,,,,83,0,18,18,83,1,,
,,,1012,566e1aec744e3e0005b4e668,42,male,2022-11-23_12h04.31.412,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,43,1,space,13.6968,20,13.5127,,,,,,44,0,19,19,44,1,,
,,,1012,566e1aec744e3e0005b4e668,42,male,2022-11-23_12h04.31.412,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,29,1,space,8.3581,28,6.9884,,,,,,11,0,20,20,11,1,,
,,,1012,566e1aec744e3e0005b4e668,42,male,2022-11-23_12h04.31.412,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,40,1,space,9.0474,16,8.5627,,,,,,41,0,21,21,41,1,,
,,,1012,566e1aec744e3e0005b4e668,42,male,2022-11-23_12h04.31.412,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,51,1,space,6.9164,26,6.6965,,,,,,76,0,22,22,76,1,,
,,,1012,566e1aec744e3e0005b4e668,42,male,2022-11-23_12h04.31.412,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,48,1,space,7.7972,19,7.5802,,,,,,2,0,23,23,2,1,,
,,,1012,566e1aec744e3e0005b4e668,42,male,2022-11-23_12h04.31.412,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,48,1,space,11.0999,25,10.8366,,,,,,54,0,24,24,54,1,,
,,,1012,566e1aec744e3e0005b4e668,42,male,2022-11-23_12h04.31.412,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,32,1,space,7.6379,27,7.324,,,,,,56,0,25,25,56,1,,
,,,1012,566e1aec744e3e0005b4e668,42,male,2022-11-23_12h04.31.412,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,41,1,space,6.4765,36,6.2234,,,,,,74,0,26,26,74,1,,
,,,1012,566e1aec744e3e0005b4e668,42,male,2022-11-23_12h04.31.412,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,30,1,space,12.7487,1,7.4441,,,,,,0,0,27,27,0,1,,
,,,1012,566e1aec744e3e0005b4e668,42,male,2022-11-23_12h04.31.412,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,39,1,space,10.4531,16,9.3225,,,,,,14,0,28,28,14,1,,
,,,1012,566e1aec744e3e0005b4e668,42,male,2022-11-23_12h04.31.412,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,40,1,space,8.0986,32,7.7974,,,,,,19,0,29,29,19,1,,
,,,1012,566e1aec744e3e0005b4e668,42,male,2022-11-23_12h04.31.412,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,42,1,space,5.0341,33,4.5877,,,,,,16,0,30,30,16,1,,
,,,1012,566e1aec744e3e0005b4e668,42,male,2022-11-23_12h04.31.412,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,45,1,space,6.4471,27,6.0791,,,,,,55,0,31,31,55,1,,
,,,1012,566e1aec744e3e0005b4e668,42,male,2022-11-23_12h04.31.412,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,33,1,space,5.1976,29,5.0123,,,,,,7,0,32,32,7,1,,
,,,1012,566e1aec744e3e0005b4e668,42,male,2022-11-23_12h04.31.412,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,37,1,space,9.303,20,8.7306,,,,,,43,0,33,33,43,1,,
,,,1012,566e1aec744e3e0005b4e668,42,male,2022-11-23_12h04.31.412,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,35,1,space,7.5677,21,7.2001,,,,,,71,0,34,34,71,1,,
,,,1012,566e1aec744e3e0005b4e668,42,male,2022-11-23_12h04.31.412,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,46,1,space,10.1145,24,9.6028,,,,,,22,0,35,35,22,1,,
,,,1012,566e1aec744e3e0005b4e668,42,male,2022-11-23_12h04.31.412,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,40,1,space,9.3531,32,8.9972,,,,,,23,0,36,36,23,1,,
,,,1012,566e1aec744e3e0005b4e668,42,male,2022-11-23_12h04.31.412,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,48,1,space,5.9176,27,5.4991,,,,,,35,0,37,37,35,1,,
,,,1012,566e1aec744e3e0005b4e668,42,male,2022-11-23_12h04.31.412,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,32,1,space,6.4885,41,6.2049,,,,,,37,0,38,38,37,1,,
,,,1012,566e1aec744e3e0005b4e668,42,male,2022-11-23_12h04.31.412,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,48,1,space,8.0254,14,7.482,,,,,,40,0,39,39,40,1,,
,,,1012,566e1aec744e3e0005b4e668,42,male,2022-11-23_12h04.31.412,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,50,1,space,7.9237,24,7.5872,,,,,,78,0,40,40,78,1,,
,,,1012,566e1aec744e3e0005b4e668,42,male,2022-11-23_12h04.31.412,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,52,1,space,8.7566,22,8.6151,,,,,,58,0,41,41,58,1,,
,,,1012,566e1aec744e3e0005b4e668,42,male,2022-11-23_12h04.31.412,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,40,1,space,6.408,10,6.0381,,,,,,79,0,42,42,79,1,,
,,,1012,566e1aec744e3e0005b4e668,42,male,2022-11-23_12h04.31.412,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,33,1,space,6.4661,23,6.2814,,,,,,29,0,43,43,29,1,,
,,,1012,566e1aec744e3e0005b4e668,42,male,2022-11-23_12h04.31.412,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,32,1,space,9.2349,21,8.9991,,,,,,30,0,44,44,30,1,,
,,,1012,566e1aec744e3e0005b4e668,42,male,2022-11-23_12h04.31.412,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,32,1,space,8.2095,28,8.021,,,,,,33,0,45,45,33,1,,
,,,1012,566e1aec744e3e0005b4e668,42,male,2022-11-23_12h04.31.412,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,31,1,space,6.9662,23,6.3801,,,,,,17,0,46,46,17,1,,
,,,1012,566e1aec744e3e0005b4e668,42,male,2022-11-23_12h04.31.412,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,34,1,space,9.5224,3,8.3983,,,,,,49,0,47,47,49,1,,
,,,1012,566e1aec744e3e0005b4e668,42,male,2022-11-23_12h04.31.412,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,47,1,space,8.5118,34,8.04,,,,,,69,0,48,48,69,1,,
,,,1012,566e1aec744e3e0005b4e668,42,male,2022-11-23_12h04.31.412,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,30,1,space,10.3284,21,10.0552,,,,,,24,0,49,49,24,1,,
