button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[10.824899999976168],[10.825000000000003],723,5ec6be322a1c090e1f681ed5,40,female,2022-11-22_16h59.33.693,onlinegloss,2022.2.3,Win32,60.57669009,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,723,5ec6be322a1c090e1f681ed5,40,female,2022-11-22_16h59.33.693,onlinegloss,2022.2.3,Win32,60.57669009,space,10.9957,,,,,,,,,,,,,,,,,,,,,,,,,
,,,723,5ec6be322a1c090e1f681ed5,40,female,2022-11-22_16h59.33.693,onlinegloss,2022.2.3,Win32,60.57669009,,,44.9,44.8,,,,,,,,,,,,,,,,,,,,,,,
,,,723,5ec6be322a1c090e1f681ed5,40,female,2022-11-22_16h59.33.693,onlinegloss,2022.2.3,Win32,60.57669009,,,,,space,15.8178,,,,,,,,,,,,,,,,,,,,,
,,,723,5ec6be322a1c090e1f681ed5,40,female,2022-11-22_16h59.33.693,onlinegloss,2022.2.3,Win32,60.57669009,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,723,5ec6be322a1c090e1f681ed5,40,female,2022-11-22_16h59.33.693,onlinegloss,2022.2.3,Win32,60.57669009,,,,,,,space,32.3792,,,,,,,,,,,,,,,,,,,
,,,723,5ec6be322a1c090e1f681ed5,40,female,2022-11-22_16h59.33.693,onlinegloss,2022.2.3,Win32,60.57669009,,,,,,,,,46,22,space,16.742,12,12.9074,0,0,0,0,1,101,,,,,,,
,,,723,5ec6be322a1c090e1f681ed5,40,female,2022-11-22_16h59.33.693,onlinegloss,2022.2.3,Win32,60.57669009,,,,,,,,,48,22,space,9.179,24,8.6845,0,1,1,1,1,102,,,,,,,
,,,723,5ec6be322a1c090e1f681ed5,40,female,2022-11-22_16h59.33.693,onlinegloss,2022.2.3,Win32,60.57669009,,,,,,,,,40,22,space,11.428,18,8.8517,,,,,,70,0,0,0,70,1,,
,,,723,5ec6be322a1c090e1f681ed5,40,female,2022-11-22_16h59.33.693,onlinegloss,2022.2.3,Win32,60.57669009,,,,,,,,,44,22,space,15.0277,7,14.5717,,,,,,28,0,1,1,28,1,,
,,,723,5ec6be322a1c090e1f681ed5,40,female,2022-11-22_16h59.33.693,onlinegloss,2022.2.3,Win32,60.57669009,,,,,,,,,51,22,space,3.999,1,3.5084,,,,,,3,0,2,2,3,1,,
,,,723,5ec6be322a1c090e1f681ed5,40,female,2022-11-22_16h59.33.693,onlinegloss,2022.2.3,Win32,60.57669009,,,,,,,,,35,22,space,5.812,1,3.4615,,,,,,79,0,3,3,79,1,,
,,,723,5ec6be322a1c090e1f681ed5,40,female,2022-11-22_16h59.33.693,onlinegloss,2022.2.3,Win32,60.57669009,,,,,,,,,29,22,space,9.6929,16,9.3775,,,,,,1,0,4,4,1,1,,
,,,723,5ec6be322a1c090e1f681ed5,40,female,2022-11-22_16h59.33.693,onlinegloss,2022.2.3,Win32,60.57669009,,,,,,,,,45,22,space,16.1051,2,4.8245,,,,,,31,0,5,5,31,1,,
,,,723,5ec6be322a1c090e1f681ed5,40,female,2022-11-22_16h59.33.693,onlinegloss,2022.2.3,Win32,60.57669009,,,,,,,,,29,22,space,5.2562,1,3.2424,,,,,,82,0,6,6,82,1,,
,,,723,5ec6be322a1c090e1f681ed5,40,female,2022-11-22_16h59.33.693,onlinegloss,2022.2.3,Win32,60.57669009,,,,,,,,,33,22,space,9.577,8,9.1775,,,,,,34,0,7,7,34,1,,
,,,723,5ec6be322a1c090e1f681ed5,40,female,2022-11-22_16h59.33.693,onlinegloss,2022.2.3,Win32,60.57669009,,,,,,,,,29,22,space,18.0924,5,17.7501,,,,,,67,0,8,8,67,1,,
,,,723,5ec6be322a1c090e1f681ed5,40,female,2022-11-22_16h59.33.693,onlinegloss,2022.2.3,Win32,60.57669009,,,,,,,,,49,22,space,5.2911,14,4.8563,,,,,,40,0,9,9,40,1,,
,,,723,5ec6be322a1c090e1f681ed5,40,female,2022-11-22_16h59.33.693,onlinegloss,2022.2.3,Win32,60.57669009,,,,,,,,,29,22,space,6.9311,12,5.8328,,,,,,5,0,10,10,5,1,,
