button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[3.1980000000000004],[3.1980000000000004],855,580631fec912790001bec57f,25,Male,2022-11-22_17h12.57.127,onlinegloss,2022.2.3,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,855,580631fec912790001bec57f,25,Male,2022-11-22_17h12.57.127,onlinegloss,2022.2.3,MacIntel,58.82352941,space,3.73,,,,,,,,,,,,,,,,,,,,,,,,,
,,,855,580631fec912790001bec57f,25,Male,2022-11-22_17h12.57.127,onlinegloss,2022.2.3,MacIntel,58.82352941,,,51.1,49.5,,,,,,,,,,,,,,,,,,,,,,,
,,,855,580631fec912790001bec57f,25,Male,2022-11-22_17h12.57.127,onlinegloss,2022.2.3,MacIntel,58.82352941,,,,,space,11.382,,,,,,,,,,,,,,,,,,,,,
,,,855,580631fec912790001bec57f,25,Male,2022-11-22_17h12.57.127,onlinegloss,2022.2.3,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,855,580631fec912790001bec57f,25,Male,2022-11-22_17h12.57.127,onlinegloss,2022.2.3,MacIntel,58.82352941,,,,,,,space,11.736,,,,,,,,,,,,,,,,,,,
,,,855,580631fec912790001bec57f,25,Male,2022-11-22_17h12.57.127,onlinegloss,2022.2.3,MacIntel,58.82352941,,,,,,,,,29,46,space,10.14,52,9.558,0,0,0,0,1,101,,,,,,,
,,,855,580631fec912790001bec57f,25,Male,2022-11-22_17h12.57.127,onlinegloss,2022.2.3,MacIntel,58.82352941,,,,,,,,,48,46,space,5.262,35,4.667,0,1,1,1,1,102,,,,,,,
,,,855,580631fec912790001bec57f,25,Male,2022-11-22_17h12.57.127,onlinegloss,2022.2.3,MacIntel,58.82352941,,,,,,,,,49,46,space,3.34,17,3.095,,,,,,58,0,0,0,58,1,,
,,,855,580631fec912790001bec57f,25,Male,2022-11-22_17h12.57.127,onlinegloss,2022.2.3,MacIntel,58.82352941,,,,,,,,,34,46,space,5.821,43,5.13,,,,,,84,0,1,1,84,1,,
,,,855,580631fec912790001bec57f,25,Male,2022-11-22_17h12.57.127,onlinegloss,2022.2.3,MacIntel,58.82352941,,,,,,,,,31,46,space,5.043,15,4.545,,,,,,41,0,2,2,41,1,,
,,,855,580631fec912790001bec57f,25,Male,2022-11-22_17h12.57.127,onlinegloss,2022.2.3,MacIntel,58.82352941,,,,,,,,,41,46,space,3.527,17,3.444,,,,,,6,0,3,3,6,1,,
