button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[1.5238000000119207],[1.5238999999761589],455,5c6e992b9d7a31000146fd95,30,female,2022-11-22_14h38.27.977,onlinegloss,2022.2.3,Win32,60.3427468,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,455,5c6e992b9d7a31000146fd95,30,female,2022-11-22_14h38.27.977,onlinegloss,2022.2.3,Win32,60.3427468,space,4.2481,,,,,,,,,,,,,,,,,,,,,,,,,
,,,455,5c6e992b9d7a31000146fd95,30,female,2022-11-22_14h38.27.977,onlinegloss,2022.2.3,Win32,60.3427468,,,40.9,40.2,,,,,,,,,,,,,,,,,,,,,,,
,,,455,5c6e992b9d7a31000146fd95,30,female,2022-11-22_14h38.27.977,onlinegloss,2022.2.3,Win32,60.3427468,,,,,space,17.1068,,,,,,,,,,,,,,,,,,,,,
,,,455,5c6e992b9d7a31000146fd95,30,female,2022-11-22_14h38.27.977,onlinegloss,2022.2.3,Win32,60.3427468,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,455,5c6e992b9d7a31000146fd95,30,female,2022-11-22_14h38.27.977,onlinegloss,2022.2.3,Win32,60.3427468,,,,,,,space,9.0773,,,,,,,,,,,,,,,,,,,
,,,455,5c6e992b9d7a31000146fd95,30,female,2022-11-22_14h38.27.977,onlinegloss,2022.2.3,Win32,60.3427468,,,,,,,,,51,24,space,10.8653,52,9.3923,0,0,0,0,1,101,,,,,,,
,,,455,5c6e992b9d7a31000146fd95,30,female,2022-11-22_14h38.27.977,onlinegloss,2022.2.3,Win32,60.3427468,,,,,,,,,47,24,space,5.5925,33,4.2863,0,1,1,1,1,102,,,,,,,
,,,455,5c6e992b9d7a31000146fd95,30,female,2022-11-22_14h38.27.977,onlinegloss,2022.2.3,Win32,60.3427468,,,,,,,,,49,24,space,4.8898,27,4.4509,,,,,,52,0,0,0,52,1,,
,,,455,5c6e992b9d7a31000146fd95,30,female,2022-11-22_14h38.27.977,onlinegloss,2022.2.3,Win32,60.3427468,,,,,,,,,45,24,space,5.997,43,4.5365,,,,,,39,0,1,1,39,1,,
,,,455,5c6e992b9d7a31000146fd95,30,female,2022-11-22_14h38.27.977,onlinegloss,2022.2.3,Win32,60.3427468,,,,,,,,,48,24,space,5.0429,13,4.6444,,,,,,80,0,2,2,80,1,,
,,,455,5c6e992b9d7a31000146fd95,30,female,2022-11-22_14h38.27.977,onlinegloss,2022.2.3,Win32,60.3427468,,,,,,,,,27,24,space,6.5934,3,6.1621,,,,,,60,0,3,3,60,1,,
,,,455,5c6e992b9d7a31000146fd95,30,female,2022-11-22_14h38.27.977,onlinegloss,2022.2.3,Win32,60.3427468,,,,,,,,,51,24,space,5.8412,1,3.7282,,,,,,66,0,4,4,66,1,,
,,,455,5c6e992b9d7a31000146fd95,30,female,2022-11-22_14h38.27.977,onlinegloss,2022.2.3,Win32,60.3427468,,,,,,,,,27,24,space,4.862,9,4.7139,,,,,,12,0,5,5,12,1,,
,,,455,5c6e992b9d7a31000146fd95,30,female,2022-11-22_14h38.27.977,onlinegloss,2022.2.3,Win32,60.3427468,,,,,,,,,32,24,space,3.3852,7,3.3114,,,,,,59,0,6,6,59,1,,
,,,455,5c6e992b9d7a31000146fd95,30,female,2022-11-22_14h38.27.977,onlinegloss,2022.2.3,Win32,60.3427468,,,,,,,,,45,24,space,1.5976,1,1.3793,,,,,,48,0,7,7,48,1,,
,,,455,5c6e992b9d7a31000146fd95,30,female,2022-11-22_14h38.27.977,onlinegloss,2022.2.3,Win32,60.3427468,,,,,,,,,37,24,space,2.2159,5,2.1092,,,,,,20,0,8,8,20,1,,
,,,455,5c6e992b9d7a31000146fd95,30,female,2022-11-22_14h38.27.977,onlinegloss,2022.2.3,Win32,60.3427468,,,,,,,,,43,24,space,3.0079,17,2.0948,,,,,,55,0,9,9,55,1,,
,,,455,5c6e992b9d7a31000146fd95,30,female,2022-11-22_14h38.27.977,onlinegloss,2022.2.3,Win32,60.3427468,,,,,,,,,42,24,space,2.5586,1,2.2148,,,,,,32,0,10,10,32,1,,
,,,455,5c6e992b9d7a31000146fd95,30,female,2022-11-22_14h38.27.977,onlinegloss,2022.2.3,Win32,60.3427468,,,,,,,,,36,24,space,5.0304,41,3.891,,,,,,6,0,11,11,6,1,,
,,,455,5c6e992b9d7a31000146fd95,30,female,2022-11-22_14h38.27.977,onlinegloss,2022.2.3,Win32,60.3427468,,,,,,,,,32,24,space,2.9251,41,2.1451,,,,,,77,0,12,12,77,1,,
,,,455,5c6e992b9d7a31000146fd95,30,female,2022-11-22_14h38.27.977,onlinegloss,2022.2.3,Win32,60.3427468,,,,,,,,,41,24,space,2.3249,1,1.4858,,,,,,25,0,13,13,25,1,,
,,,455,5c6e992b9d7a31000146fd95,30,female,2022-11-22_14h38.27.977,onlinegloss,2022.2.3,Win32,60.3427468,,,,,,,,,33,24,space,2.7137,1,2.4054,,,,,,75,0,14,14,75,1,,
,,,455,5c6e992b9d7a31000146fd95,30,female,2022-11-22_14h38.27.977,onlinegloss,2022.2.3,Win32,60.3427468,,,,,,,,,47,24,space,6.2098,26,4.903,,,,,,47,0,15,15,47,1,,
,,,455,5c6e992b9d7a31000146fd95,30,female,2022-11-22_14h38.27.977,onlinegloss,2022.2.3,Win32,60.3427468,,,,,,,,,35,24,space,3.6427,1,2.9915,,,,,,13,0,16,16,13,1,,
,,,455,5c6e992b9d7a31000146fd95,30,female,2022-11-22_14h38.27.977,onlinegloss,2022.2.3,Win32,60.3427468,,,,,,,,,36,24,space,3.3278,20,2.1917,,,,,,30,0,17,17,30,1,,
,,,455,5c6e992b9d7a31000146fd95,30,female,2022-11-22_14h38.27.977,onlinegloss,2022.2.3,Win32,60.3427468,,,,,,,,,40,24,space,1.8577,1,1.452,,,,,,57,0,18,18,57,1,,
,,,455,5c6e992b9d7a31000146fd95,30,female,2022-11-22_14h38.27.977,onlinegloss,2022.2.3,Win32,60.3427468,,,,,,,,,47,24,space,4.7742,41,4.386,,,,,,81,0,19,19,81,1,,
,,,455,5c6e992b9d7a31000146fd95,30,female,2022-11-22_14h38.27.977,onlinegloss,2022.2.3,Win32,60.3427468,,,,,,,,,37,24,space,3.9346,24,3.0163,,,,,,54,0,20,20,54,1,,
,,,455,5c6e992b9d7a31000146fd95,30,female,2022-11-22_14h38.27.977,onlinegloss,2022.2.3,Win32,60.3427468,,,,,,,,,27,24,space,1.8015,24,1.1484,,,,,,31,0,21,21,31,1,,
