button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[3.005899999999908],[3.0060000000000002],1167,5be742980bedce00010bcf31,e.g. 30,female or male,2022-11-23_18h14.45.787,onlinegloss,2022.2.3,Win32,59.94125757,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1167,5be742980bedce00010bcf31,e.g. 30,female or male,2022-11-23_18h14.45.787,onlinegloss,2022.2.3,Win32,59.94125757,space,6.7062,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1167,5be742980bedce00010bcf31,e.g. 30,female or male,2022-11-23_18h14.45.787,onlinegloss,2022.2.3,Win32,59.94125757,,,18.6,20.7,,,,,,,,,,,,,,,,,,,,,,,
,,,1167,5be742980bedce00010bcf31,e.g. 30,female or male,2022-11-23_18h14.45.787,onlinegloss,2022.2.3,Win32,59.94125757,,,,,space,47.0207,,,,,,,,,,,,,,,,,,,,,
,,,1167,5be742980bedce00010bcf31,e.g. 30,female or male,2022-11-23_18h14.45.787,onlinegloss,2022.2.3,Win32,59.94125757,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1167,5be742980bedce00010bcf31,e.g. 30,female or male,2022-11-23_18h14.45.787,onlinegloss,2022.2.3,Win32,59.94125757,,,,,,,space,11.3244,,,,,,,,,,,,,,,,,,,
,,,1167,5be742980bedce00010bcf31,e.g. 30,female or male,2022-11-23_18h14.45.787,onlinegloss,2022.2.3,Win32,59.94125757,,,,,,,,,50,46,space,19.8822,27,16.5045,0,0,0,0,1,101,,,,,,,
,,,1167,5be742980bedce00010bcf31,e.g. 30,female or male,2022-11-23_18h14.45.787,onlinegloss,2022.2.3,Win32,59.94125757,,,,,,,,,48,46,space,7.9502,24,6.4585,0,1,1,1,1,102,,,,,,,
,,,1167,5be742980bedce00010bcf31,e.g. 30,female or male,2022-11-23_18h14.45.787,onlinegloss,2022.2.3,Win32,59.94125757,,,,,,,,,46,46,space,7.9086,13,6.7716,,,,,,44,0,0,0,44,1,,
,,,1167,5be742980bedce00010bcf31,e.g. 30,female or male,2022-11-23_18h14.45.787,onlinegloss,2022.2.3,Win32,59.94125757,,,,,,,,,45,46,space,10.9212,41,9.9813,,,,,,53,0,1,1,53,1,,
,,,1167,5be742980bedce00010bcf31,e.g. 30,female or male,2022-11-23_18h14.45.787,onlinegloss,2022.2.3,Win32,59.94125757,,,,,,,,,51,46,space,5.0065,2,2.8813,,,,,,18,0,2,2,18,1,,
,,,1167,5be742980bedce00010bcf31,e.g. 30,female or male,2022-11-23_18h14.45.787,onlinegloss,2022.2.3,Win32,59.94125757,,,,,,,,,32,46,space,9.6948,36,8.1809,,,,,,74,0,3,3,74,1,,
,,,1167,5be742980bedce00010bcf31,e.g. 30,female or male,2022-11-23_18h14.45.787,onlinegloss,2022.2.3,Win32,59.94125757,,,,,,,,,33,46,space,3.4353,2,2.3812,,,,,,75,0,4,4,75,1,,
