button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[2.4473999999999947],[2.4473999999999947],128,62fb792b34daf3178ccfa171,37,female,2022-11-21_13h14.59.160,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,128,62fb792b34daf3178ccfa171,37,female,2022-11-21_13h14.59.160,onlinegloss,2022.2.3,MacIntel,59.99880002,space,7.8069,,,,,,,,,,,,,,,,,,,,,,,,,
,,,128,62fb792b34daf3178ccfa171,37,female,2022-11-21_13h14.59.160,onlinegloss,2022.2.3,MacIntel,59.99880002,,,50.5,50.3,,,,,,,,,,,,,,,,,,,,,,,
,,,128,62fb792b34daf3178ccfa171,37,female,2022-11-21_13h14.59.160,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,space,17.9592,,,,,,,,,,,,,,,,,,,,,
,,,128,62fb792b34daf3178ccfa171,37,female,2022-11-21_13h14.59.160,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,128,62fb792b34daf3178ccfa171,37,female,2022-11-21_13h14.59.160,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,space,27.3271,,,,,,,,,,,,,,,,,,,
,,,128,62fb792b34daf3178ccfa171,37,female,2022-11-21_13h14.59.160,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,49,21,space,22.9814,44,21.463,0,0,0,0,1,101,,,,,,,
,,,128,62fb792b34daf3178ccfa171,37,female,2022-11-21_13h14.59.160,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,42,21,space,28.6791,35,28.2434,0,1,1,1,1,102,,,,,,,
,,,128,62fb792b34daf3178ccfa171,37,female,2022-11-21_13h14.59.160,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,35,21,space,15.4706,13,15.2134,,,,,,49,0,0,0,49,1,,
,,,128,62fb792b34daf3178ccfa171,37,female,2022-11-21_13h14.59.160,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,35,21,space,9.5059,3,8.6907,,,,,,31,0,1,1,31,1,,
,,,128,62fb792b34daf3178ccfa171,37,female,2022-11-21_13h14.59.160,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,30,21,space,6.2413,4,6.092,,,,,,72,0,2,2,72,1,,
,,,128,62fb792b34daf3178ccfa171,37,female,2022-11-21_13h14.59.160,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,51,21,space,8.2844,22,7.4748,,,,,,10,0,3,3,10,1,,
,,,128,62fb792b34daf3178ccfa171,37,female,2022-11-21_13h14.59.160,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,29,21,space,13.3022,27,13.1083,,,,,,16,0,4,4,16,1,,
,,,128,62fb792b34daf3178ccfa171,37,female,2022-11-21_13h14.59.160,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,27,21,space,12.1943,38,11.9756,,,,,,67,0,5,5,67,1,,
,,,128,62fb792b34daf3178ccfa171,37,female,2022-11-21_13h14.59.160,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,28,21,space,14.5382,32,8.7405,,,,,,26,0,6,6,26,1,,
,,,128,62fb792b34daf3178ccfa171,37,female,2022-11-21_13h14.59.160,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,51,21,space,11.7847,26,11.5591,,,,,,83,0,7,7,83,1,,
,,,128,62fb792b34daf3178ccfa171,37,female,2022-11-21_13h14.59.160,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,37,21,space,9.9414,24,9.8613,,,,,,76,0,8,8,76,1,,
,,,128,62fb792b34daf3178ccfa171,37,female,2022-11-21_13h14.59.160,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,44,21,space,16.9238,37,16.7576,,,,,,43,0,9,9,43,1,,
,,,128,62fb792b34daf3178ccfa171,37,female,2022-11-21_13h14.59.160,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,35,21,space,7.6369,9,6.3515,,,,,,15,0,10,10,15,1,,
