button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[8.261900000005959],[8.262],474,5cafad361c3f060017d265f9,48,female ,2022-11-22_14h39.59.603,onlinegloss,2022.2.3,Win32,60.28817749,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,474,5cafad361c3f060017d265f9,48,female ,2022-11-22_14h39.59.603,onlinegloss,2022.2.3,Win32,60.28817749,space,8.4085,,,,,,,,,,,,,,,,,,,,,,,,,
,,,474,5cafad361c3f060017d265f9,48,female ,2022-11-22_14h39.59.603,onlinegloss,2022.2.3,Win32,60.28817749,,,44.9,42.3,,,,,,,,,,,,,,,,,,,,,,,
,,,474,5cafad361c3f060017d265f9,48,female ,2022-11-22_14h39.59.603,onlinegloss,2022.2.3,Win32,60.28817749,,,,,space,10.7672,,,,,,,,,,,,,,,,,,,,,
,,,474,5cafad361c3f060017d265f9,48,female ,2022-11-22_14h39.59.603,onlinegloss,2022.2.3,Win32,60.28817749,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,474,5cafad361c3f060017d265f9,48,female ,2022-11-22_14h39.59.603,onlinegloss,2022.2.3,Win32,60.28817749,,,,,,,space,12.5457,,,,,,,,,,,,,,,,,,,
,,,474,5cafad361c3f060017d265f9,48,female ,2022-11-22_14h39.59.603,onlinegloss,2022.2.3,Win32,60.28817749,,,,,,,,,39,43,space,25.885,40,25.3283,0,0,0,0,1,101,,,,,,,
,,,474,5cafad361c3f060017d265f9,48,female ,2022-11-22_14h39.59.603,onlinegloss,2022.2.3,Win32,60.28817749,,,,,,,,,28,43,space,11.5124,24,10.902,0,1,1,1,1,102,,,,,,,
,,,474,5cafad361c3f060017d265f9,48,female ,2022-11-22_14h39.59.603,onlinegloss,2022.2.3,Win32,60.28817749,,,,,,,,,38,43,space,8.6103,11,8.2705,,,,,,68,0,0,0,68,1,,
,,,474,5cafad361c3f060017d265f9,48,female ,2022-11-22_14h39.59.603,onlinegloss,2022.2.3,Win32,60.28817749,,,,,,,,,28,43,space,5.9373,1,5.5604,,,,,,60,0,1,1,60,1,,
,,,474,5cafad361c3f060017d265f9,48,female ,2022-11-22_14h39.59.603,onlinegloss,2022.2.3,Win32,60.28817749,,,,,,,,,31,43,space,9.3675,12,8.962,,,,,,6,0,2,2,6,1,,
,,,474,5cafad361c3f060017d265f9,48,female ,2022-11-22_14h39.59.603,onlinegloss,2022.2.3,Win32,60.28817749,,,,,,,,,34,43,space,18.2406,13,17.9818,,,,,,40,0,3,3,40,1,,
,,,474,5cafad361c3f060017d265f9,48,female ,2022-11-22_14h39.59.603,onlinegloss,2022.2.3,Win32,60.28817749,,,,,,,,,31,43,space,6.0969,1,5.1256,,,,,,3,0,4,4,3,1,,
,,,474,5cafad361c3f060017d265f9,48,female ,2022-11-22_14h39.59.603,onlinegloss,2022.2.3,Win32,60.28817749,,,,,,,,,39,43,space,4.2133,1,3.3665,,,,,,30,0,5,5,30,1,,
,,,474,5cafad361c3f060017d265f9,48,female ,2022-11-22_14h39.59.603,onlinegloss,2022.2.3,Win32,60.28817749,,,,,,,,,27,43,space,9.8776,21,9.5442,,,,,,38,0,6,6,38,1,,
,,,474,5cafad361c3f060017d265f9,48,female ,2022-11-22_14h39.59.603,onlinegloss,2022.2.3,Win32,60.28817749,,,,,,,,,48,43,space,7.1846,13,6.8846,,,,,,34,0,7,7,34,1,,
,,,474,5cafad361c3f060017d265f9,48,female ,2022-11-22_14h39.59.603,onlinegloss,2022.2.3,Win32,60.28817749,,,,,,,,,39,43,space,12.4578,16,12.1138,,,,,,23,0,8,8,23,1,,
,,,474,5cafad361c3f060017d265f9,48,female ,2022-11-22_14h39.59.603,onlinegloss,2022.2.3,Win32,60.28817749,,,,,,,,,33,43,space,16.7357,42,16.3663,,,,,,74,0,9,9,74,1,,
,,,474,5cafad361c3f060017d265f9,48,female ,2022-11-22_14h39.59.603,onlinegloss,2022.2.3,Win32,60.28817749,,,,,,,,,27,43,space,10.6199,20,10.2108,,,,,,54,0,10,10,54,1,,
,,,474,5cafad361c3f060017d265f9,48,female ,2022-11-22_14h39.59.603,onlinegloss,2022.2.3,Win32,60.28817749,,,,,,,,,39,43,space,8.2729,11,7.9319,,,,,,25,0,11,11,25,1,,
,,,474,5cafad361c3f060017d265f9,48,female ,2022-11-22_14h39.59.603,onlinegloss,2022.2.3,Win32,60.28817749,,,,,,,,,28,43,space,4.8338,1,4.3428,,,,,,35,0,12,12,35,1,,
,,,474,5cafad361c3f060017d265f9,48,female ,2022-11-22_14h39.59.603,onlinegloss,2022.2.3,Win32,60.28817749,,,,,,,,,28,43,space,13.7946,10,13.4263,,,,,,82,0,13,13,82,1,,
,,,474,5cafad361c3f060017d265f9,48,female ,2022-11-22_14h39.59.603,onlinegloss,2022.2.3,Win32,60.28817749,,,,,,,,,47,43,space,6.1706,14,5.8275,,,,,,65,0,14,14,65,1,,
,,,474,5cafad361c3f060017d265f9,48,female ,2022-11-22_14h39.59.603,onlinegloss,2022.2.3,Win32,60.28817749,,,,,,,,,40,43,space,4.316,1,3.9089,,,,,,72,0,15,15,72,1,,
,,,474,5cafad361c3f060017d265f9,48,female ,2022-11-22_14h39.59.603,onlinegloss,2022.2.3,Win32,60.28817749,,,,,,,,,41,43,space,6.4908,18,6.1168,,,,,,80,0,16,16,80,1,,
,,,474,5cafad361c3f060017d265f9,48,female ,2022-11-22_14h39.59.603,onlinegloss,2022.2.3,Win32,60.28817749,,,,,,,,,30,43,space,12.3856,1,11.6968,,,,,,41,0,17,17,41,1,,
,,,474,5cafad361c3f060017d265f9,48,female ,2022-11-22_14h39.59.603,onlinegloss,2022.2.3,Win32,60.28817749,,,,,,,,,49,43,space,9.751,14,9.2937,,,,,,58,0,18,18,58,1,,
,,,474,5cafad361c3f060017d265f9,48,female ,2022-11-22_14h39.59.603,onlinegloss,2022.2.3,Win32,60.28817749,,,,,,,,,37,43,space,6.4084,15,5.9996,,,,,,17,0,19,19,17,1,,
,,,474,5cafad361c3f060017d265f9,48,female ,2022-11-22_14h39.59.603,onlinegloss,2022.2.3,Win32,60.28817749,,,,,,,,,27,43,space,6.9236,20,6.5272,,,,,,26,0,20,20,26,1,,
,,,474,5cafad361c3f060017d265f9,48,female ,2022-11-22_14h39.59.603,onlinegloss,2022.2.3,Win32,60.28817749,,,,,,,,,46,43,space,10.6846,26,9.6597,,,,,,11,0,21,21,11,1,,
,,,474,5cafad361c3f060017d265f9,48,female ,2022-11-22_14h39.59.603,onlinegloss,2022.2.3,Win32,60.28817749,,,,,,,,,31,43,space,7.4027,1,7.0442,,,,,,21,0,22,22,21,1,,
,,,474,5cafad361c3f060017d265f9,48,female ,2022-11-22_14h39.59.603,onlinegloss,2022.2.3,Win32,60.28817749,,,,,,,,,33,43,space,5.2869,1,4.8922,,,,,,53,0,23,23,53,1,,
,,,474,5cafad361c3f060017d265f9,48,female ,2022-11-22_14h39.59.603,onlinegloss,2022.2.3,Win32,60.28817749,,,,,,,,,33,43,space,8.4455,9,7.2665,,,,,,46,0,24,24,46,1,,
,,,474,5cafad361c3f060017d265f9,48,female ,2022-11-22_14h39.59.603,onlinegloss,2022.2.3,Win32,60.28817749,,,,,,,,,41,43,space,10.2855,26,9.7606,,,,,,29,0,25,25,29,1,,
,,,474,5cafad361c3f060017d265f9,48,female ,2022-11-22_14h39.59.603,onlinegloss,2022.2.3,Win32,60.28817749,,,,,,,,,43,43,space,5.4176,1,4.7926,,,,,,57,0,26,26,57,1,,
,,,474,5cafad361c3f060017d265f9,48,female ,2022-11-22_14h39.59.603,onlinegloss,2022.2.3,Win32,60.28817749,,,,,,,,,37,43,space,6.0824,13,5.5262,,,,,,81,0,27,27,81,1,,
,,,474,5cafad361c3f060017d265f9,48,female ,2022-11-22_14h39.59.603,onlinegloss,2022.2.3,Win32,60.28817749,,,,,,,,,33,43,space,7.9317,1,6.8442,,,,,,36,0,28,28,36,1,,
,,,474,5cafad361c3f060017d265f9,48,female ,2022-11-22_14h39.59.603,onlinegloss,2022.2.3,Win32,60.28817749,,,,,,,,,42,43,space,8.3851,18,7.6804,,,,,,4,0,29,29,4,1,,
,,,474,5cafad361c3f060017d265f9,48,female ,2022-11-22_14h39.59.603,onlinegloss,2022.2.3,Win32,60.28817749,,,,,,,,,34,43,space,11.6705,15,10.7284,,,,,,78,0,30,30,78,1,,
,,,474,5cafad361c3f060017d265f9,48,female ,2022-11-22_14h39.59.603,onlinegloss,2022.2.3,Win32,60.28817749,,,,,,,,,51,43,space,5.9932,5,5.6559,,,,,,18,0,31,31,18,1,,
,,,474,5cafad361c3f060017d265f9,48,female ,2022-11-22_14h39.59.603,onlinegloss,2022.2.3,Win32,60.28817749,,,,,,,,,44,43,space,9.8368,38,9.3781,,,,,,84,0,32,32,84,1,,
