button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[3.731899999991061],[3.732000000000003],986,5cad1eef8ed53d00180d2532,22,female,2022-11-23_11h45.56.731,onlinegloss,2022.2.3,Win32,60.25185274,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,986,5cad1eef8ed53d00180d2532,22,female,2022-11-23_11h45.56.731,onlinegloss,2022.2.3,Win32,60.25185274,space,3.2264,,,,,,,,,,,,,,,,,,,,,,,,,
,,,986,5cad1eef8ed53d00180d2532,22,female,2022-11-23_11h45.56.731,onlinegloss,2022.2.3,Win32,60.25185274,,,39.5,39.3,,,,,,,,,,,,,,,,,,,,,,,
,,,986,5cad1eef8ed53d00180d2532,22,female,2022-11-23_11h45.56.731,onlinegloss,2022.2.3,Win32,60.25185274,,,,,space,9.2829,,,,,,,,,,,,,,,,,,,,,
,,,986,5cad1eef8ed53d00180d2532,22,female,2022-11-23_11h45.56.731,onlinegloss,2022.2.3,Win32,60.25185274,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,986,5cad1eef8ed53d00180d2532,22,female,2022-11-23_11h45.56.731,onlinegloss,2022.2.3,Win32,60.25185274,,,,,,,space,63.1352,,,,,,,,,,,,,,,,,,,
,,,986,5cad1eef8ed53d00180d2532,22,female,2022-11-23_11h45.56.731,onlinegloss,2022.2.3,Win32,60.25185274,,,,,,,,,46,1,space,25.9389,51,25.0098,0,0,0,0,1,101,,,,,,,
,,,986,5cad1eef8ed53d00180d2532,22,female,2022-11-23_11h45.56.731,onlinegloss,2022.2.3,Win32,60.25185274,,,,,,,,,42,1,space,12.0052,40,11.396,0,1,1,1,1,102,,,,,,,
,,,986,5cad1eef8ed53d00180d2532,22,female,2022-11-23_11h45.56.731,onlinegloss,2022.2.3,Win32,60.25185274,,,,,,,,,39,1,space,8.241,44,6.3216,,,,,,84,0,0,0,84,1,,
,,,986,5cad1eef8ed53d00180d2532,22,female,2022-11-23_11h45.56.731,onlinegloss,2022.2.3,Win32,60.25185274,,,,,,,,,29,1,space,9.9596,12,8.906,,,,,,26,0,1,1,26,1,,
,,,986,5cad1eef8ed53d00180d2532,22,female,2022-11-23_11h45.56.731,onlinegloss,2022.2.3,Win32,60.25185274,,,,,,,,,30,1,space,15.8486,4,14.8458,,,,,,53,0,2,2,53,1,,
,,,986,5cad1eef8ed53d00180d2532,22,female,2022-11-23_11h45.56.731,onlinegloss,2022.2.3,Win32,60.25185274,,,,,,,,,34,1,space,10.2557,8,7.3507,,,,,,8,0,3,3,8,1,,
,,,986,5cad1eef8ed53d00180d2532,22,female,2022-11-23_11h45.56.731,onlinegloss,2022.2.3,Win32,60.25185274,,,,,,,,,39,1,space,7.2954,1,5.6554,,,,,,67,0,4,4,67,1,,
,,,986,5cad1eef8ed53d00180d2532,22,female,2022-11-23_11h45.56.731,onlinegloss,2022.2.3,Win32,60.25185274,,,,,,,,,35,1,space,8.9038,8,7.9422,,,,,,54,0,5,5,54,1,,
,,,986,5cad1eef8ed53d00180d2532,22,female,2022-11-23_11h45.56.731,onlinegloss,2022.2.3,Win32,60.25185274,,,,,,,,,43,1,space,6.4357,1,5.7192,,,,,,4,0,6,6,4,1,,
,,,986,5cad1eef8ed53d00180d2532,22,female,2022-11-23_11h45.56.731,onlinegloss,2022.2.3,Win32,60.25185274,,,,,,,,,32,1,space,12.0492,10,11.5236,,,,,,76,0,7,7,76,1,,
,,,986,5cad1eef8ed53d00180d2532,22,female,2022-11-23_11h45.56.731,onlinegloss,2022.2.3,Win32,60.25185274,,,,,,,,,27,1,space,7.2505,15,5.6526,,,,,,80,0,8,8,80,1,,
,,,986,5cad1eef8ed53d00180d2532,22,female,2022-11-23_11h45.56.731,onlinegloss,2022.2.3,Win32,60.25185274,,,,,,,,,37,1,space,5.6801,6,5.3937,,,,,,39,0,9,9,39,1,,
,,,986,5cad1eef8ed53d00180d2532,22,female,2022-11-23_11h45.56.731,onlinegloss,2022.2.3,Win32,60.25185274,,,,,,,,,30,1,space,9.2013,36,8.6812,,,,,,60,0,10,10,60,1,,
,,,986,5cad1eef8ed53d00180d2532,22,female,2022-11-23_11h45.56.731,onlinegloss,2022.2.3,Win32,60.25185274,,,,,,,,,49,1,space,9.8298,17,9.3085,,,,,,3,0,11,11,3,1,,
,,,986,5cad1eef8ed53d00180d2532,22,female,2022-11-23_11h45.56.731,onlinegloss,2022.2.3,Win32,60.25185274,,,,,,,,,35,1,space,10.3116,24,7.9142,,,,,,29,0,12,12,29,1,,
,,,986,5cad1eef8ed53d00180d2532,22,female,2022-11-23_11h45.56.731,onlinegloss,2022.2.3,Win32,60.25185274,,,,,,,,,51,1,space,13.5867,29,12.9507,,,,,,6,0,13,13,6,1,,
,,,986,5cad1eef8ed53d00180d2532,22,female,2022-11-23_11h45.56.731,onlinegloss,2022.2.3,Win32,60.25185274,,,,,,,,,48,1,space,16.0166,37,13.8175,,,,,,50,0,14,14,50,1,,
,,,986,5cad1eef8ed53d00180d2532,22,female,2022-11-23_11h45.56.731,onlinegloss,2022.2.3,Win32,60.25185274,,,,,,,,,34,1,space,10.1428,25,9.2718,,,,,,47,0,15,15,47,1,,
,,,986,5cad1eef8ed53d00180d2532,22,female,2022-11-23_11h45.56.731,onlinegloss,2022.2.3,Win32,60.25185274,,,,,,,,,28,1,space,17.1664,14,16.5651,,,,,,55,0,16,16,55,1,,
,,,986,5cad1eef8ed53d00180d2532,22,female,2022-11-23_11h45.56.731,onlinegloss,2022.2.3,Win32,60.25185274,,,,,,,,,40,1,space,12.7257,17,11.9456,,,,,,69,0,17,17,69,1,,
,,,986,5cad1eef8ed53d00180d2532,22,female,2022-11-23_11h45.56.731,onlinegloss,2022.2.3,Win32,60.25185274,,,,,,,,,36,1,space,182.3298,22,181.8303,,,,,,10,0,18,18,10,1,,
,,,986,5cad1eef8ed53d00180d2532,22,female,2022-11-23_11h45.56.731,onlinegloss,2022.2.3,Win32,60.25185274,,,,,,,,,34,1,space,10.9699,33,10.1028,,,,,,27,0,19,19,27,1,,
,,,986,5cad1eef8ed53d00180d2532,22,female,2022-11-23_11h45.56.731,onlinegloss,2022.2.3,Win32,60.25185274,,,,,,,,,31,1,space,231.6238,23,230.1257,,,,,,78,0,20,20,78,1,,
,,,986,5cad1eef8ed53d00180d2532,22,female,2022-11-23_11h45.56.731,onlinegloss,2022.2.3,Win32,60.25185274,,,,,,,,,38,1,space,14.6827,36,13.7399,,,,,,9,0,21,21,9,1,,
,,,986,5cad1eef8ed53d00180d2532,22,female,2022-11-23_11h45.56.731,onlinegloss,2022.2.3,Win32,60.25185274,,,,,,,,,27,1,space,13.2018,9,12.3471,,,,,,43,0,22,22,43,1,,
,,,986,5cad1eef8ed53d00180d2532,22,female,2022-11-23_11h45.56.731,onlinegloss,2022.2.3,Win32,60.25185274,,,,,,,,,33,1,space,11.7612,20,9.663,,,,,,28,0,23,23,28,1,,
,,,986,5cad1eef8ed53d00180d2532,22,female,2022-11-23_11h45.56.731,onlinegloss,2022.2.3,Win32,60.25185274,,,,,,,,,28,1,space,51.9174,24,51.2455,,,,,,42,0,24,24,42,1,,
,,,986,5cad1eef8ed53d00180d2532,22,female,2022-11-23_11h45.56.731,onlinegloss,2022.2.3,Win32,60.25185274,,,,,,,,,31,1,space,5.4941,16,3.8971,,,,,,52,0,25,25,52,1,,
