button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[4.35719999999996],[4.35719999999996],111,5e2761b3ce16da9982f88406,22,female,2022-11-21_13h01.22.899,onlinegloss,2022.2.3,Win32,61.10975312,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,111,5e2761b3ce16da9982f88406,22,female,2022-11-21_13h01.22.899,onlinegloss,2022.2.3,Win32,61.10975312,space,2.7361,,,,,,,,,,,,,,,,,,,,,,,,,
,,,111,5e2761b3ce16da9982f88406,22,female,2022-11-21_13h01.22.899,onlinegloss,2022.2.3,Win32,61.10975312,,,37.1,36.5,,,,,,,,,,,,,,,,,,,,,,,
,,,111,5e2761b3ce16da9982f88406,22,female,2022-11-21_13h01.22.899,onlinegloss,2022.2.3,Win32,61.10975312,,,,,space,2.0217,,,,,,,,,,,,,,,,,,,,,
,,,111,5e2761b3ce16da9982f88406,22,female,2022-11-21_13h01.22.899,onlinegloss,2022.2.3,Win32,61.10975312,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,111,5e2761b3ce16da9982f88406,22,female,2022-11-21_13h01.22.899,onlinegloss,2022.2.3,Win32,61.10975312,,,,,,,space,42.2501,,,,,,,,,,,,,,,,,,,
,,,111,5e2761b3ce16da9982f88406,22,female,2022-11-21_13h01.22.899,onlinegloss,2022.2.3,Win32,61.10975312,,,,,,,,,43,4,space,6.064,49,5.1829,0,0,0,0,1,101,,,,,,,
,,,111,5e2761b3ce16da9982f88406,22,female,2022-11-21_13h01.22.899,onlinegloss,2022.2.3,Win32,61.10975312,,,,,,,,,29,4,space,7.9965,24,6.8955,0,1,1,1,1,102,,,,,,,
,,,111,5e2761b3ce16da9982f88406,22,female,2022-11-21_13h01.22.899,onlinegloss,2022.2.3,Win32,61.10975312,,,,,,,,,31,4,space,9.492,6,9.3884,,,,,,26,0,0,0,26,1,,
,,,111,5e2761b3ce16da9982f88406,22,female,2022-11-21_13h01.22.899,onlinegloss,2022.2.3,Win32,61.10975312,,,,,,,,,39,4,space,14.9753,46,13.9769,,,,,,33,0,1,1,33,1,,
,,,111,5e2761b3ce16da9982f88406,22,female,2022-11-21_13h01.22.899,onlinegloss,2022.2.3,Win32,61.10975312,,,,,,,,,36,4,space,7.8034,2,7.0988,,,,,,60,0,2,2,60,1,,
,,,111,5e2761b3ce16da9982f88406,22,female,2022-11-21_13h01.22.899,onlinegloss,2022.2.3,Win32,61.10975312,,,,,,,,,39,4,space,4.0651,7,3.8963,,,,,,82,0,3,3,82,1,,
,,,111,5e2761b3ce16da9982f88406,22,female,2022-11-21_13h01.22.899,onlinegloss,2022.2.3,Win32,61.10975312,,,,,,,,,35,4,space,6.9108,7,6.7471,,,,,,31,0,4,4,31,1,,
,,,111,5e2761b3ce16da9982f88406,22,female,2022-11-21_13h01.22.899,onlinegloss,2022.2.3,Win32,61.10975312,,,,,,,,,29,4,space,4.1192,21,3.9969,,,,,,80,0,5,5,80,1,,
,,,111,5e2761b3ce16da9982f88406,22,female,2022-11-21_13h01.22.899,onlinegloss,2022.2.3,Win32,61.10975312,,,,,,,,,27,4,space,5.0926,8,4.9159,,,,,,48,0,6,6,48,1,,
,,,111,5e2761b3ce16da9982f88406,22,female,2022-11-21_13h01.22.899,onlinegloss,2022.2.3,Win32,61.10975312,,,,,,,,,31,4,space,3.1962,18,3.1122,,,,,,64,0,7,7,64,1,,
,,,111,5e2761b3ce16da9982f88406,22,female,2022-11-21_13h01.22.899,onlinegloss,2022.2.3,Win32,61.10975312,,,,,,,,,33,4,space,21.9366,22,21.6471,,,,,,13,0,8,8,13,1,,
,,,111,5e2761b3ce16da9982f88406,22,female,2022-11-21_13h01.22.899,onlinegloss,2022.2.3,Win32,61.10975312,,,,,,,,,43,4,space,7.3308,31,7.3117,,,,,,50,0,9,9,50,1,,
,,,111,5e2761b3ce16da9982f88406,22,female,2022-11-21_13h01.22.899,onlinegloss,2022.2.3,Win32,61.10975312,,,,,,,,,47,4,space,2.4921,14,2.491,,,,,,65,0,10,10,65,1,,
,,,111,5e2761b3ce16da9982f88406,22,female,2022-11-21_13h01.22.899,onlinegloss,2022.2.3,Win32,61.10975312,,,,,,,,,44,4,space,13.0099,1,8.3658,,,,,,0,0,11,11,0,1,,
,,,111,5e2761b3ce16da9982f88406,22,female,2022-11-21_13h01.22.899,onlinegloss,2022.2.3,Win32,61.10975312,,,,,,,,,30,4,space,5.7032,8,5.5808,,,,,,16,0,12,12,16,1,,
,,,111,5e2761b3ce16da9982f88406,22,female,2022-11-21_13h01.22.899,onlinegloss,2022.2.3,Win32,61.10975312,,,,,,,,,34,4,space,3.2405,14,3.1491,,,,,,21,0,13,13,21,1,,
,,,111,5e2761b3ce16da9982f88406,22,female,2022-11-21_13h01.22.899,onlinegloss,2022.2.3,Win32,61.10975312,,,,,,,,,33,4,space,4.8425,42,4.7477,,,,,,32,0,14,14,32,1,,
,,,111,5e2761b3ce16da9982f88406,22,female,2022-11-21_13h01.22.899,onlinegloss,2022.2.3,Win32,61.10975312,,,,,,,,,35,4,space,3.351,37,3.3491,,,,,,47,0,15,15,47,1,,
,,,111,5e2761b3ce16da9982f88406,22,female,2022-11-21_13h01.22.899,onlinegloss,2022.2.3,Win32,61.10975312,,,,,,,,,32,4,space,31.8302,34,30.7563,,,,,,46,0,16,16,46,1,,
,,,111,5e2761b3ce16da9982f88406,22,female,2022-11-21_13h01.22.899,onlinegloss,2022.2.3,Win32,61.10975312,,,,,,,,,27,4,space,6.0203,19,4.6097,,,,,,35,0,17,17,35,1,,
,,,111,5e2761b3ce16da9982f88406,22,female,2022-11-21_13h01.22.899,onlinegloss,2022.2.3,Win32,61.10975312,,,,,,,,,37,4,space,6.3169,12,6.3278,,,,,,2,0,18,18,2,1,,
,,,111,5e2761b3ce16da9982f88406,22,female,2022-11-21_13h01.22.899,onlinegloss,2022.2.3,Win32,61.10975312,,,,,,,,,40,4,space,3.7468,,,,,,,,55,0,19,19,55,1,,
