button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[2.9269999999999925],[2.9279999999999973],641,59b859e711212f0001cd10ff,47,male,2022-11-22_15h00.06.910,onlinegloss,2022.2.3,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,641,59b859e711212f0001cd10ff,47,male,2022-11-22_15h00.06.910,onlinegloss,2022.2.3,Win32,59.95203837,space,4.171,,,,,,,,,,,,,,,,,,,,,,,,,
,,,641,59b859e711212f0001cd10ff,47,male,2022-11-22_15h00.06.910,onlinegloss,2022.2.3,Win32,59.95203837,,,60,47.8,,,,,,,,,,,,,,,,,,,,,,,
,,,641,59b859e711212f0001cd10ff,47,male,2022-11-22_15h00.06.910,onlinegloss,2022.2.3,Win32,59.95203837,,,,,space,8.12,,,,,,,,,,,,,,,,,,,,,
,,,641,59b859e711212f0001cd10ff,47,male,2022-11-22_15h00.06.910,onlinegloss,2022.2.3,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,641,59b859e711212f0001cd10ff,47,male,2022-11-22_15h00.06.910,onlinegloss,2022.2.3,Win32,59.95203837,,,,,,,space,3.512,,,,,,,,,,,,,,,,,,,
,,,641,59b859e711212f0001cd10ff,47,male,2022-11-22_15h00.06.910,onlinegloss,2022.2.3,Win32,59.95203837,,,,,,,,,39,48,space,16.97,44,10.928,0,0,0,0,1,101,,,,,,,
,,,641,59b859e711212f0001cd10ff,47,male,2022-11-22_15h00.06.910,onlinegloss,2022.2.3,Win32,59.95203837,,,,,,,,,48,48,space,11.994,37,11.714,0,1,1,1,1,102,,,,,,,
,,,641,59b859e711212f0001cd10ff,47,male,2022-11-22_15h00.06.910,onlinegloss,2022.2.3,Win32,59.95203837,,,,,,,,,41,48,space,4.64,49,4.059,,,,,,35,0,0,0,35,1,,
,,,641,59b859e711212f0001cd10ff,47,male,2022-11-22_15h00.06.910,onlinegloss,2022.2.3,Win32,59.95203837,,,,,,,,,38,48,space,6.798,18,6.544,,,,,,28,0,1,1,28,1,,
