button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[3.5316999999999545],[3.531900000000139],232,6346b52d04a73cf07c1cb906,50,male,2022-11-22_09h30.43.306,onlinegloss,2022.2.3,Linux x86_64,49.96003197,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,232,6346b52d04a73cf07c1cb906,50,male,2022-11-22_09h30.43.306,onlinegloss,2022.2.3,Linux x86_64,49.96003197,space,9.9093,,,,,,,,,,,,,,,,,,,,,,,,,
,,,232,6346b52d04a73cf07c1cb906,50,male,2022-11-22_09h30.43.306,onlinegloss,2022.2.3,Linux x86_64,49.96003197,,,35.2,36.8,,,,,,,,,,,,,,,,,,,,,,,
,,,232,6346b52d04a73cf07c1cb906,50,male,2022-11-22_09h30.43.306,onlinegloss,2022.2.3,Linux x86_64,49.96003197,,,,,space,14.758,,,,,,,,,,,,,,,,,,,,,
,,,232,6346b52d04a73cf07c1cb906,50,male,2022-11-22_09h30.43.306,onlinegloss,2022.2.3,Linux x86_64,49.96003197,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,232,6346b52d04a73cf07c1cb906,50,male,2022-11-22_09h30.43.306,onlinegloss,2022.2.3,Linux x86_64,49.96003197,,,,,,,space,15.7947,,,,,,,,,,,,,,,,,,,
,,,232,6346b52d04a73cf07c1cb906,50,male,2022-11-22_09h30.43.306,onlinegloss,2022.2.3,Linux x86_64,49.96003197,,,,,,,,,31,17,space,17.9004,41,16.4829,0,0,0,0,1,101,,,,,,,
,,,232,6346b52d04a73cf07c1cb906,50,male,2022-11-22_09h30.43.306,onlinegloss,2022.2.3,Linux x86_64,49.96003197,,,,,,,,,37,17,space,8.0528,52,6.97,0,1,1,1,1,102,,,,,,,
,,,232,6346b52d04a73cf07c1cb906,50,male,2022-11-22_09h30.43.306,onlinegloss,2022.2.3,Linux x86_64,49.96003197,,,,,,,,,27,17,space,9.8932,30,9.7241,,,,,,83,0,0,0,83,1,,
,,,232,6346b52d04a73cf07c1cb906,50,male,2022-11-22_09h30.43.306,onlinegloss,2022.2.3,Linux x86_64,49.96003197,,,,,,,,,32,17,space,7.6168,36,7.0967,,,,,,81,0,1,1,81,1,,
,,,232,6346b52d04a73cf07c1cb906,50,male,2022-11-22_09h30.43.306,onlinegloss,2022.2.3,Linux x86_64,49.96003197,,,,,,,,,33,17,space,5.3552,47,5.1565,,,,,,23,0,2,2,23,1,,
,,,232,6346b52d04a73cf07c1cb906,50,male,2022-11-22_09h30.43.306,onlinegloss,2022.2.3,Linux x86_64,49.96003197,,,,,,,,,43,17,space,6.9069,51,6.7594,,,,,,15,0,3,3,15,1,,
,,,232,6346b52d04a73cf07c1cb906,50,male,2022-11-22_09h30.43.306,onlinegloss,2022.2.3,Linux x86_64,49.96003197,,,,,,,,,42,17,space,8.2117,4,7.4456,,,,,,10,0,4,4,10,1,,
,,,232,6346b52d04a73cf07c1cb906,50,male,2022-11-22_09h30.43.306,onlinegloss,2022.2.3,Linux x86_64,49.96003197,,,,,,,,,52,17,space,9.082,34,8.7272,,,,,,42,0,5,5,42,1,,
,,,232,6346b52d04a73cf07c1cb906,50,male,2022-11-22_09h30.43.306,onlinegloss,2022.2.3,Linux x86_64,49.96003197,,,,,,,,,38,17,space,4.1011,1,2.3401,,,,,,3,0,6,6,3,1,,
